case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
coeff_prop_4l,Automatic,1,ok,11383199.203,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,52.227,BalancedZippel
coeff_prop_4l,Automatic,2,ok,10366452.346,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,50.454,BalancedZippel
coeff_prop_4l,Automatic,3,ok,11303970.588,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,82.883,BalancedZippel
coeff_prop_4l_mod,Automatic,1,ok,11214013.906,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,53.652,BalancedZippel
coeff_prop_4l_mod,Automatic,2,ok,10301150.613,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,62.110,BalancedZippel
coeff_prop_4l_mod,Automatic,3,ok,10420910.961,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,50.091,BalancedZippel
aajamp,Automatic,1,ok,15950597.325,43960,2,1,0,0,2305843009213693967:43957;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5294.501,CuytLeePruned
aajamp,Automatic,2,ok,15898783.107,43960,2,1,0,0,2305843009213693967:43957;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5210.357,CuytLeePruned
aajamp,Automatic,3,ok,15953655.207,43960,2,1,0,0,2305843009213693967:43957;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5187.179,CuytLeePruned
aajamp_mod,Automatic,1,ok,15633837.227,43958,2,1,0,0,2305843009213693967:43955;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5178.741,CuytLeePruned
aajamp_mod,Automatic,2,ok,15615086.668,43958,2,1,0,0,2305843009213693967:43955;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5297.214,CuytLeePruned
aajamp_mod,Automatic,3,ok,15623329.814,43958,2,1,0,0,2305843009213693967:43955;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5166.034,CuytLeePruned
fire7_nb0_largest,Automatic,1,ok,36852.591,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.699,BalancedZippelSeparated
fire7_nb0_largest,Automatic,2,ok,37325.503,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.668,BalancedZippelSeparated
fire7_nb0_largest,Automatic,3,ok,36838.831,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.624,BalancedZippelSeparated
