case,baseline,current,change,firefly_best,selected_methods
fire7_graph5_rank0001,57,51,-6,94,BalancedZippelSeparated
fire7_graph5_rank0002,62,55,-7,106,BalancedZippelSeparated
fire7_graph5_rank0003,54,48,-6,90,BalancedZippelSeparated
fire7_graph5_rank0004,56,50,-6,92,BalancedZippelSeparated
fire7_graph5_rank0005,48,43,-5,70,BalancedZippelSeparated
fire7_graph5_rank0006,54,48,-6,90,BalancedZippelSeparated
fire7_graph5_rank0007,51,46,-5,80,BalancedZippelSeparated
fire7_graph5_rank0008,43,37,-6,69,BalancedZippelSeparated
fire7_graph5_rank0009,43,37,-6,69,BalancedZippelSeparated
fire7_graph5_rank0010,45,40,-5,66,BalancedZippelSeparated
fire7_graph5_rank0011,45,40,-5,62,BalancedZippelSeparated
fire7_graph5_rank0012,44,40,-4,62,BalancedZippelSeparated
fire7_graph5_rank0013,34,34,0,50,BalancedZippelSeparated
fire7_graph5_rank0014,45,40,-5,62,BalancedZippelSeparated
fire7_graph5_rank0015,43,37,-6,69,BalancedZippelSeparated
fire7_graph5_rank0016,43,37,-6,69,BalancedZippelSeparated
fire7_graph5_rank0017,45,40,-5,62,BalancedZippelSeparated
fire7_graph5_rank0018,40,36,-4,51,BalancedZippelSeparated
fire7_graph5_rank0019,40,36,-4,51,BalancedZippelSeparated
fire7_graph5_rank0020,37,32,-5,54,BalancedZippelSeparated
fire7_graph5_rank0021,42,38,-4,54,BalancedZippelSeparated
fire7_graph5_rank0022,42,38,-4,54,BalancedZippelSeparated
fire7_graph5_rank0023,40,36,-4,51,BalancedZippelSeparated
fire7_graph5_rank0024,42,38,-4,56,BalancedZippelSeparated
fire7_graph5_rank0025,37,33,-4,59,BalancedZippelSeparated
fire7_graph5_rank0026,42,38,-4,56,BalancedZippelSeparated
fire7_graph5_rank0027,44,40,-4,59,BalancedZippelSeparated
fire7_graph5_rank0028,44,40,-4,59,BalancedZippelSeparated
fire7_graph5_rank0029,44,40,-4,62,BalancedZippelSeparated
fire7_graph5_rank0030,39,36,-3,51,BalancedZippelSeparated
fire7_graph5_rank0031,35,31,-4,49,BalancedZippelSeparated
fire7_graph5_rank0032,36,31,-5,50,BalancedZippelSeparated
fire7_graph5_rank0033,40,36,-4,51,BalancedZippelSeparated
fire7_graph5_rank0034,39,34,-5,57,BalancedZippelSeparated
fire7_graph5_rank0035,36,32,-4,52,BalancedZippelSeparated
fire7_graph5_rank0036,37,33,-4,59,BalancedZippelSeparated
fire7_graph5_rank0037,32,27,-5,47,BalancedZippelSeparated
fire7_graph5_rank0038,34,30,-4,49,BalancedZippelSeparated
fire7_graph5_rank0039,38,34,-4,43,BalancedZippelSeparated
fire7_graph5_rank0040,32,29,-3,41,BalancedZippelSeparated
fire7_graph5_rank0041,32,29,-3,41,BalancedZippelSeparated
fire7_graph5_rank0042,33,33,0,48,BalancedZippelSeparated
fire7_graph5_rank0043,42,38,-4,56,BalancedZippelSeparated
fire7_graph5_rank0044,37,32,-5,54,BalancedZippelSeparated
fire7_graph5_rank0045,31,31,0,44,BalancedZippelSeparated
fire7_graph5_rank0046,33,29,-4,42,BalancedZippelSeparated
fire7_graph5_rank0047,42,42,0,60,BalancedZippelSeparated
fire7_graph5_rank0048,33,29,-4,44,BalancedZippelSeparated
fire7_graph5_rank0049,31,31,0,44,BalancedZippelSeparated
fire7_graph5_rank0050,34,30,-4,49,BalancedZippelSeparated
fire7_graph5_rank0051,32,29,-3,41,BalancedZippelSeparated
fire7_graph5_rank0052,31,28,-3,36,BalancedZippelSeparated
fire7_graph5_rank0053,31,28,-3,39,BalancedZippelSeparated
fire7_graph5_rank0054,31,28,-3,39,BalancedZippelSeparated
fire7_graph5_rank0055,31,31,0,44,BalancedZippelSeparated
fire7_graph5_rank0056,31,28,-3,39,BalancedZippelSeparated
fire7_graph5_rank0057,35,31,-4,49,BalancedZippelSeparated
fire7_graph5_rank0058,31,31,0,44,BalancedZippelSeparated
fire7_graph5_rank0059,34,30,-4,46,BalancedZippelSeparated
fire7_graph5_rank0060,31,28,-3,39,BalancedZippelSeparated
fire7_graph5_rank0061,32,32,0,46,BalancedZippelSeparated
fire7_graph5_rank0062,35,31,-4,47,BalancedZippelSeparated
fire7_graph5_rank0063,31,28,-3,39,BalancedZippelSeparated
fire7_graph5_rank0064,29,26,-3,34,BalancedZippelSeparated
fire7_graph5_rank0065,31,28,-3,39,BalancedZippelSeparated
fire7_graph5_rank0066,35,31,-4,49,BalancedZippelSeparated
fire7_graph5_rank0067,31,28,-3,39,BalancedZippelSeparated
fire7_graph5_rank0068,35,32,-3,49,BalancedZippelSeparated
fire7_graph5_rank0069,31,29,-2,41,BalancedZippelSeparated
fire7_graph5_rank0070,33,29,-4,42,BalancedZippelSeparated
fire7_graph5_rank0071,35,32,-3,41,BalancedZippelSeparated
fire7_graph5_rank0072,31,28,-3,39,BalancedZippelSeparated
fire7_graph5_rank0073,30,30,0,38,BalancedZippelSeparated
fire7_graph5_rank0074,36,32,-4,52,BalancedZippelSeparated
fire7_graph5_rank0075,35,32,-3,45,BalancedZippelSeparated
fire7_graph5_rank0076,28,28,0,36,BalancedZippelSeparated
fire7_graph5_rank0077,29,26,-3,34,BalancedZippelSeparated
fire7_graph5_rank0078,30,27,-3,36,BalancedZippelSeparated
fire7_graph5_rank0079,30,27,-3,36,BalancedZippelSeparated
fire7_graph5_rank0080,27,25,-2,30,BalancedZippelSeparated
fire7_graph5_rank0081,28,26,-2,32,BalancedZippelSeparated
fire7_graph5_rank0082,29,26,-3,34,BalancedZippelSeparated
fire7_graph5_rank0083,29,26,-3,34,BalancedZippelSeparated
fire7_graph5_rank0084,29,26,-3,34,BalancedZippelSeparated
fire7_graph5_rank0085,29,29,0,36,BalancedZippelSeparated
fire7_graph5_rank0086,27,24,-3,33,BalancedZippelSeparated
fire7_graph5_rank0087,28,26,-2,32,BalancedZippelSeparated
fire7_graph5_rank0088,27,25,-2,30,BalancedZippelSeparated
fire7_graph5_rank0089,36,31,-5,50,BalancedZippelSeparated
fire7_graph5_rank0090,30,27,-3,36,BalancedZippelSeparated
fire7_graph5_rank0091,31,31,0,44,BalancedZippelSeparated
fire7_graph5_rank0092,28,28,0,36,BalancedZippelSeparated
fire7_graph5_rank0093,30,30,0,38,BalancedZippelSeparated
fire7_graph5_rank0094,28,28,0,36,BalancedZippelSeparated
fire7_graph5_rank0095,32,28,-4,40,BalancedZippelSeparated
fire7_graph5_rank0096,33,29,-4,42,BalancedZippelSeparated
fire7_graph5_rank0097,29,26,-3,34,BalancedZippelSeparated
fire7_graph5_rank0098,29,25,-4,37,BalancedZippelSeparated
fire7_graph5_rank0099,33,29,-4,42,BalancedZippelSeparated
fire7_graph5_rank0100,32,28,-4,36,BalancedZippelSeparated
fire7_graph5_rank0101,30,30,0,36,BalancedZippelSeparated
fire7_graph5_rank0102,29,25,-4,39,BalancedZippelSeparated
fire7_graph5_rank0103,30,28,-2,31,BalancedZippelSeparated
fire7_graph5_rank0104,30,28,-2,31,BalancedZippelSeparated
fire7_graph5_rank0105,32,28,-4,40,BalancedZippelSeparated
fire7_graph5_rank0106,28,28,0,36,BalancedZippelSeparated
fire7_graph5_rank0107,30,28,-2,31,BalancedZippelSeparated
fire7_graph5_rank0108,27,24,-3,33,BalancedZippelSeparated
fire7_graph5_rank0109,29,26,-3,34,BalancedZippelSeparated
fire7_graph5_rank0110,28,28,0,36,BalancedZippelSeparated
fire7_graph5_rank0111,28,28,0,36,BalancedZippelSeparated
fire7_graph5_rank0112,27,27,0,30,BalancedZippelSeparated
fire7_graph5_rank0113,27,27,0,30,BalancedZippelSeparated
fire7_graph5_rank0114,29,26,-3,33,BalancedZippelSeparated
fire7_graph5_rank0115,29,25,-4,39,BalancedZippelSeparated
fire7_graph5_rank0116,29,26,-3,33,BalancedZippelSeparated
fire7_graph5_rank0117,34,30,-4,46,BalancedZippelSeparated
fire7_graph5_rank0118,28,26,-2,32,BalancedZippelSeparated
fire7_graph5_rank0119,31,29,-2,38,BalancedZippelSeparated
fire7_graph5_rank0120,28,28,0,36,BalancedZippelSeparated
fire7_graph5_rank0121,26,24,-2,30,BalancedZippelSeparated
fire7_graph5_rank0122,26,24,-2,30,BalancedZippelSeparated
fire7_graph5_rank0123,29,26,-3,33,BalancedZippelSeparated
fire7_graph5_rank0124,28,28,0,36,BalancedZippelSeparated
fire7_graph5_rank0125,26,24,-2,30,BalancedZippelSeparated
fire7_graph5_rank0126,30,30,0,36,BalancedZippelSeparated
fire7_graph5_rank0127,28,28,0,34,BalancedZippelSeparated
fire7_graph5_rank0128,29,26,-3,34,BalancedZippelSeparated
