case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001,Automatic,1,ok,607.183,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.592,BalancedZippelSeparated
fire7_graph5_rank0001,Automatic,2,ok,372.852,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.763,BalancedZippelSeparated
fire7_graph5_rank0001,Automatic,3,ok,313.211,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.483,BalancedZippelSeparated
fire7_graph5_rank0002,Automatic,1,ok,475.911,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.404,BalancedZippelSeparated
fire7_graph5_rank0002,Automatic,2,ok,295.331,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.541,BalancedZippelSeparated
fire7_graph5_rank0002,Automatic,3,ok,606.532,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.765,BalancedZippelSeparated
fire7_graph5_rank0003,Automatic,1,ok,507.072,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.374,BalancedZippelSeparated
fire7_graph5_rank0003,Automatic,2,ok,256.292,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.579,BalancedZippelSeparated
fire7_graph5_rank0003,Automatic,3,ok,276.792,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.577,BalancedZippelSeparated
fire7_graph5_rank0004,Automatic,1,ok,289.061,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.594,BalancedZippelSeparated
fire7_graph5_rank0004,Automatic,2,ok,424.142,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.382,BalancedZippelSeparated
fire7_graph5_rank0004,Automatic,3,ok,277.121,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.378,BalancedZippelSeparated
fire7_graph5_rank0005,Automatic,1,ok,253.021,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.589,BalancedZippelSeparated
fire7_graph5_rank0005,Automatic,2,ok,298.352,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.467,BalancedZippelSeparated
fire7_graph5_rank0005,Automatic,3,ok,275.701,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.500,BalancedZippelSeparated
fire7_graph5_rank0006,Automatic,1,ok,541.893,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.394,BalancedZippelSeparated
fire7_graph5_rank0006,Automatic,2,ok,287.251,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.366,BalancedZippelSeparated
fire7_graph5_rank0006,Automatic,3,ok,447.312,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.327,BalancedZippelSeparated
fire7_graph5_rank0007,Automatic,1,ok,577.223,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.495,BalancedZippelSeparated
fire7_graph5_rank0007,Automatic,2,ok,342.851,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.737,BalancedZippelSeparated
fire7_graph5_rank0007,Automatic,3,ok,230.770,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.330,BalancedZippelSeparated
fire7_graph5_rank0008,Automatic,1,ok,244.401,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.516,BalancedZippelSeparated
fire7_graph5_rank0008,Automatic,2,ok,565.232,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.491,BalancedZippelSeparated
fire7_graph5_rank0008,Automatic,3,ok,234.271,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.348,BalancedZippelSeparated
fire7_graph5_rank0009,Automatic,1,ok,297.572,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.462,BalancedZippelSeparated
fire7_graph5_rank0009,Automatic,2,ok,531.673,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.484,BalancedZippelSeparated
fire7_graph5_rank0009,Automatic,3,ok,350.711,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.628,BalancedZippelSeparated
fire7_graph5_rank0010,Automatic,1,ok,229.881,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.568,BalancedZippelSeparated
fire7_graph5_rank0010,Automatic,2,ok,225.901,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.536,BalancedZippelSeparated
fire7_graph5_rank0010,Automatic,3,ok,432.422,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.490,BalancedZippelSeparated
fire7_graph5_rank0011,Automatic,1,ok,228.670,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.393,BalancedZippelSeparated
fire7_graph5_rank0011,Automatic,2,ok,220.601,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.574,BalancedZippelSeparated
fire7_graph5_rank0011,Automatic,3,ok,247.411,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.681,BalancedZippelSeparated
fire7_graph5_rank0012,Automatic,1,ok,471.392,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.452,BalancedZippelSeparated
