case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,47147.402,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,22.646,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,54649.481,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,29.345,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,31396.161,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,30.633,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,23399.841,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,24.417,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,34638.563,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,34.136,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,32407.585,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,21.274,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,20886.661,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,25.207,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,42581.535,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,20.365,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,36777.532,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,34.728,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,39440.423,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,16.577,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,1,ok,46861.411,1337,2,1,0,0,2305843009213693967:1334;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,16.337,BalancedZippelSeparated
fire7_nb0_rank0012,Automatic,1,ok,25423.609,878,2,1,0,0,2305843009213693967:875;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,369,18.883,BalancedZippelSeparated
fire7_nb0_rank0013,Automatic,1,ok,34577.074,1108,2,1,0,0,2305843009213693967:1105;2305843009213693973:3,Symbolica_default,cached_powers_Q,534,232,17.072,BalancedZippelSeparated
fire7_nb0_rank0014,Automatic,1,ok,13533.872,963,2,1,0,0,2305843009213693967:960;2305843009213693973:3,Symbolica_default,cached_powers_Q,572,198,29.632,BalancedZippelSeparated
fire7_nb0_rank0015,Automatic,1,ok,30964.169,978,2,1,0,0,2305843009213693967:975;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,16.250,BalancedZippelSeparated
fire7_nb0_rank0016,Automatic,1,ok,40909.608,1102,2,1,0,0,2305843009213693967:1099;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,12.986,BalancedZippelSeparated
fire7_nb0_rank0017,Automatic,1,ok,35187.375,1141,2,1,0,0,2305843009213693967:1138;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,189,13.203,BalancedZippelSeparated
fire7_nb0_rank0018,Automatic,1,ok,18689.952,1210,2,1,0,0,2305843009213693967:1207;2305843009213693973:3,Symbolica_default,cached_powers_Q,566,189,31.925,BalancedZippelSeparated
fire7_nb0_rank0019,Automatic,1,ok,43298.497,1089,2,1,0,0,2305843009213693967:1086;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,168,6.335,BalancedZippelSeparated
