case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001_reverse,FireFly_default,1,ok,3161.212,87,2,,,,9223372036854775643:1;9223372036854775783:86,FireFly_default,cached_powers_Q,26,14,,
fire7_graph5_rank0001_reverse,FireFly_scan,1,ok,7205.220,187,2,,,,9223372036854775643:43;9223372036854775783:144,FireFly_default,cached_powers_Q,26,14,,
fire7_graph5_rank0001_reverse,Automatic,1,ok,5872.284,79,2,1,0,0,2305843009213693967:76;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.350,BalancedZippel
fire7_graph5_rank0001_reverse,FireFly_scan,2,ok,7447.800,187,2,,,,9223372036854775643:43;9223372036854775783:144,FireFly_default,cached_powers_Q,26,14,,
fire7_graph5_rank0001_reverse,Automatic,2,ok,345.701,79,2,1,0,0,2305843009213693967:76;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.353,BalancedZippel
fire7_graph5_rank0001_reverse,FireFly_default,2,ok,3082.053,87,2,,,,9223372036854775643:1;9223372036854775783:86,FireFly_default,cached_powers_Q,26,14,,
fire7_graph5_rank0001_reverse,Automatic,3,ok,499.132,79,2,1,0,0,2305843009213693967:76;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.339,BalancedZippel
fire7_graph5_rank0001_reverse,FireFly_default,3,ok,3143.703,87,2,,,,9223372036854775643:1;9223372036854775783:86,FireFly_default,cached_powers_Q,26,14,,
fire7_graph5_rank0001_reverse,FireFly_scan,3,ok,7619.431,187,2,,,,9223372036854775643:43;9223372036854775783:144,FireFly_default,cached_powers_Q,26,14,,
fire7_graph5_rank0002_reverse,FireFly_default,1,ok,3458.534,97,2,,,,9223372036854775643:1;9223372036854775783:96,FireFly_default,cached_powers_Q,29,16,,
fire7_graph5_rank0002_reverse,FireFly_scan,1,ok,7681.601,204,2,,,,9223372036854775643:47;9223372036854775783:157,FireFly_default,cached_powers_Q,29,16,,
fire7_graph5_rank0002_reverse,Automatic,1,ok,370.111,87,2,1,0,0,2305843009213693967:84;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.358,BalancedZippel
