case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001_reverse,Automatic,1,ok,602.393,79,2,1,0,0,2305843009213693967:76;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.803,BalancedZippel
fire7_graph5_rank0001_reverse,Automatic,2,ok,689.342,79,2,1,0,0,2305843009213693967:76;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.518,BalancedZippel
fire7_graph5_rank0001_reverse,Automatic,3,ok,719.202,79,2,1,0,0,2305843009213693967:76;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.579,BalancedZippel
fire7_graph5_rank0002_reverse,Automatic,1,ok,637.883,87,2,1,0,0,2305843009213693967:84;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.685,BalancedZippel
fire7_graph5_rank0002_reverse,Automatic,2,ok,648.782,87,2,1,0,0,2305843009213693967:84;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.780,BalancedZippel
fire7_graph5_rank0002_reverse,Automatic,3,ok,845.054,87,2,1,0,0,2305843009213693967:84;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.644,BalancedZippel
fire7_graph5_rank0003_reverse,Automatic,1,ok,793.713,74,2,1,0,0,2305843009213693967:71;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.834,BalancedZippel
fire7_graph5_rank0003_reverse,Automatic,2,ok,790.803,74,2,1,0,0,2305843009213693967:71;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.858,BalancedZippel
fire7_graph5_rank0003_reverse,Automatic,3,ok,793.913,74,2,1,0,0,2305843009213693967:71;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.839,BalancedZippel
fire7_graph5_rank0004_reverse,Automatic,1,ok,546.132,76,2,1,0,0,2305843009213693967:73;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.720,BalancedZippel
fire7_graph5_rank0004_reverse,Automatic,2,ok,844.983,76,2,1,0,0,2305843009213693967:73;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.632,BalancedZippel
fire7_graph5_rank0004_reverse,Automatic,3,ok,750.773,76,2,1,0,0,2305843009213693967:73;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.756,BalancedZippel
fire7_graph5_rank0005_reverse,Automatic,1,ok,464.342,65,2,1,0,0,2305843009213693967:62;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,1.048,BalancedZippel
fire7_graph5_rank0005_reverse,Automatic,2,ok,676.693,65,2,1,0,0,2305843009213693967:62;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.798,BalancedZippel
fire7_graph5_rank0005_reverse,Automatic,3,ok,484.842,65,2,1,0,0,2305843009213693967:62;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.574,BalancedZippel
fire7_graph5_rank0006_reverse,Automatic,1,ok,547.422,74,2,1,0,0,2305843009213693967:71;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.914,BalancedZippel
fire7_graph5_rank0006_reverse,Automatic,2,ok,798.213,74,2,1,0,0,2305843009213693967:71;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.776,BalancedZippel
fire7_graph5_rank0006_reverse,Automatic,3,ok,507.013,74,2,1,0,0,2305843009213693967:71;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.753,BalancedZippel
fire7_graph5_rank0007_reverse,Automatic,1,ok,707.773,68,2,1,0,0,2305843009213693967:65;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.872,BalancedZippel
fire7_graph5_rank0007_reverse,Automatic,2,ok,725.173,68,2,1,0,0,2305843009213693967:65;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.690,BalancedZippel
fire7_graph5_rank0007_reverse,Automatic,3,ok,703.673,68,2,1,0,0,2305843009213693967:65;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.508,BalancedZippel
fire7_graph5_rank0008_reverse,Automatic,1,ok,612.093,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.453,BalancedZippel
fire7_graph5_rank0008_reverse,Automatic,2,ok,420.911,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.507,BalancedZippel
fire7_graph5_rank0008_reverse,Automatic,3,ok,689.782,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.747,BalancedZippel
fire7_graph5_rank0009_reverse,Automatic,1,ok,494.611,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.577,BalancedZippel
fire7_graph5_rank0009_reverse,Automatic,2,ok,665.452,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.655,BalancedZippel
fire7_graph5_rank0009_reverse,Automatic,3,ok,438.572,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.545,BalancedZippel
fire7_graph5_rank0010_reverse,Automatic,1,ok,710.913,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.563,BalancedZippel
fire7_graph5_rank0010_reverse,Automatic,2,ok,650.083,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.737,BalancedZippel
fire7_graph5_rank0010_reverse,Automatic,3,ok,660.552,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.609,BalancedZippel
fire7_graph5_rank0011_reverse,Automatic,1,ok,662.363,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.621,BalancedZippel
fire7_graph5_rank0011_reverse,Automatic,2,ok,471.031,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.895,BalancedZippel
fire7_graph5_rank0011_reverse,Automatic,3,ok,576.422,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.744,BalancedZippel
fire7_graph5_rank0012_reverse,Automatic,1,ok,662.623,58,2,1,0,0,2305843009213693967:55;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.550,BalancedZippel
fire7_graph5_rank0012_reverse,Automatic,2,ok,592.962,58,2,1,0,0,2305843009213693967:55;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.468,BalancedZippel
fire7_graph5_rank0012_reverse,Automatic,3,ok,625.233,58,2,1,0,0,2305843009213693967:55;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.696,BalancedZippel
fire7_graph5_rank0013_reverse,Automatic,1,ok,351.682,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.828,BalancedZippel
fire7_graph5_rank0013_reverse,Automatic,2,ok,307.281,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.485,BalancedZippel
fire7_graph5_rank0013_reverse,Automatic,3,ok,509.402,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.469,BalancedZippel
fire7_graph5_rank0014_reverse,Automatic,1,ok,448.572,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.614,BalancedZippel
fire7_graph5_rank0014_reverse,Automatic,2,ok,506.902,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.474,BalancedZippel
fire7_graph5_rank0014_reverse,Automatic,3,ok,420.692,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.474,BalancedZippel
fire7_graph5_rank0015_reverse,Automatic,1,ok,454.351,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.444,BalancedZippel
fire7_graph5_rank0015_reverse,Automatic,2,ok,441.172,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.427,BalancedZippel
fire7_graph5_rank0015_reverse,Automatic,3,ok,421.431,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.470,BalancedZippel
fire7_graph5_rank0016_reverse,Automatic,1,ok,650.963,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.568,BalancedZippel
fire7_graph5_rank0016_reverse,Automatic,2,ok,551.052,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.565,BalancedZippel
fire7_graph5_rank0016_reverse,Automatic,3,ok,582.752,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.393,BalancedZippel
fire7_graph5_rank0017_reverse,Automatic,1,ok,713.533,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.872,BalancedZippel
fire7_graph5_rank0017_reverse,Automatic,2,ok,494.962,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.876,BalancedZippel
fire7_graph5_rank0017_reverse,Automatic,3,ok,504.222,60,2,1,0,0,2305843009213693967:57;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.790,BalancedZippel
fire7_graph5_rank0078_reverse,Automatic,1,ok,578.102,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,8,0.546,BalancedZippel
fire7_graph5_rank0078_reverse,Automatic,2,ok,394.132,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,8,0.834,BalancedZippel
fire7_graph5_rank0078_reverse,Automatic,3,ok,413.132,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,8,0.777,BalancedZippel
fire7_graph5_rank0140_reverse,Automatic,1,ok,403.912,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,12,0.755,BalancedZippel
fire7_graph5_rank0140_reverse,Automatic,2,ok,365.261,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,12,0.756,BalancedZippel
fire7_graph5_rank0140_reverse,Automatic,3,ok,689.143,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,12,0.507,BalancedZippel
fire7_graph5_rank0202_reverse,Automatic,1,ok,557.493,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,10,0.479,BalancedZippel
fire7_graph5_rank0202_reverse,Automatic,2,ok,353.731,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,10,0.745,BalancedZippel
fire7_graph5_rank0202_reverse,Automatic,3,ok,338.471,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,10,0.701,BalancedZippel
fire7_graph5_rank0264_reverse,Automatic,1,ok,568.083,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,6,4,0.423,BalancedZippel
fire7_graph5_rank0264_reverse,Automatic,2,ok,324.432,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,6,4,0.674,BalancedZippel
fire7_graph5_rank0264_reverse,Automatic,3,ok,314.751,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,6,4,0.425,BalancedZippel
fire7_graph5_rank0326_reverse,Automatic,1,ok,292.291,20,2,1,0,0,2305843009213693967:17;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,4,0.371,BalancedZippel
fire7_graph5_rank0326_reverse,Automatic,2,ok,275.452,20,2,1,0,0,2305843009213693967:17;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,4,0.647,BalancedZippel
fire7_graph5_rank0326_reverse,Automatic,3,ok,484.852,20,2,1,0,0,2305843009213693967:17;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,4,0.364,BalancedZippel
fire7_graph5_rank0388_reverse,Automatic,1,ok,234.781,20,2,1,0,0,2305843009213693967:17;2305843009213693973:3,Symbolica_default,cached_powers_Q,2,4,0.449,BalancedZippel
fire7_graph5_rank0388_reverse,Automatic,2,ok,286.361,20,2,1,0,0,2305843009213693967:17;2305843009213693973:3,Symbolica_default,cached_powers_Q,2,4,0.656,BalancedZippel
fire7_graph5_rank0388_reverse,Automatic,3,ok,255.931,20,2,1,0,0,2305843009213693967:17;2305843009213693973:3,Symbolica_default,cached_powers_Q,2,4,0.415,BalancedZippel
fire7_graph5_rank0450_reverse,Automatic,1,ok,546.002,24,2,1,0,0,2305843009213693967:21;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,3,0.402,BalancedZippelSeparated
fire7_graph5_rank0450_reverse,Automatic,2,ok,307.691,24,2,1,0,0,2305843009213693967:21;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,3,0.612,BalancedZippelSeparated
fire7_graph5_rank0450_reverse,Automatic,3,ok,507.022,24,2,1,0,0,2305843009213693967:21;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,3,0.448,BalancedZippelSeparated
fire7_graph5_rank0511_reverse,Automatic,1,ok,535.062,24,2,1,0,0,2305843009213693967:21;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,3,0.455,BalancedZippel
fire7_graph5_rank0511_reverse,Automatic,2,ok,361.861,24,2,1,0,0,2305843009213693967:21;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,3,0.605,BalancedZippel
fire7_graph5_rank0511_reverse,Automatic,3,ok,531.341,24,2,1,0,0,2305843009213693967:21;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,3,0.442,BalancedZippel
fire7_graph5_rank0573_reverse,Automatic,1,ok,342.771,23,2,1,0,0,2305843009213693967:20;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,2,0.611,BalancedZippelSeparated
fire7_graph5_rank0573_reverse,Automatic,2,ok,517.522,23,2,1,0,0,2305843009213693967:20;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,2,0.435,BalancedZippelSeparated
fire7_graph5_rank0573_reverse,Automatic,3,ok,423.811,23,2,1,0,0,2305843009213693967:20;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,2,0.327,BalancedZippelSeparated
