case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,35548.911,1732,2,1,0,0,2305843009213693967:1729;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,8.589,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,44187.952,1934,2,1,0,0,2305843009213693967:1931;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,8.288,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,27912.326,1452,2,1,0,0,2305843009213693967:1449;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,5.782,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,22082.295,1277,2,1,0,0,2305843009213693967:1274;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,7.533,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,24421.233,1408,2,1,0,0,2305843009213693967:1405;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,7.543,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,23147.770,1355,2,1,0,0,2305843009213693967:1352;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,8.881,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,19317.746,1165,2,1,0,0,2305843009213693967:1162;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,7.309,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,21808.215,1165,2,1,0,0,2305843009213693967:1162;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,5.293,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,18328.303,1151,2,1,0,0,2305843009213693967:1148;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,7.359,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,22548.638,1324,2,1,0,0,2305843009213693967:1321;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,6.275,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,1,ok,23039.239,1338,2,1,0,0,2305843009213693967:1335;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,5.147,BalancedZippelSeparated
fire7_nb0_rank0012,Automatic,1,ok,13817.187,879,2,1,0,0,2305843009213693967:876;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,369,3.033,BalancedZippelSeparated
fire7_nb0_rank0013,Automatic,1,ok,18918.945,1109,2,1,0,0,2305843009213693967:1106;2305843009213693973:3,Symbolica_default,cached_powers_Q,534,232,4.968,BalancedZippelSeparated
