case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,61926.682,1963,2,1,0,0,2305843009213693967:1960;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,12.249,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,67770.912,2171,2,1,0,0,2305843009213693967:2168;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,13.323,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,41280.562,1656,2,1,0,0,2305843009213693967:1653;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,6.683,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,32904.463,1472,2,1,0,0,2305843009213693967:1469;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,11.882,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,36636.355,1630,2,1,0,0,2305843009213693967:1627;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,12.707,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,34354.678,1568,2,1,0,0,2305843009213693967:1565;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,11.689,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,28604.869,1339,2,1,0,0,2305843009213693967:1336;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,10.808,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,31942.779,1339,2,1,0,0,2305843009213693967:1336;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,8.392,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,25800.498,1307,2,1,0,0,2305843009213693967:1304;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,9.279,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,32658.822,1464,2,1,0,0,2305843009213693967:1461;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,7.856,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,1,ok,29941.023,1480,2,1,0,0,2305843009213693967:1477;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,7.805,BalancedZippelSeparated
fire7_nb0_rank0012,Automatic,1,ok,21388.294,1094,2,1,0,0,2305843009213693967:1091;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,369,8.188,BalancedZippelSeparated
fire7_nb0_rank0013,Automatic,1,ok,27067.223,1268,2,1,0,0,2305843009213693967:1265;2305843009213693973:3,Symbolica_default,cached_powers_Q,534,232,7.709,BalancedZippelSeparated
fire7_nb0_rank0014,Automatic,1,ok,23637.901,1117,2,1,0,0,2305843009213693967:1114;2305843009213693973:3,Symbolica_default,cached_powers_Q,572,198,7.488,BalancedZippelSeparated
fire7_nb0_rank0015,Automatic,1,ok,24710.855,1135,2,1,0,0,2305843009213693967:1132;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,7.605,BalancedZippelSeparated
fire7_nb0_rank0016,Automatic,1,ok,26504.771,1259,2,1,0,0,2305843009213693967:1256;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,7.806,BalancedZippelSeparated
fire7_nb0_rank0017,Automatic,1,ok,29618.401,1266,2,1,0,0,2305843009213693967:1263;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,189,7.460,BalancedZippelSeparated
fire7_nb0_rank0018,Automatic,1,ok,24714.294,1335,2,1,0,0,2305843009213693967:1332;2305843009213693973:3,Symbolica_default,cached_powers_Q,566,189,9.930,BalancedZippelSeparated
fire7_nb0_rank0019,Automatic,1,ok,28537.958,1258,2,1,0,0,2305843009213693967:1255;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,168,7.116,BalancedZippelSeparated
fire7_nb0_rank0020,Automatic,1,ok,18405.813,1023,2,1,0,0,2305843009213693967:1020;2305843009213693973:3,Symbolica_default,cached_powers_Q,539,189,8.901,BalancedZippelSeparated
fire7_nb0_rank0021,Automatic,1,ok,22752.408,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,312,6.746,BalancedZippelSeparated
fire7_nb0_rank0022,Automatic,1,ok,26875.212,1232,2,1,0,0,2305843009213693967:1229;2305843009213693973:3,Symbolica_default,cached_powers_Q,550,168,7.349,BalancedZippelSeparated
fire7_nb0_rank0023,Automatic,1,ok,21021.452,1075,2,1,0,0,2305843009213693967:1072;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,240,7.323,BalancedZippelSeparated
fire7_nb0_rank0024,Automatic,1,ok,20874.832,1133,2,1,0,0,2305843009213693967:1130;2305843009213693973:3,Symbolica_default,cached_powers_Q,497,240,7.632,BalancedZippelSeparated
fire7_nb0_rank0025,Automatic,1,ok,23706.942,1018,2,1,0,0,2305843009213693967:1015;2305843009213693973:3,Symbolica_default,cached_powers_Q,395,328,7.087,BalancedZippelSeparated
fire7_nb0_rank0026,Automatic,1,ok,23601.211,1189,2,1,0,0,2305843009213693967:1186;2305843009213693973:3,Symbolica_default,cached_powers_Q,532,168,7.039,BalancedZippelSeparated
fire7_nb0_rank0027,Automatic,1,ok,18937.254,946,2,1,0,0,2305843009213693967:943;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,232,7.243,BalancedZippelSeparated
fire7_nb0_rank0028,Automatic,1,ok,23692.832,1028,2,1,0,0,2305843009213693967:1025;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,147,6.356,BalancedZippelSeparated
fire7_nb0_rank0029,Automatic,1,ok,16935.378,885,2,1,0,0,2305843009213693967:882;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,162,6.734,BalancedZippelSeparated
fire7_nb0_rank0030,Automatic,1,ok,23970.232,1128,2,1,0,0,2305843009213693967:1125;2305843009213693973:3,Symbolica_default,cached_powers_Q,504,126,6.309,BalancedZippelSeparated
fire7_nb0_rank0031,Automatic,1,ok,23460.051,1105,2,1,0,0,2305843009213693967:1102;2305843009213693973:3,Symbolica_default,cached_powers_Q,471,147,5.634,BalancedZippelSeparated
fire7_nb0_rank0032,Automatic,1,ok,20693.622,960,2,1,0,0,2305843009213693967:957;2305843009213693973:3,Symbolica_default,cached_powers_Q,449,153,6.628,BalancedZippelSeparated
fire7_nb0_rank0033,Automatic,1,ok,16285.445,869,2,1,0,0,2305843009213693967:866;2305843009213693973:3,Symbolica_default,cached_powers_Q,404,192,6.583,BalancedZippelSeparated
fire7_nb0_rank0034,Automatic,1,ok,19057.956,1051,2,1,0,0,2305843009213693967:1048;2305843009213693973:3,Symbolica_default,cached_powers_Q,458,144,7.768,BalancedZippelSeparated
fire7_nb0_rank0035,Automatic,1,ok,18477.093,1016,2,1,0,0,2305843009213693967:1013;2305843009213693973:3,Symbolica_default,cached_powers_Q,445,154,6.478,BalancedZippelSeparated
fire7_nb0_rank0036,Automatic,1,ok,16321.205,1009,2,1,0,0,2305843009213693967:1006;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,168,6.694,BalancedZippelSeparated
fire7_nb0_rank0037,Automatic,1,ok,17728.160,931,2,1,0,0,2305843009213693967:928;2305843009213693973:3,Symbolica_default,cached_powers_Q,405,168,6.577,BalancedZippelSeparated
fire7_nb0_rank0038,Automatic,1,ok,20811.652,1107,2,1,0,0,2305843009213693967:1104;2305843009213693973:3,Symbolica_default,cached_powers_Q,466,119,5.915,BalancedZippelSeparated
fire7_nb0_rank0039,Automatic,1,ok,15060.902,836,2,1,0,0,2305843009213693967:833;2305843009213693973:3,Symbolica_default,cached_powers_Q,308,240,6.536,BalancedZippelSeparated
fire7_nb0_rank0040,Automatic,1,ok,18450.613,987,2,1,0,0,2305843009213693967:984;2305843009213693973:3,Symbolica_default,cached_powers_Q,443,119,6.511,BalancedZippelSeparated
fire7_nb0_rank0041,Automatic,1,ok,12889.245,717,2,1,0,0,2305843009213693967:714;2305843009213693973:3,Symbolica_default,cached_powers_Q,362,176,5.981,BalancedZippelSeparated
fire7_nb0_rank0042,Automatic,1,ok,20855.421,994,2,1,0,0,2305843009213693967:991;2305843009213693973:3,Symbolica_default,cached_powers_Q,400,147,6.359,BalancedZippelSeparated
fire7_nb0_rank0043,Automatic,1,ok,21956.095,1073,2,1,0,0,2305843009213693967:1070;2305843009213693973:3,Symbolica_default,cached_powers_Q,432,126,6.582,BalancedZippelSeparated
fire7_nb0_rank0044,Automatic,1,ok,21377.024,1049,2,1,0,0,2305843009213693967:1046;2305843009213693973:3,Symbolica_default,cached_powers_Q,418,126,6.251,BalancedZippelSeparated
fire7_nb0_rank0045,Automatic,1,ok,19942.028,910,2,1,0,0,2305843009213693967:907;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,126,6.281,BalancedZippelSeparated
fire7_nb0_rank0046,Automatic,1,ok,20253.750,1005,2,1,0,0,2305843009213693967:1002;2305843009213693973:3,Symbolica_default,cached_powers_Q,422,132,6.539,BalancedZippelSeparated
fire7_nb0_rank0047,Automatic,1,ok,16938.418,936,2,1,0,0,2305843009213693967:933;2305843009213693973:3,Symbolica_default,cached_powers_Q,452,77,6.304,BalancedZippelSeparated
fire7_nb0_rank0048,Automatic,1,ok,11104.448,832,2,1,0,0,2305843009213693967:829;2305843009213693973:3,Symbolica_default,cached_powers_Q,280,224,6.197,BalancedZippelSeparated
fire7_nb0_rank0049,Automatic,1,ok,10914.958,832,2,1,0,0,2305843009213693967:829;2305843009213693973:3,Symbolica_default,cached_powers_Q,280,224,6.188,BalancedZippelSeparated
fire7_nb0_rank0050,Automatic,1,ok,13443.846,777,2,1,0,0,2305843009213693967:774;2305843009213693973:3,Symbolica_default,cached_powers_Q,340,176,9.268,BalancedZippelSeparated
fire7_nb0_rank0051,Automatic,1,ok,18045.302,968,2,1,0,0,2305843009213693967:965;2305843009213693973:3,Symbolica_default,cached_powers_Q,383,162,6.408,BalancedZippelSeparated
