case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,FireFly_default,1,ok,2875751.310,18753,3,,,,9223372036854775549:1;9223372036854775643:2657;9223372036854775783:16095,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0002,FireFly_default,1,ok,2974852.907,19328,3,,,,9223372036854775549:1;9223372036854775643:2690;9223372036854775783:16637,FireFly_default,cached_powers_Q,877,414,,
fire7_nb0_rank0003,FireFly_default,1,ok,1824625.255,13871,3,,,,9223372036854775549:1;9223372036854775643:1948;9223372036854775783:11922,FireFly_default,cached_powers_Q,753,243,,
fire7_nb0_rank0004,FireFly_default,1,ok,1587109.851,13487,3,,,,9223372036854775549:1;9223372036854775643:1899;9223372036854775783:11587,FireFly_default,cached_powers_Q,722,243,,
fire7_nb0_rank0005,FireFly_default,1,ok,1547032.321,12599,3,,,,9223372036854775549:1;9223372036854775643:2040;9223372036854775783:10558,FireFly_default,cached_powers_Q,739,224,,
fire7_nb0_rank0006,FireFly_default,1,ok,1375120.589,11359,3,,,,9223372036854775549:1;9223372036854775643:1928;9223372036854775783:9430,FireFly_default,cached_powers_Q,720,224,,
fire7_nb0_rank0007,FireFly_default,1,ok,834887.525,8528,2,,,,9223372036854775643:1;9223372036854775783:8527,FireFly_default,cached_powers_Q,648,261,,
fire7_nb0_rank0008,FireFly_default,1,ok,1152595.018,9573,3,,,,9223372036854775549:1;9223372036854775643:1709;9223372036854775783:7863,FireFly_default,cached_powers_Q,645,261,,
fire7_nb0_rank0009,FireFly_default,1,ok,1185990.955,10796,3,,,,9223372036854775549:1;9223372036854775643:1609;9223372036854775783:9186,FireFly_default,cached_powers_Q,578,261,,
fire7_nb0_rank0010,FireFly_default,1,ok,781864.319,9165,2,,,,9223372036854775643:1;9223372036854775783:9164,FireFly_default,cached_powers_Q,639,196,,
fire7_nb0_rank0011,FireFly_default,1,ok,708856.013,8215,2,,,,9223372036854775643:1;9223372036854775783:8214,FireFly_default,cached_powers_Q,640,196,,
fire7_nb0_rank0012,FireFly_default,1,ok,743235.653,7464,3,,,,9223372036854775549:1;9223372036854775643:1375;9223372036854775783:6088,FireFly_default,cached_powers_Q,431,369,,
fire7_nb0_rank0013,FireFly_default,1,ok,701931.319,8581,2,,,,9223372036854775643:1;9223372036854775783:8580,FireFly_default,cached_powers_Q,534,232,,
fire7_nb0_rank0014,FireFly_default,1,ok,903871.946,8587,3,,,,9223372036854775549:1;9223372036854775643:1398;9223372036854775783:7188,FireFly_default,cached_powers_Q,572,198,,
fire7_nb0_rank0015,FireFly_default,1,ok,662188.430,8158,2,,,,9223372036854775643:1;9223372036854775783:8157,FireFly_default,cached_powers_Q,530,232,,
fire7_nb0_rank0016,FireFly_default,1,ok,1129514.187,11239,3,,,,9223372036854775549:1;9223372036854775643:1561;9223372036854775783:9677,FireFly_default,cached_powers_Q,530,232,,
fire7_nb0_rank0017,FireFly_default,1,ok,896119.148,10141,3,,,,9223372036854775549:1;9223372036854775643:1555;9223372036854775783:8585,FireFly_default,cached_powers_Q,567,189,,
fire7_nb0_rank0018,FireFly_default,1,ok,675984.238,9206,2,,,,9223372036854775643:1;9223372036854775783:9205,FireFly_default,cached_powers_Q,566,189,,
fire7_nb0_rank0019,FireFly_default,1,ok,997733.184,10143,3,,,,9223372036854775549:1;9223372036854775643:1453;9223372036854775783:8689,FireFly_default,cached_powers_Q,567,168,,
fire7_nb0_rank0020,FireFly_default,1,ok,872970.297,8665,3,,,,9223372036854775549:1;9223372036854775643:1329;9223372036854775783:7335,FireFly_default,cached_powers_Q,539,189,,
fire7_nb0_rank0021,FireFly_default,1,ok,399653.189,5246,2,,,,9223372036854775643:1;9223372036854775783:5245,FireFly_default,cached_powers_Q,407,312,,
fire7_nb0_rank0022,FireFly_default,1,ok,611045.990,7634,2,,,,9223372036854775643:1;9223372036854775783:7633,FireFly_default,cached_powers_Q,550,168,,
fire7_nb0_rank0023,FireFly_default,1,ok,727394.228,7767,3,,,,9223372036854775549:1;9223372036854775643:1302;9223372036854775783:6464,FireFly_default,cached_powers_Q,482,240,,
fire7_nb0_rank0024,FireFly_default,1,ok,570136.696,7368,2,,,,9223372036854775643:1;9223372036854775783:7367,FireFly_default,cached_powers_Q,497,240,,
fire7_nb0_rank0025,FireFly_default,1,ok,427298.546,5633,2,,,,9223372036854775643:1;9223372036854775783:5632,FireFly_default,cached_powers_Q,395,328,,
fire7_nb0_rank0026,FireFly_default,1,ok,473919.439,6053,2,,,,9223372036854775643:1;9223372036854775783:6052,FireFly_default,cached_powers_Q,532,168,,
fire7_nb0_rank0027,FireFly_default,1,ok,689280.313,8042,3,,,,9223372036854775549:1;9223372036854775643:1241;9223372036854775783:6800,FireFly_default,cached_powers_Q,451,232,,
fire7_nb0_rank0028,FireFly_default,1,ok,485545.740,6860,2,,,,9223372036854775643:1;9223372036854775783:6859,FireFly_default,cached_powers_Q,482,147,,
fire7_nb0_rank0029,FireFly_default,1,ok,555879.616,7204,3,,,,9223372036854775549:1;9223372036854775643:1018;9223372036854775783:6185,FireFly_default,cached_powers_Q,451,162,,
fire7_nb0_rank0030,FireFly_default,1,ok,395440.034,5458,2,,,,9223372036854775643:1;9223372036854775783:5457,FireFly_default,cached_powers_Q,504,126,,
fire7_nb0_rank0031,FireFly_default,1,ok,409425.184,5877,2,,,,9223372036854775643:1;9223372036854775783:5876,FireFly_default,cached_powers_Q,471,147,,
fire7_nb0_rank0032,FireFly_default,1,ok,533296.997,6590,3,,,,9223372036854775549:1;9223372036854775643:996;9223372036854775783:5593,FireFly_default,cached_powers_Q,449,153,,
fire7_nb0_rank0033,FireFly_default,1,ok,334125.809,4925,2,,,,9223372036854775643:1;9223372036854775783:4924,FireFly_default,cached_powers_Q,404,192,,
fire7_nb0_rank0034,FireFly_default,1,ok,367160.625,4907,2,,,,9223372036854775643:1;9223372036854775783:4906,FireFly_default,cached_powers_Q,458,144,,
fire7_nb0_rank0035,FireFly_default,1,ok,417226.860,6044,2,,,,9223372036854775643:1;9223372036854775783:6043,FireFly_default,cached_powers_Q,445,154,,
fire7_nb0_rank0036,FireFly_default,1,ok,445969.581,6090,2,,,,9223372036854775643:1;9223372036854775783:6089,FireFly_default,cached_powers_Q,431,168,,
fire7_nb0_rank0037,FireFly_default,1,ok,345141.118,4706,2,,,,9223372036854775643:1;9223372036854775783:4705,FireFly_default,cached_powers_Q,405,168,,
fire7_nb0_rank0038,FireFly_default,1,ok,499468.459,7657,2,,,,9223372036854775643:1;9223372036854775783:7656,FireFly_default,cached_powers_Q,466,119,,
fire7_nb0_rank0039,FireFly_default,1,ok,426965.864,5125,3,,,,9223372036854775549:1;9223372036854775643:941;9223372036854775783:4183,FireFly_default,cached_powers_Q,308,240,,
fire7_nb0_rank0040,FireFly_default,1,ok,398212.424,5414,2,,,,9223372036854775643:1;9223372036854775783:5413,FireFly_default,cached_powers_Q,443,119,,
fire7_nb0_rank0041,FireFly_default,1,ok,335443.304,5029,2,,,,9223372036854775643:1;9223372036854775783:5028,FireFly_default,cached_powers_Q,362,176,,
fire7_nb0_rank0042,FireFly_default,1,ok,351417.361,5373,2,,,,9223372036854775643:1;9223372036854775783:5372,FireFly_default,cached_powers_Q,400,147,,
fire7_nb0_rank0043,FireFly_default,1,ok,392267.783,6195,2,,,,9223372036854775643:1;9223372036854775783:6194,FireFly_default,cached_powers_Q,432,126,,
fire7_nb0_rank0044,FireFly_default,1,ok,339789.339,5385,2,,,,9223372036854775643:1;9223372036854775783:5384,FireFly_default,cached_powers_Q,418,126,,
fire7_nb0_rank0045,FireFly_default,1,ok,319007.507,5252,2,,,,9223372036854775643:1;9223372036854775783:5251,FireFly_default,cached_powers_Q,407,126,,
fire7_nb0_rank0046,FireFly_default,1,ok,391662.601,6466,2,,,,9223372036854775643:1;9223372036854775783:6465,FireFly_default,cached_powers_Q,422,132,,
fire7_nb0_rank0047,FireFly_default,1,ok,298128.614,4338,2,,,,9223372036854775643:1;9223372036854775783:4337,FireFly_default,cached_powers_Q,452,77,,
fire7_nb0_rank0048,FireFly_default,1,ok,222675.169,3560,2,,,,9223372036854775643:1;9223372036854775783:3559,FireFly_default,cached_powers_Q,280,224,,
fire7_nb0_rank0049,FireFly_default,1,ok,226788.423,3644,2,,,,9223372036854775643:1;9223372036854775783:3643,FireFly_default,cached_powers_Q,280,224,,
fire7_nb0_rank0050,FireFly_default,1,ok,291021.338,4641,2,,,,9223372036854775643:1;9223372036854775783:4640,FireFly_default,cached_powers_Q,340,176,,
fire7_nb0_rank0051,FireFly_default,1,ok,409804.714,6818,2,,,,9223372036854775643:1;9223372036854775783:6817,FireFly_default,cached_powers_Q,383,162,,
fire7_nb0_rank0052,FireFly_default,1,ok,258896.046,4040,2,,,,9223372036854775643:1;9223372036854775783:4039,FireFly_default,cached_powers_Q,299,224,,
fire7_nb0_rank0053,FireFly_default,1,ok,268266.449,4786,2,,,,9223372036854775643:1;9223372036854775783:4785,FireFly_default,cached_powers_Q,351,180,,
fire7_nb0_rank0054,FireFly_default,1,ok,362219.378,5997,2,,,,9223372036854775643:1;9223372036854775783:5996,FireFly_default,cached_powers_Q,407,126,,
fire7_nb0_rank0055,FireFly_default,1,ok,314076.769,5338,2,,,,9223372036854775643:1;9223372036854775783:5337,FireFly_default,cached_powers_Q,330,168,,
fire7_nb0_rank0056,FireFly_default,1,ok,291616.971,4389,2,,,,9223372036854775643:1;9223372036854775783:4388,FireFly_default,cached_powers_Q,407,81,,
fire7_nb0_rank0057,FireFly_default,1,ok,272094.533,4009,2,,,,9223372036854775643:1;9223372036854775783:4008,FireFly_default,cached_powers_Q,359,152,,
fire7_nb0_rank0058,FireFly_default,1,ok,307156.945,4704,2,,,,9223372036854775643:1;9223372036854775783:4703,FireFly_default,cached_powers_Q,337,168,,
fire7_nb0_rank0059,FireFly_default,1,ok,270623.547,4323,2,,,,9223372036854775643:1;9223372036854775783:4322,FireFly_default,cached_powers_Q,360,147,,
fire7_nb0_rank0060,FireFly_default,1,ok,273998.788,4171,2,,,,9223372036854775643:1;9223372036854775783:4170,FireFly_default,cached_powers_Q,380,119,,
fire7_nb0_rank0061,FireFly_default,1,ok,227165.535,3829,2,,,,9223372036854775643:1;9223372036854775783:3828,FireFly_default,cached_powers_Q,270,210,,
fire7_nb0_rank0062,FireFly_default,1,ok,208537.460,3422,2,,,,9223372036854775643:1;9223372036854775783:3421,FireFly_default,cached_powers_Q,270,210,,
fire7_nb0_rank0063,FireFly_default,1,ok,229449.273,3612,2,,,,9223372036854775643:1;9223372036854775783:3611,FireFly_default,cached_powers_Q,376,126,,
