case,num_terms,den_terms,baseline,current,firefly_default,firefly_scan,firefly_best,fire7_learned,change
fire7_nb0_rank2294,20,3,92,92,87,131,87,344,0
fire7_nb0_rank2494,16,2,89,89,76,119,76,307,0
fire7_nb0_rank2587,12,5,66,66,50,112,50,171,0
fire7_nb0_rank2634,10,6,61,61,56,109,56,192,0
fire7_nb0_rank2646,12,5,64,64,50,111,50,165,0
fire7_nb0_rank2657,12,4,52,52,50,84,50,170,0
fire7_nb0_rank2658,12,4,52,52,48,84,48,170,0
fire7_nb0_rank2667,10,5,60,60,49,113,49,148,0
fire7_nb0_rank2669,10,5,60,60,48,113,48,144,0
fire7_nb0_rank2670,10,5,56,56,48,113,48,140,0
fire7_nb0_rank2676,10,5,56,56,48,113,48,140,0
fire7_nb0_rank2680,10,3,51,51,49,92,49,152,0
fire7_nb0_rank2681,10,5,63,63,48,110,48,157,0
fire7_nb0_rank2686,12,2,52,52,51,77,51,171,0
fire7_nb0_rank2688,10,4,50,50,48,105,48,140,0
fire7_nb0_rank2695,12,3,58,58,50,109,50,160,0
fire7_nb0_rank2697,10,4,50,50,45,105,45,142,0
fire7_nb0_rank2731,10,4,50,50,45,105,45,142,0
fire7_nb0_rank2734,3,10,50,50,45,72,45,162,0
fire7_nb0_rank2735,3,10,50,50,45,72,45,166,0
fire7_nb0_rank2736,11,3,58,58,49,107,49,160,0
fire7_nb0_rank2741,8,4,71,71,61,115,61,248,0
fire7_nb0_rank2742,10,2,50,50,49,88,49,143,0
fire7_nb0_rank2745,3,10,50,50,45,72,45,162,0
fire7_nb0_rank2757,3,10,50,50,45,72,45,166,0
fire7_nb0_rank2758,3,10,48,48,45,72,45,158,0
fire7_nb0_rank2760,3,10,50,50,45,72,45,162,0
fire7_nb0_rank2762,10,3,53,53,45,108,45,143,0
fire7_nb0_rank2765,8,5,52,52,46,110,46,140,0
fire7_nb0_rank2773,8,5,54,54,46,110,46,144,0
fire7_nb0_rank2805,3,10,50,50,45,72,45,162,0
fire7_nb0_rank2816,3,10,50,50,45,72,45,162,0
fire7_nb0_rank2817,9,2,66,66,51,96,51,250,0
fire7_nb0_rank2848,8,3,53,53,43,104,43,143,0
fire7_nb0_rank2858,8,3,53,53,42,104,42,143,0
fire7_nb0_rank2859,8,3,53,53,42,106,42,143,0
fire7_nb0_rank2860,8,3,51,51,44,106,44,131,0
fire7_nb0_rank2861,8,3,51,51,44,104,44,131,0
fire7_nb0_rank2883,4,6,46,46,44,71,44,114,0
fire7_nb0_rank2884,4,6,46,46,39,71,39,122,0
