case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,BalancedZippelSeparated,1,ok,48509.927,1939,2,1,0,0,2305843009213693967:1936;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,10.961,BalancedZippelSeparated
fire7_nb0_rank0001,FireFly_default,1,ok,2882340.623,18753,3,,,,9223372036854775549:1;9223372036854775643:2657;9223372036854775783:16095,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,FireFly_scan,1,ok,664653.399,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,Automatic,1,ok,34532.729,1732,2,1,0,0,2305843009213693967:1729;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,8.298,BalancedZippelSeparated
fire7_nb0_rank0001,FireFly_default,2,ok,2642148.279,18753,3,,,,9223372036854775549:1;9223372036854775643:2657;9223372036854775783:16095,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,FireFly_scan,2,ok,617451.207,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,Automatic,2,ok,35479.551,1732,2,1,0,0,2305843009213693967:1729;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,8.907,BalancedZippelSeparated
fire7_nb0_rank0001,BalancedZippelSeparated,2,ok,39145.145,1939,2,1,0,0,2305843009213693967:1936;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,8.708,BalancedZippelSeparated
fire7_nb0_rank0001,FireFly_scan,3,ok,621069.319,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,Automatic,3,ok,34769.649,1732,2,1,0,0,2305843009213693967:1729;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,8.677,BalancedZippelSeparated
fire7_nb0_rank0001,BalancedZippelSeparated,3,ok,38587.282,1939,2,1,0,0,2305843009213693967:1936;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,8.582,BalancedZippelSeparated
fire7_nb0_rank0001,FireFly_default,3,ok,2642290.049,18753,3,,,,9223372036854775549:1;9223372036854775643:2657;9223372036854775783:16095,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0002,BalancedZippelSeparated,1,ok,42793.546,2147,2,1,0,0,2305843009213693967:2144;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,8.401,BalancedZippelSeparated
fire7_nb0_rank0002,FireFly_default,1,ok,2766372.065,19328,3,,,,9223372036854775549:1;9223372036854775643:2690;9223372036854775783:16637,FireFly_default,cached_powers_Q,877,414,,
