case,method,mode,seed,elapsed_us,probes
paper_eq3,BalancedZippelSeparated,ff,1,86.860,29
paper_eq3,BalancedZippel,ff,1,24.871,16
paper_eq3,CuytLeePruned,ff,1,35.460,25
paper_eq3,CuytLee,ff,1,35.440,28
paper_eq3,BalancedZippel,ff,2,24.610,16
paper_eq3,CuytLeePruned,ff,2,30.860,25
paper_eq3,BalancedZippelSeparated,ff,2,39.060,29
paper_eq3,CuytLee,ff,2,33.271,28
paper_eq3,CuytLeePruned,ff,3,30.060,25
paper_eq3,BalancedZippel,ff,3,24.350,16
paper_eq3,CuytLee,ff,3,31.900,28
paper_eq3,BalancedZippelSeparated,ff,3,37.930,29
paper_eq28_y_d,BalancedZippelSeparated,ff,1,1064.164,306
paper_eq28_y_d,BalancedZippel,ff,1,4816.368,451
paper_eq28_y_d,CuytLeePruned,ff,1,12349.407,899
paper_eq28_y_d,CuytLee,ff,1,27081.852,1365
paper_eq28_y_d,BalancedZippel,ff,2,4896.188,451
paper_eq28_y_d,CuytLeePruned,ff,2,12130.766,899
paper_eq28_y_d,BalancedZippelSeparated,ff,2,4154.995,306
paper_eq28_y_d,CuytLee,ff,2,27121.703,1365
paper_eq28_y_d,CuytLeePruned,ff,3,12155.146,899
paper_eq28_y_d,BalancedZippel,ff,3,4855.849,451
paper_eq28_y_d,CuytLee,ff,3,27118.093,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,3,1080.774,306
