case,method,seed,elapsed_us,probes,primes,images,support_resets
paper_eq3,BalancedZippelSeparated,1,62.020,32,2,1,0
paper_eq3,BalancedZippel,1,116.330,19,2,1,0
paper_eq3,CuytLeePruned,1,63.270,28,2,1,0
paper_eq3,CuytLee,1,57.400,31,2,1,0
paper_eq3,BalancedZippel,2,48.560,19,2,1,0
paper_eq3,CuytLeePruned,2,52.281,28,2,1,0
paper_eq3,BalancedZippelSeparated,2,59.821,32,2,1,0
paper_eq3,CuytLee,2,55.300,31,2,1,0
paper_eq3,CuytLeePruned,3,51.040,28,2,1,0
paper_eq3,BalancedZippel,3,44.561,19,2,1,0
paper_eq3,CuytLee,3,54.190,31,2,1,0
paper_eq3,BalancedZippelSeparated,3,245.111,32,2,1,0
paper_eq28_y_d,BalancedZippelSeparated,1,32670.294,921,4,3,0
paper_eq28_y_d,BalancedZippel,1,50563.132,1356,4,3,0
paper_eq28_y_d,CuytLeePruned,1,136909.708,2700,4,3,0
paper_eq28_y_d,CuytLee,1,228549.235,4098,4,3,0
paper_eq28_y_d,BalancedZippel,2,49637.097,1356,4,3,0
paper_eq28_y_d,CuytLeePruned,2,134354.838,2700,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,2,24495.313,921,4,3,0
paper_eq28_y_d,CuytLee,2,171384.648,4098,4,3,0
paper_eq28_y_d,CuytLeePruned,3,97786.300,2700,4,3,0
paper_eq28_y_d,BalancedZippel,3,36164.107,1356,4,3,0
paper_eq28_y_d,CuytLee,3,165540.317,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,3,25437.817,921,4,3,0
