case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms
paper_eq3,BalancedZippel,1,1000,130.001,21,0,1,3,0,2,3
paper_eq3,CuytLee,1,1000,132.260,20,0,1,1,2,2,3
paper_eq3,CuytLee,2,1000,321.942,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,2,1000,132.510,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,3,1000,129.881,21,0,1,3,0,2,3
paper_eq3,CuytLee,3,1000,129.470,20,0,1,1,2,2,3
paper_eq3,CuytLee,4,1000,129.331,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,4,1000,129.411,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,5,1000,144.260,21,0,1,3,0,2,3
paper_eq3,CuytLee,5,1000,128.561,20,0,1,1,2,2,3
paper_eq3,CuytLee,6,1000,127.190,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,6,1000,129.171,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,7,1000,129.000,21,0,1,3,0,2,3
paper_eq3,CuytLee,7,1000,128.600,20,0,1,1,2,2,3
paper_eq3,CuytLee,8,1000,129.161,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,8,1000,138.651,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,9,1000,129.151,21,0,1,3,0,2,3
paper_eq3,CuytLee,9,1000,128.470,20,0,1,1,2,2,3
firefly_shift,BalancedZippel,1,1000,131.370,21,0,1,3,0,2,3
firefly_shift,CuytLee,1,1000,133.331,20,1,1,1,2,2,3
firefly_shift,CuytLee,2,1000,139.930,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,2,1000,130.470,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,3,1000,131.750,21,0,1,3,0,2,3
firefly_shift,CuytLee,3,1000,131.100,20,1,1,1,2,2,3
firefly_shift,CuytLee,4,1000,129.581,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,4,1000,130.310,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,5,1000,129.121,21,0,1,3,0,2,3
firefly_shift,CuytLee,5,1000,142.831,20,1,1,1,2,2,3
firefly_shift,CuytLee,6,1000,129.131,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,6,1000,128.791,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,7,1000,129.110,21,0,1,3,0,2,3
firefly_shift,CuytLee,7,1000,131.911,20,1,1,1,2,2,3
firefly_shift,CuytLee,8,1000,130.500,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,8,1000,130.421,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,9,1000,135.420,21,0,1,3,0,2,3
firefly_shift,CuytLee,9,1000,131.401,20,1,1,1,2,2,3
sparse3,BalancedZippel,1,1000,972.684,121,0,1,6,0,4,3
sparse3,CuytLee,1,1000,1049.014,147,0,1,1,20,4,3
sparse3,CuytLee,2,1000,1040.065,147,0,1,1,20,4,3
sparse3,BalancedZippel,2,1000,959.275,121,0,1,6,0,4,3
sparse3,BalancedZippel,3,1000,958.484,121,0,1,6,0,4,3
sparse3,CuytLee,3,1000,1051.485,147,0,1,1,20,4,3
sparse3,CuytLee,4,1000,1042.704,147,0,1,1,20,4,3
sparse3,BalancedZippel,4,1000,966.374,121,0,1,6,0,4,3
sparse3,BalancedZippel,5,1000,953.464,121,0,1,6,0,4,3
sparse3,CuytLee,5,1000,1047.764,147,0,1,1,20,4,3
sparse3,CuytLee,6,1000,1043.204,147,0,1,1,20,4,3
sparse3,BalancedZippel,6,1000,962.994,121,0,1,6,0,4,3
sparse3,BalancedZippel,7,1000,955.134,121,0,1,6,0,4,3
sparse3,CuytLee,7,1000,1047.084,147,0,1,1,20,4,3
sparse3,CuytLee,8,1000,1033.404,147,0,1,1,20,4,3
sparse3,BalancedZippel,8,1000,1023.554,121,0,1,6,0,4,3
sparse3,BalancedZippel,9,1000,1065.924,121,0,1,6,0,4,3
sparse3,CuytLee,9,1000,1093.055,147,0,1,1,20,4,3
sparse4,BalancedZippel,1,1000,779.803,102,0,1,10,0,4,3
sparse4,CuytLee,1,1000,1209.805,169,0,1,1,30,4,3
sparse4,CuytLee,2,1000,1132.885,169,0,1,1,30,4,3
sparse4,BalancedZippel,2,1000,700.453,102,0,1,10,0,4,3
sparse4,BalancedZippel,3,1000,708.263,102,0,1,10,0,4,3
sparse4,CuytLee,3,1000,1109.945,169,0,1,1,30,4,3
sparse4,CuytLee,4,1000,1105.495,169,0,1,1,30,4,3
sparse4,BalancedZippel,4,1000,703.893,102,0,1,10,0,4,3
sparse4,BalancedZippel,5,1000,718.563,102,0,1,10,0,4,3
sparse4,CuytLee,5,1000,1194.415,169,0,1,1,30,4,3
sparse4,CuytLee,6,1000,1197.725,169,0,1,1,30,4,3
sparse4,BalancedZippel,6,1000,772.093,102,0,1,10,0,4,3
sparse4,BalancedZippel,7,1000,768.733,102,0,1,10,0,4,3
sparse4,CuytLee,7,1000,1196.275,169,0,1,1,30,4,3
