case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,36495.643,1963,2,1,0,0,2305843009213693967:1960;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.692,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,40599.918,2171,2,1,0,0,2305843009213693967:2168;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,4.671,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,25138.483,1656,2,1,0,0,2305843009213693967:1653;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,3.713,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,21676.362,1472,2,1,0,0,2305843009213693967:1469;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,3.918,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,24231.698,1630,2,1,0,0,2305843009213693967:1627;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,3.738,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,22834.799,1568,2,1,0,0,2305843009213693967:1565;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,3.633,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,19179.218,1339,2,1,0,0,2305843009213693967:1336;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,3.715,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,18756.664,1339,2,1,0,0,2305843009213693967:1336;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,3.473,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,17200.205,1307,2,1,0,0,2305843009213693967:1304;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,3.407,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,19632.710,1464,2,1,0,0,2305843009213693967:1461;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,3.069,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,1,ok,19754.411,1480,2,1,0,0,2305843009213693967:1477;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,3.161,BalancedZippelSeparated
fire7_nb0_rank0012,Automatic,1,ok,13455.622,1094,2,1,0,0,2305843009213693967:1091;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,369,3.041,BalancedZippelSeparated
fire7_nb0_rank0013,Automatic,1,ok,15522.705,1268,2,1,0,0,2305843009213693967:1265;2305843009213693973:3,Symbolica_default,cached_powers_Q,534,232,2.952,BalancedZippelSeparated
fire7_nb0_rank0014,Automatic,1,ok,14508.878,1117,2,1,0,0,2305843009213693967:1114;2305843009213693973:3,Symbolica_default,cached_powers_Q,572,198,2.902,BalancedZippelSeparated
fire7_nb0_rank0015,Automatic,1,ok,14007.736,1135,2,1,0,0,2305843009213693967:1132;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,2.879,BalancedZippelSeparated
fire7_nb0_rank0016,Automatic,1,ok,15291.313,1259,2,1,0,0,2305843009213693967:1256;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,2.968,BalancedZippelSeparated
fire7_nb0_rank0017,Automatic,1,ok,15609.065,1266,2,1,0,0,2305843009213693967:1263;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,189,2.948,BalancedZippelSeparated
fire7_nb0_rank0018,Automatic,1,ok,16256.029,1335,2,1,0,0,2305843009213693967:1332;2305843009213693973:3,Symbolica_default,cached_powers_Q,566,189,2.997,BalancedZippelSeparated
fire7_nb0_rank0019,Automatic,1,ok,14999.652,1258,2,1,0,0,2305843009213693967:1255;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,168,2.858,BalancedZippelSeparated
fire7_nb0_rank0020,Automatic,1,ok,11946.183,1023,2,1,0,0,2305843009213693967:1020;2305843009213693973:3,Symbolica_default,cached_powers_Q,539,189,2.755,BalancedZippelSeparated
fire7_nb0_rank0021,Automatic,1,ok,12986.690,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,312,2.699,BalancedZippelSeparated
fire7_nb0_rank0022,Automatic,1,ok,14486.148,1232,2,1,0,0,2305843009213693967:1229;2305843009213693973:3,Symbolica_default,cached_powers_Q,550,168,2.812,BalancedZippelSeparated
fire7_nb0_rank0023,Automatic,1,ok,12462.456,1075,2,1,0,0,2305843009213693967:1072;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,240,2.916,BalancedZippelSeparated
fire7_nb0_rank0024,Automatic,1,ok,13646.073,1133,2,1,0,0,2305843009213693967:1130;2305843009213693973:3,Symbolica_default,cached_powers_Q,497,240,2.804,BalancedZippelSeparated
fire7_nb0_rank0025,Automatic,1,ok,11805.852,1018,2,1,0,0,2305843009213693967:1015;2305843009213693973:3,Symbolica_default,cached_powers_Q,395,328,2.730,BalancedZippelSeparated
fire7_nb0_rank0026,Automatic,1,ok,13430.342,1189,2,1,0,0,2305843009213693967:1186;2305843009213693973:3,Symbolica_default,cached_powers_Q,532,168,2.696,BalancedZippelSeparated
fire7_nb0_rank0027,Automatic,1,ok,10605.034,946,2,1,0,0,2305843009213693967:943;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,232,2.665,BalancedZippelSeparated
fire7_nb0_rank0028,Automatic,1,ok,11267.349,1028,2,1,0,0,2305843009213693967:1025;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,147,2.528,BalancedZippelSeparated
fire7_nb0_rank0029,Automatic,1,ok,9008.475,885,2,1,0,0,2305843009213693967:882;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,162,2.459,BalancedZippelSeparated
fire7_nb0_rank0030,Automatic,1,ok,11895.343,1128,2,1,0,0,2305843009213693967:1125;2305843009213693973:3,Symbolica_default,cached_powers_Q,504,126,2.519,BalancedZippelSeparated
