case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,37642.382,1963,2,1,0,0,2305843009213693967:1960;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.500,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,40481.300,2171,2,1,0,0,2305843009213693967:2168;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,4.484,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,25070.384,1656,2,1,0,0,2305843009213693967:1653;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,3.534,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,21721.434,1472,2,1,0,0,2305843009213693967:1469;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,3.528,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,24186.031,1630,2,1,0,0,2305843009213693967:1627;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,3.528,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,22855.738,1568,2,1,0,0,2305843009213693967:1565;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,3.410,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,18689.655,1339,2,1,0,0,2305843009213693967:1336;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,32.008,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,32223.135,1339,2,1,0,0,2305843009213693967:1336;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,18.156,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,17116.120,1307,2,1,0,0,2305843009213693967:1304;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,3.232,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,19708.469,1464,2,1,0,0,2305843009213693967:1461;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,3.066,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,1,ok,19829.529,1480,2,1,0,0,2305843009213693967:1477;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,2.980,BalancedZippelSeparated
fire7_nb0_rank0012,Automatic,1,ok,13490.780,1094,2,1,0,0,2305843009213693967:1091;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,369,2.853,BalancedZippelSeparated
fire7_nb0_rank0013,Automatic,1,ok,15698.716,1268,2,1,0,0,2305843009213693967:1265;2305843009213693973:3,Symbolica_default,cached_powers_Q,534,232,2.856,BalancedZippelSeparated
fire7_nb0_rank0014,Automatic,1,ok,13673.970,1117,2,1,0,0,2305843009213693967:1114;2305843009213693973:3,Symbolica_default,cached_powers_Q,572,198,2.813,BalancedZippelSeparated
fire7_nb0_rank0015,Automatic,1,ok,28800.925,1135,2,1,0,0,2305843009213693967:1132;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,17.783,BalancedZippelSeparated
