case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,FIRE7_Q_learned,1,ok,188721.126,6721,3,2,,,18446744073709551521:3;18446744073709551533:3341;18446744073709551557:3377,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_rank0001,FireFly_scan,1,ok,617072.996,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0002,FIRE7_Q_learned,1,ok,211767.713,7438,3,2,,,18446744073709551521:3;18446744073709551533:3699;18446744073709551557:3736,FIRE7_native_64,cached_powers_Q,877,414,,
fire7_nb0_rank0002,FireFly_scan,1,ok,621083.448,8155,3,,,,9223372036854775549:1;9223372036854775643:1660;9223372036854775783:6494,FireFly_default,cached_powers_Q,877,414,,
fire7_nb0_rank0003,FIRE7_Q_learned,1,ok,143538.352,6028,3,2,,,18446744073709551521:3;18446744073709551533:2990;18446744073709551557:3035,FIRE7_native_64,cached_powers_Q,753,243,,
fire7_nb0_rank0003,FireFly_scan,1,ok,348194.645,5285,2,,,,9223372036854775643:141;9223372036854775783:5144,FireFly_default,cached_powers_Q,753,243,,
fire7_nb0_rank0004,FIRE7_Q_learned,1,ok,124905.338,5336,3,2,,,18446744073709551521:3;18446744073709551533:2653;18446744073709551557:2680,FIRE7_native_64,cached_powers_Q,722,243,,
fire7_nb0_rank0004,FireFly_scan,1,ok,340458.772,5264,2,,,,9223372036854775643:141;9223372036854775783:5123,FireFly_default,cached_powers_Q,722,243,,
fire7_nb0_rank0005,FIRE7_Q_learned,1,ok,137963.966,6002,3,2,,,18446744073709551521:3;18446744073709551533:2979;18446744073709551557:3020,FIRE7_native_64,cached_powers_Q,739,224,,
fire7_nb0_rank0005,FireFly_scan,1,ok,338012.515,5203,2,,,,9223372036854775643:139;9223372036854775783:5064,FireFly_default,cached_powers_Q,739,224,,
fire7_nb0_rank0006,FIRE7_Q_learned,1,ok,129715.032,5748,3,2,,,18446744073709551521:3;18446744073709551533:2851;18446744073709551557:2894,FIRE7_native_64,cached_powers_Q,720,224,,
fire7_nb0_rank0006,FireFly_scan,1,ok,312441.279,4833,2,,,,9223372036854775643:137;9223372036854775783:4696,FireFly_default,cached_powers_Q,720,224,,
fire7_nb0_rank0007,FIRE7_Q_learned,1,ok,110577.546,4833,3,2,,,18446744073709551521:3;18446744073709551533:2401;18446744073709551557:2429,FIRE7_native_64,cached_powers_Q,648,261,,
fire7_nb0_rank0007,FireFly_scan,1,ok,242791.605,4092,2,,,,9223372036854775643:137;9223372036854775783:3955,FireFly_default,cached_powers_Q,648,261,,
fire7_nb0_rank0008,FIRE7_Q_learned,1,ok,109363.651,4833,3,2,,,18446744073709551521:3;18446744073709551533:2401;18446744073709551557:2429,FIRE7_native_64,cached_powers_Q,645,261,,
fire7_nb0_rank0008,FireFly_scan,1,ok,243187.516,4087,2,,,,9223372036854775643:137;9223372036854775783:3950,FireFly_default,cached_powers_Q,645,261,,
fire7_nb0_rank0009,FIRE7_Q_learned,1,ok,105558.821,4733,3,2,,,18446744073709551521:3;18446744073709551533:2341;18446744073709551557:2389,FIRE7_native_64,cached_powers_Q,578,261,,
fire7_nb0_rank0009,FireFly_scan,1,ok,178560.586,3168,2,,,,9223372036854775643:135;9223372036854775783:3033,FireFly_default,cached_powers_Q,578,261,,
fire7_nb0_rank0010,FIRE7_Q_learned,1,ok,111340.667,5354,3,2,,,18446744073709551521:3;18446744073709551533:2651;18446744073709551557:2700,FIRE7_native_64,cached_powers_Q,639,196,,
fire7_nb0_rank0010,FireFly_scan,1,ok,297302.744,4812,2,,,,9223372036854775643:131;9223372036854775783:4681,FireFly_default,cached_powers_Q,639,196,,
fire7_nb0_rank0011,FIRE7_Q_learned,1,ok,112607.521,5422,3,2,,,18446744073709551521:3;18446744073709551533:2685;18446744073709551557:2734,FIRE7_native_64,cached_powers_Q,640,196,,
fire7_nb0_rank0011,FireFly_scan,1,ok,289554.662,4769,2,,,,9223372036854775643:131;9223372036854775783:4638,FireFly_default,cached_powers_Q,640,196,,
fire7_nb0_rank0012,FIRE7_Q_learned,1,ok,86280.984,3898,3,2,,,18446744073709551521:3;18446744073709551533:1924;18446744073709551557:1971,FIRE7_native_64,cached_powers_Q,431,369,,
fire7_nb0_rank0012,FireFly_scan,1,ok,144327.225,2647,2,,,,9223372036854775643:135;9223372036854775783:2512,FireFly_default,cached_powers_Q,431,369,,
fire7_nb0_rank0013,FIRE7_Q_learned,1,ok,95247.330,4601,3,2,,,18446744073709551521:3;18446744073709551533:2274;18446744073709551557:2324,FIRE7_native_64,cached_powers_Q,534,232,,
fire7_nb0_rank0013,FireFly_scan,1,ok,205869.296,3665,2,,,,9223372036854775643:131;9223372036854775783:3534,FireFly_default,cached_powers_Q,534,232,,
fire7_nb0_rank0014,FIRE7_Q_learned,1,ok,92218.841,4534,3,2,,,18446744073709551521:3;18446744073709551533:2240;18446744073709551557:2291,FIRE7_native_64,cached_powers_Q,572,198,,
fire7_nb0_rank0014,FireFly_scan,1,ok,175298.666,3311,2,,,,9223372036854775643:129;9223372036854775783:3182,FireFly_default,cached_powers_Q,572,198,,
fire7_nb0_rank0015,FIRE7_Q_learned,1,ok,81748.920,4001,3,2,,,18446744073709551521:3;18446744073709551533:1983;18446744073709551557:2015,FIRE7_native_64,cached_powers_Q,530,232,,
fire7_nb0_rank0015,FireFly_scan,1,ok,208289.043,3726,2,,,,9223372036854775643:133;9223372036854775783:3593,FireFly_default,cached_powers_Q,530,232,,
fire7_nb0_rank0016,FIRE7_Q_learned,1,ok,94062.596,4549,3,2,,,18446744073709551521:3;18446744073709551533:2249;18446744073709551557:2297,FIRE7_native_64,cached_powers_Q,530,232,,
fire7_nb0_rank0016,FireFly_scan,1,ok,209818.317,3756,2,,,,9223372036854775643:133;9223372036854775783:3623,FireFly_default,cached_powers_Q,530,232,,
fire7_nb0_rank0017,FIRE7_Q_learned,1,ok,90237.806,4561,3,2,,,18446744073709551521:3;18446744073709551533:2261;18446744073709551557:2297,FIRE7_native_64,cached_powers_Q,567,189,,
fire7_nb0_rank0017,FireFly_scan,1,ok,224382.061,4003,2,,,,9223372036854775643:129;9223372036854775783:3874,FireFly_default,cached_powers_Q,567,189,,
fire7_nb0_rank0018,FIRE7_Q_learned,1,ok,94343.967,4779,3,2,,,18446744073709551521:3;18446744073709551533:2361;18446744073709551557:2415,FIRE7_native_64,cached_powers_Q,566,189,,
fire7_nb0_rank0018,FireFly_scan,1,ok,221495.261,3909,2,,,,9223372036854775643:129;9223372036854775783:3780,FireFly_default,cached_powers_Q,566,189,,
fire7_nb0_rank0019,FIRE7_Q_learned,1,ok,92997.134,4681,3,2,,,18446744073709551521:3;18446744073709551533:2314;18446744073709551557:2364,FIRE7_native_64,cached_powers_Q,567,168,,
fire7_nb0_rank0019,FireFly_scan,1,ok,211158.552,3800,2,,,,9223372036854775643:129;9223372036854775783:3671,FireFly_default,cached_powers_Q,567,168,,
fire7_nb0_rank0020,FIRE7_Q_learned,1,ok,78628.262,3979,3,2,,,18446744073709551521:3;18446744073709551533:1971;18446744073709551557:2005,FIRE7_native_64,cached_powers_Q,539,189,,
fire7_nb0_rank0020,FireFly_scan,1,ok,169842.550,3228,2,,,,9223372036854775643:131;9223372036854775783:3097,FireFly_default,cached_powers_Q,539,189,,
fire7_nb0_rank0021,FIRE7_Q_learned,1,ok,76648.795,3682,3,2,,,18446744073709551521:3;18446744073709551533:1822;18446744073709551557:1857,FIRE7_native_64,cached_powers_Q,407,312,,
fire7_nb0_rank0021,FireFly_scan,1,ok,66893.887,1197,2,,,,9223372036854775643:131;9223372036854775783:1066,FireFly_default,cached_powers_Q,407,312,,
fire7_nb0_rank0022,FIRE7_Q_learned,1,ok,90104.315,4577,3,2,,,18446744073709551521:3;18446744073709551533:2261;18446744073709551557:2313,FIRE7_native_64,cached_powers_Q,550,168,,
fire7_nb0_rank0022,FireFly_scan,1,ok,197792.452,3573,2,,,,9223372036854775643:127;9223372036854775783:3446,FireFly_default,cached_powers_Q,550,168,,
fire7_nb0_rank0023,FIRE7_Q_learned,1,ok,73577.166,3618,3,2,,,18446744073709551521:3;18446744073709551533:1789;18446744073709551557:1826,FIRE7_native_64,cached_powers_Q,482,240,,
fire7_nb0_rank0023,FireFly_scan,1,ok,125413.718,2414,2,,,,9223372036854775643:129;9223372036854775783:2285,FireFly_default,cached_powers_Q,482,240,,
fire7_nb0_rank0024,FIRE7_Q_learned,1,ok,82496.452,4091,3,2,,,18446744073709551521:3;18446744073709551533:2018;18446744073709551557:2070,FIRE7_native_64,cached_powers_Q,497,240,,
fire7_nb0_rank0024,FireFly_scan,1,ok,177580.482,3252,2,,,,9223372036854775643:129;9223372036854775783:3123,FireFly_default,cached_powers_Q,497,240,,
fire7_nb0_rank0025,FIRE7_Q_learned,1,ok,74509.989,3616,3,2,,,18446744073709551521:3;18446744073709551533:1782;18446744073709551557:1831,FIRE7_native_64,cached_powers_Q,395,328,,
fire7_nb0_rank0025,FireFly_scan,1,ok,117590.605,2270,2,,,,9223372036854775643:131;9223372036854775783:2139,FireFly_default,cached_powers_Q,395,328,,
fire7_nb0_rank0026,FIRE7_Q_learned,1,ok,84426.099,4399,3,2,,,18446744073709551521:3;18446744073709551533:2171;18446744073709551557:2225,FIRE7_native_64,cached_powers_Q,532,168,,
fire7_nb0_rank0026,FireFly_scan,1,ok,169733.810,3166,2,,,,9223372036854775643:125;9223372036854775783:3041,FireFly_default,cached_powers_Q,532,168,,
fire7_nb0_rank0027,FIRE7_Q_learned,1,ok,68933.983,3517,3,2,,,18446744073709551521:3;18446744073709551533:1739;18446744073709551557:1775,FIRE7_native_64,cached_powers_Q,451,232,,
fire7_nb0_rank0027,FireFly_scan,1,ok,134135.114,2690,2,,,,9223372036854775643:131;9223372036854775783:2559,FireFly_default,cached_powers_Q,451,232,,
fire7_nb0_rank0028,FIRE7_Q_learned,1,ok,68203.831,3746,3,2,,,18446744073709551521:3;18446744073709551533:1854;18446744073709551557:1889,FIRE7_native_64,cached_powers_Q,482,147,,
fire7_nb0_rank0028,FireFly_scan,1,ok,161534.475,3143,2,,,,9223372036854775643:123;9223372036854775783:3020,FireFly_default,cached_powers_Q,482,147,,
fire7_nb0_rank0029,FIRE7_Q_learned,1,ok,58565.182,3199,3,2,,,18446744073709551521:3;18446744073709551533:1577;18446744073709551557:1619,FIRE7_native_64,cached_powers_Q,451,162,,
fire7_nb0_rank0029,FireFly_scan,1,ok,101739.969,2113,2,,,,9223372036854775643:119;9223372036854775783:1994,FireFly_default,cached_powers_Q,451,162,,
fire7_nb0_rank0030,FIRE7_Q_learned,1,ok,74713.960,4219,3,2,,,18446744073709551521:3;18446744073709551533:2087;18446744073709551557:2129,FIRE7_native_64,cached_powers_Q,504,126,,
fire7_nb0_rank0030,FireFly_scan,1,ok,169347.098,3220,2,,,,9223372036854775643:117;9223372036854775783:3103,FireFly_default,cached_powers_Q,504,126,,
fire7_nb0_rank0031,FIRE7_Q_learned,1,ok,71576.320,3977,3,2,,,18446744073709551521:3;18446744073709551533:1965;18446744073709551557:2009,FIRE7_native_64,cached_powers_Q,471,147,,
fire7_nb0_rank0031,FireFly_scan,1,ok,153007.759,3014,2,,,,9223372036854775643:119;9223372036854775783:2895,FireFly_default,cached_powers_Q,471,147,,
fire7_nb0_rank0032,FIRE7_Q_learned,1,ok,63461.757,3484,3,2,,,18446744073709551521:3;18446744073709551533:1720;18446744073709551557:1761,FIRE7_native_64,cached_powers_Q,449,153,,
fire7_nb0_rank0032,FireFly_scan,1,ok,99816.864,2104,2,,,,9223372036854775643:119;9223372036854775783:1985,FireFly_default,cached_powers_Q,449,153,,
fire7_nb0_rank0033,FIRE7_Q_learned,1,ok,56640.126,3056,3,2,,,18446744073709551521:3;18446744073709551533:1514;18446744073709551557:1539,FIRE7_native_64,cached_powers_Q,404,192,,
fire7_nb0_rank0033,FireFly_scan,1,ok,56678.727,1093,2,,,,9223372036854775643:121;9223372036854775783:972,FireFly_default,cached_powers_Q,404,192,,
fire7_nb0_rank0034,FIRE7_Q_learned,1,ok,68536.251,3876,3,2,,,18446744073709551521:3;18446744073709551533:1909;18446744073709551557:1964,FIRE7_native_64,cached_powers_Q,458,144,,
fire7_nb0_rank0034,FireFly_scan,1,ok,139001.578,2755,2,,,,9223372036854775643:119;9223372036854775783:2636,FireFly_default,cached_powers_Q,458,144,,
fire7_nb0_rank0035,FIRE7_Q_learned,1,ok,65771.044,3721,3,2,,,18446744073709551521:3;18446744073709551533:1839;18446744073709551557:1879,FIRE7_native_64,cached_powers_Q,445,154,,
fire7_nb0_rank0035,FireFly_scan,1,ok,136433.741,2721,2,,,,9223372036854775643:121;9223372036854775783:2600,FireFly_default,cached_powers_Q,445,154,,
