case,num_terms,den_terms,before,after,FireFly_scan,FIRE7_Q_learned
fire7_nb0_rank0529,26,150,383,383,340,1744
fire7_nb0_rank0815,20,100,327,327,301,1532
fire7_nb0_rank0896,6,100,261,185,163,1088
fire7_nb0_rank0897,6,100,261,185,163,1092
fire7_nb0_rank0961,7,90,240,172,162,1032
fire7_nb0_rank1037,7,80,232,175,165,1114
fire7_nb0_rank1061,6,80,242,185,160,1092
fire7_nb0_rank1110,6,72,219,168,154,962
fire7_nb0_rank1283,6,60,209,171,157,1036
fire7_nb0_rank3296,1,2,28,28,23,51
fire7_nb0_rank3305,2,1,26,26,22,50
fire7_nb0_rank3307,2,1,26,26,22,50
fire7_nb0_rank3308,1,1,25,25,22,50
fire7_nb0_rank3309,1,1,25,25,22,50
fire7_nb0_rank3310,1,1,25,25,22,50
fire7_nb0_rank3311,2,1,26,26,22,50
fire7_nb0_rank3312,2,1,26,26,22,50
fire7_nb0_rank3313,2,1,26,26,22,50
fire7_nb0_rank3314,2,1,26,26,22,50
fire7_nb0_rank3315,2,1,26,26,22,50
fire7_nb0_rank3316,2,1,26,26,22,50
fire7_nb0_rank3317,2,1,26,26,22,50
