case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,FireFly_scan,1,ok,828317.588,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,Automatic,1,ok,56364.389,1963,2,1,0,0,2305843009213693967:1960;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.920,BalancedZippelSeparated
fire7_nb0_rank0001,Automatic,2,ok,57504.716,1963,2,1,0,0,2305843009213693967:1960;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,7.268,BalancedZippelSeparated
fire7_nb0_rank0001,FireFly_scan,2,ok,786250.222,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,FireFly_scan,3,ok,655811.788,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,Automatic,3,ok,38637.634,1963,2,1,0,0,2305843009213693967:1960;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.913,BalancedZippelSeparated
fire7_nb0_rank0002,FireFly_scan,1,ok,661497.516,8155,3,,,,9223372036854775549:1;9223372036854775643:1660;9223372036854775783:6494,FireFly_default,cached_powers_Q,877,414,,
fire7_nb0_rank0002,Automatic,1,ok,59312.344,2171,2,1,0,0,2305843009213693967:2168;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,34.183,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,2,ok,43374.169,2171,2,1,0,0,2305843009213693967:2168;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,9.457,BalancedZippelSeparated
fire7_nb0_rank0002,FireFly_scan,2,ok,663410.314,8155,3,,,,9223372036854775549:1;9223372036854775643:1660;9223372036854775783:6494,FireFly_default,cached_powers_Q,877,414,,
fire7_nb0_rank0002,FireFly_scan,3,ok,666845.591,8155,3,,,,9223372036854775549:1;9223372036854775643:1660;9223372036854775783:6494,FireFly_default,cached_powers_Q,877,414,,
fire7_nb0_rank0002,Automatic,3,ok,43707.621,2171,2,1,0,0,2305843009213693967:2168;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,5.008,BalancedZippelSeparated
fire7_nb0_rank0003,FireFly_scan,1,ok,481187.186,5285,2,,,,9223372036854775643:141;9223372036854775783:5144,FireFly_default,cached_powers_Q,753,243,,
fire7_nb0_rank0003,Automatic,1,ok,37558.778,1656,2,1,0,0,2305843009213693967:1653;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,5.940,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,2,ok,37711.660,1656,2,1,0,0,2305843009213693967:1653;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,5.891,BalancedZippelSeparated
