case,method,seed,status,elapsed_us,probes,primes,images,probes_by_prime
eq3,FireFly_default,1,ok,832.482,14,2,,9223372036854775643:1;9223372036854775783:13
eq3,FireFly_scan,1,ok,1261.183,41,2,,9223372036854775643:1;9223372036854775783:40
eq3,FIRE7_Q,1,ok,768.652,57,3,2,18446744073709551521:3;18446744073709551533:27;18446744073709551557:27
eq3,FIRE7_Q_learned,1,ok,704.931,41,3,2,18446744073709551521:3;18446744073709551533:15;18446744073709551557:23
large,FireFly_default,1,ok,1406.093,20,5,,9223372036854775433:1;9223372036854775507:1;9223372036854775549:1;9223372036854775643:4;9223372036854775783:13
large,FireFly_scan,1,ok,2034.355,47,5,,9223372036854775433:1;9223372036854775507:1;9223372036854775549:1;9223372036854775643:4;9223372036854775783:40
large,FIRE7_Q,1,ok,1504.363,111,5,4,18446744073709551427:3;18446744073709551437:27;18446744073709551521:27;18446744073709551533:27;18446744073709551557:27
large,FIRE7_Q_learned,1,ok,1579.013,71,5,4,18446744073709551427:3;18446744073709551437:15;18446744073709551521:15;18446744073709551533:15;18446744073709551557:23
origin_pole,FireFly_default,1,ok,1162.083,15,4,,9223372036854775507:1;9223372036854775549:1;9223372036854775643:4;9223372036854775783:9
origin_pole,FireFly_scan,1,ok,2315.716,43,5,,9223372036854775433:1;9223372036854775507:1;9223372036854775549:1;9223372036854775643:4;9223372036854775783:36
origin_pole,FIRE7_Q,1,ok,1465.873,111,5,4,18446744073709551427:3;18446744073709551437:27;18446744073709551521:27;18446744073709551533:27;18446744073709551557:27
origin_pole,FIRE7_Q_learned,1,ok,1435.203,74,5,4,18446744073709551427:3;18446744073709551437:16;18446744073709551521:16;18446744073709551533:16;18446744073709551557:23
univariate,FireFly_default,1,ok,1174.983,14,5,,9223372036854775433:1;9223372036854775507:1;9223372036854775549:1;9223372036854775643:3;9223372036854775783:8
univariate,FireFly_scan,1,ok,3166.297,58,6,,9223372036854775421:8;9223372036854775433:9;9223372036854775507:9;9223372036854775549:9;9223372036854775643:9;9223372036854775783:14
univariate,FIRE7_Q,1,ok,1058.522,47,5,4,18446744073709551427:3;18446744073709551437:11;18446744073709551521:11;18446744073709551533:11;18446744073709551557:11
univariate,FIRE7_Q_learned,1,ok,1078.222,44,5,4,18446744073709551427:3;18446744073709551437:10;18446744073709551521:10;18446744073709551533:10;18446744073709551557:11
trivariate,FireFly_default,1,ok,1072.942,20,2,,9223372036854775643:1;9223372036854775783:19
trivariate,FireFly_scan,1,ok,2128.295,55,2,,9223372036854775643:1;9223372036854775783:54
trivariate,FIRE7_Q,1,ok,1076.602,121,3,2,18446744073709551521:3;18446744073709551533:59;18446744073709551557:59
trivariate,FIRE7_Q_learned,1,ok,1005.372,77,3,2,18446744073709551521:3;18446744073709551533:31;18446744073709551557:43
four_variable_order,FireFly_default,1,ok,1399.794,39,5,,9223372036854775433:1;9223372036854775507:1;9223372036854775549:1;9223372036854775643:5;9223372036854775783:31
four_variable_order,FireFly_scan,1,ok,3097.668,81,5,,9223372036854775433:1;9223372036854775507:1;9223372036854775549:1;9223372036854775643:5;9223372036854775783:73
four_variable_order,FIRE7_Q,1,ok,2319.635,303,5,4,18446744073709551427:3;18446744073709551437:75;18446744073709551521:75;18446744073709551533:75;18446744073709551557:75
four_variable_order,FIRE7_Q_learned,1,ok,1926.815,178,5,4,18446744073709551427:3;18446744073709551437:40;18446744073709551521:40;18446744073709551533:40;18446744073709551557:55
eq28,FireFly_default,1,ok,132744.811,1922,6,,9223372036854775421:1;9223372036854775433:74;9223372036854775507:184;9223372036854775549:332;9223372036854775643:427;9223372036854775783:904
eq28,FireFly_scan,1,ok,126543.286,1694,5,,9223372036854775433:1;9223372036854775507:156;9223372036854775549:307;9223372036854775643:398;9223372036854775783:832
eq28,FIRE7_Q,1,ok,73435.352,2191,5,4,18446744073709551427:3;18446744073709551437:547;18446744073709551521:547;18446744073709551533:547;18446744073709551557:547
eq28,FIRE7_Q_learned,1,ok,62237.056,2089,5,4,18446744073709551427:3;18446744073709551437:520;18446744073709551521:520;18446744073709551533:520;18446744073709551557:526
