case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_largest,FIRE7_Q,1,ok,295909.783,10697,3,2,,,18446744073709551521:3;18446744073709551533:5347;18446744073709551557:5347,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_largest,FIRE7_Q_learned,1,ok,198056.233,6721,3,2,,,18446744073709551521:3;18446744073709551533:3341;18446744073709551557:3377,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_largest,FireFly_scan,1,ok,656559.587,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_largest,Automatic,1,ok,64764.931,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,7.533,BalancedZippelSeparated
fire7_nb0_largest,FIRE7_Q_learned,2,ok,212608.837,6721,3,2,,,18446744073709551521:3;18446744073709551533:3341;18446744073709551557:3377,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_largest,FireFly_scan,2,ok,653837.291,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_largest,Automatic,2,ok,37022.787,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.629,BalancedZippelSeparated
fire7_nb0_largest,FIRE7_Q,2,ok,321712.423,10697,3,2,,,18446744073709551521:3;18446744073709551533:5347;18446744073709551557:5347,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_largest,FireFly_scan,3,ok,622096.387,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_largest,Automatic,3,ok,37142.607,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.669,BalancedZippelSeparated
fire7_nb0_largest,FIRE7_Q,3,ok,338252.212,10697,3,2,,,18446744073709551521:3;18446744073709551533:5347;18446744073709551557:5347,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_largest,FIRE7_Q_learned,3,ok,208084.677,6721,3,2,,,18446744073709551521:3;18446744073709551533:3341;18446744073709551557:3377,FIRE7_native_64,cached_powers_Q,858,414,,
