case,method,seed,status,elapsed_us,probes,primes,images,probes_by_prime
eq3,FireFly_default,1,ok,2040.604,14,2,,9223372036854775643:1;9223372036854775783:13
eq3,FireFly_scan,1,ok,1685.632,41,2,,9223372036854775643:1;9223372036854775783:40
eq3,FIRE7_Q,1,ok,3275.445,57,3,2,18446744073709551521:3;18446744073709551533:27;18446744073709551557:27
eq3,FIRE7_Q_learned,1,ok,790.781,41,3,2,18446744073709551521:3;18446744073709551533:15;18446744073709551557:23
large,FireFly_default,1,ok,1185.732,20,5,,9223372036854775433:1;9223372036854775507:1;9223372036854775549:1;9223372036854775643:4;9223372036854775783:13
large,FireFly_scan,1,ok,1989.773,47,5,,9223372036854775433:1;9223372036854775507:1;9223372036854775549:1;9223372036854775643:4;9223372036854775783:40
large,FIRE7_Q,1,ok,1816.644,111,5,4,18446744073709551427:3;18446744073709551437:27;18446744073709551521:27;18446744073709551533:27;18446744073709551557:27
large,FIRE7_Q_learned,1,ok,1369.872,71,5,4,18446744073709551427:3;18446744073709551437:15;18446744073709551521:15;18446744073709551533:15;18446744073709551557:23
origin_pole,FireFly_default,1,ok,1113.252,15,4,,9223372036854775507:1;9223372036854775549:1;9223372036854775643:4;9223372036854775783:9
origin_pole,FireFly_scan,1,ok,2402.554,43,5,,9223372036854775433:1;9223372036854775507:1;9223372036854775549:1;9223372036854775643:4;9223372036854775783:36
origin_pole,FIRE7_Q,1,ok,1450.303,111,5,4,18446744073709551427:3;18446744073709551437:27;18446744073709551521:27;18446744073709551533:27;18446744073709551557:27
origin_pole,FIRE7_Q_learned,1,ok,1475.843,74,5,4,18446744073709551427:3;18446744073709551437:16;18446744073709551521:16;18446744073709551533:16;18446744073709551557:23
eq28,FireFly_default,1,ok,109081.697,1922,6,,9223372036854775421:1;9223372036854775433:74;9223372036854775507:184;9223372036854775549:332;9223372036854775643:427;9223372036854775783:904
eq28,FireFly_scan,1,ok,95600.695,1694,5,,9223372036854775433:1;9223372036854775507:156;9223372036854775549:307;9223372036854775643:398;9223372036854775783:832
eq28,FIRE7_Q,1,ok,72691.275,2191,5,4,18446744073709551427:3;18446744073709551437:547;18446744073709551521:547;18446744073709551533:547;18446744073709551557:547
eq28,FIRE7_Q_learned,1,ok,61855.417,2089,5,4,18446744073709551427:3;18446744073709551437:520;18446744073709551521:520;18446744073709551533:520;18446744073709551557:526
