case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms
coeff_prop_4l,FIRE7_Q_learned,1,ok,28153197.559,108445,9,8,,,18446744073709551263:3;18446744073709551293:13532;18446744073709551337:13532;18446744073709551359:13532;18446744073709551427:13532;18446744073709551437:13532;18446744073709551521:13532;18446744073709551533:13532;18446744073709551557:13718,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l,FIRE7_Q,1,ok,40009849.571,170011,9,8,,,18446744073709551263:3;18446744073709551293:21251;18446744073709551337:21251;18446744073709551359:21251;18446744073709551427:21251;18446744073709551437:21251;18446744073709551521:21251;18446744073709551533:21251;18446744073709551557:21251,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l,FIRE7_Q,2,ok,27472098.040,170011,9,8,,,18446744073709551263:3;18446744073709551293:21251;18446744073709551337:21251;18446744073709551359:21251;18446744073709551427:21251;18446744073709551437:21251;18446744073709551521:21251;18446744073709551533:21251;18446744073709551557:21251,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l,FIRE7_Q_learned,2,ok,18047543.296,108445,9,8,,,18446744073709551263:3;18446744073709551293:13532;18446744073709551337:13532;18446744073709551359:13532;18446744073709551427:13532;18446744073709551437:13532;18446744073709551521:13532;18446744073709551533:13532;18446744073709551557:13718,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l,FIRE7_Q_learned,3,ok,18198279.195,108445,9,8,,,18446744073709551263:3;18446744073709551293:13532;18446744073709551337:13532;18446744073709551359:13532;18446744073709551427:13532;18446744073709551437:13532;18446744073709551521:13532;18446744073709551533:13532;18446744073709551557:13718,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l,FIRE7_Q,3,ok,27385605.779,170011,9,8,,,18446744073709551263:3;18446744073709551293:21251;18446744073709551337:21251;18446744073709551359:21251;18446744073709551427:21251;18446744073709551437:21251;18446744073709551521:21251;18446744073709551533:21251;18446744073709551557:21251,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l_mod,FIRE7_Q_learned,1,ok,18075416.124,108445,9,8,,,18446744073709551263:3;18446744073709551293:13532;18446744073709551337:13532;18446744073709551359:13532;18446744073709551427:13532;18446744073709551437:13532;18446744073709551521:13532;18446744073709551533:13532;18446744073709551557:13718,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l_mod,FIRE7_Q,1,ok,27586772.200,170011,9,8,,,18446744073709551263:3;18446744073709551293:21251;18446744073709551337:21251;18446744073709551359:21251;18446744073709551427:21251;18446744073709551437:21251;18446744073709551521:21251;18446744073709551533:21251;18446744073709551557:21251,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l_mod,FIRE7_Q,2,ok,27570718.919,170011,9,8,,,18446744073709551263:3;18446744073709551293:21251;18446744073709551337:21251;18446744073709551359:21251;18446744073709551427:21251;18446744073709551437:21251;18446744073709551521:21251;18446744073709551533:21251;18446744073709551557:21251,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l_mod,FIRE7_Q_learned,2,ok,18089351.520,108445,9,8,,,18446744073709551263:3;18446744073709551293:13532;18446744073709551337:13532;18446744073709551359:13532;18446744073709551427:13532;18446744073709551437:13532;18446744073709551521:13532;18446744073709551533:13532;18446744073709551557:13718,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l_mod,FIRE7_Q_learned,3,ok,18226081.186,108445,9,8,,,18446744073709551263:3;18446744073709551293:13532;18446744073709551337:13532;18446744073709551359:13532;18446744073709551427:13532;18446744073709551437:13532;18446744073709551521:13532;18446744073709551533:13532;18446744073709551557:13718,FIRE7_native_64,cached_powers_Q,6671,6051,
coeff_prop_4l_mod,FIRE7_Q,3,ok,27304797.804,170011,9,8,,,18446744073709551263:3;18446744073709551293:21251;18446744073709551337:21251;18446744073709551359:21251;18446744073709551427:21251;18446744073709551437:21251;18446744073709551521:21251;18446744073709551533:21251;18446744073709551557:21251,FIRE7_native_64,cached_powers_Q,6671,6051,
