case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms
fire7_nb0_largest,BalancedZippelSeparated,1,ok,36074.874,1939,2,1,0,0,2305843009213693967:1936;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.558
fire7_nb0_largest,CuytLeePruned,1,ok,274758.200,12726,2,1,0,0,2305843009213693967:12723;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.457
fire7_nb0_largest,FireFly_default,1,ok,2650710.579,18753,3,,,,9223372036854775549:1;9223372036854775643:2657;9223372036854775783:16095,FireFly_default,cached_powers_Q,858,414,
fire7_nb0_largest,FireFly_scan,1,ok,616789.368,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,
fire7_nb0_largest,BalancedZippel,1,ok,43331.261,2299,2,1,0,0,2305843009213693967:2296;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.693
fire7_nb0_largest,CuytLeePruned,2,ok,276239.504,12726,2,1,0,0,2305843009213693967:12723;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.557
fire7_nb0_largest,FireFly_default,2,ok,2640085.240,18753,3,,,,9223372036854775549:1;9223372036854775643:2657;9223372036854775783:16095,FireFly_default,cached_powers_Q,858,414,
fire7_nb0_largest,FireFly_scan,2,ok,614769.895,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,
fire7_nb0_largest,BalancedZippel,2,ok,43334.692,2299,2,1,0,0,2305843009213693967:2296;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.531
fire7_nb0_largest,BalancedZippelSeparated,2,ok,36069.964,1939,2,1,0,0,2305843009213693967:1936;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.436
fire7_nb0_largest,FireFly_default,3,ok,2637891.570,18753,3,,,,9223372036854775549:1;9223372036854775643:2657;9223372036854775783:16095,FireFly_default,cached_powers_Q,858,414,
fire7_nb0_largest,FireFly_scan,3,ok,621537.361,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,
fire7_nb0_largest,BalancedZippel,3,ok,44334.244,2299,2,1,0,0,2305843009213693967:2296;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.598
fire7_nb0_largest,BalancedZippelSeparated,3,ok,37229.617,1939,2,1,0,0,2305843009213693967:1936;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.526
fire7_nb0_largest,CuytLeePruned,3,ok,275765.444,12726,2,1,0,0,2305843009213693967:12723;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.548
