case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms
paper_eq3,BalancedZippel,1,0,25.870,21,0,1,3,0,2,3
paper_eq3,CuytLee,1,0,36.511,20,0,1,1,2,2,3
paper_eq3,CuytLee,2,0,31.221,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,2,0,26.230,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,3,0,26.110,21,0,1,3,0,2,3
paper_eq3,CuytLee,3,0,30.430,20,0,1,1,2,2,3
paper_eq3,CuytLee,4,0,29.880,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,4,0,25.120,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,5,0,25.040,21,0,1,3,0,2,3
paper_eq3,CuytLee,5,0,28.600,20,0,1,1,2,2,3
paper_eq3,CuytLee,6,0,27.880,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,6,0,25.300,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,7,0,24.880,21,0,1,3,0,2,3
paper_eq3,CuytLee,7,0,28.360,20,0,1,1,2,2,3
paper_eq3,CuytLee,8,0,243.781,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,8,0,27.880,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,9,0,24.740,21,0,1,3,0,2,3
paper_eq3,CuytLee,9,0,31.990,20,0,1,1,2,2,3
firefly_shift,BalancedZippel,1,0,27.460,21,0,1,3,0,2,3
firefly_shift,CuytLee,1,0,35.240,20,1,1,1,2,2,3
firefly_shift,CuytLee,2,0,32.870,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,2,0,26.570,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,3,0,27.090,21,0,1,3,0,2,3
firefly_shift,CuytLee,3,0,31.070,20,1,1,1,2,2,3
firefly_shift,CuytLee,4,0,31.530,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,4,0,34.920,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,5,0,26.889,21,0,1,3,0,2,3
firefly_shift,CuytLee,5,0,32.631,20,1,1,1,2,2,3
firefly_shift,CuytLee,6,0,31.530,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,6,0,26.890,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,7,0,26.980,21,0,1,3,0,2,3
firefly_shift,CuytLee,7,0,32.140,20,1,1,1,2,2,3
firefly_shift,CuytLee,8,0,31.690,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,8,0,26.769,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,9,0,26.160,21,0,1,3,0,2,3
firefly_shift,CuytLee,9,0,31.970,20,1,1,1,2,2,3
sparse3,BalancedZippel,1,0,360.641,121,0,1,6,0,4,3
sparse3,CuytLee,1,0,319.122,147,0,1,1,20,4,3
sparse3,CuytLee,2,0,318.641,147,0,1,1,20,4,3
sparse3,BalancedZippel,2,0,360.561,121,0,1,6,0,4,3
sparse3,BalancedZippel,3,0,356.841,121,0,1,6,0,4,3
sparse3,CuytLee,3,0,322.101,147,0,1,1,20,4,3
sparse3,CuytLee,4,0,304.721,147,0,1,1,20,4,3
sparse3,BalancedZippel,4,0,373.601,121,0,1,6,0,4,3
sparse3,BalancedZippel,5,0,358.001,121,0,1,6,0,4,3
sparse3,CuytLee,5,0,306.451,147,0,1,1,20,4,3
sparse3,CuytLee,6,0,322.611,147,0,1,1,20,4,3
sparse3,BalancedZippel,6,0,360.901,121,0,1,6,0,4,3
sparse3,BalancedZippel,7,0,357.101,121,0,1,6,0,4,3
sparse3,CuytLee,7,0,316.831,147,0,1,1,20,4,3
sparse3,CuytLee,8,0,304.741,147,0,1,1,20,4,3
sparse3,BalancedZippel,8,0,359.611,121,0,1,6,0,4,3
sparse3,BalancedZippel,9,0,367.391,121,0,1,6,0,4,3
sparse3,CuytLee,9,0,309.471,147,0,1,1,20,4,3
sparse4,BalancedZippel,1,0,193.001,102,0,1,10,0,4,3
sparse4,CuytLee,1,0,274.371,169,0,1,1,30,4,3
sparse4,CuytLee,2,0,266.750,169,0,1,1,30,4,3
sparse4,BalancedZippel,2,0,205.610,102,0,1,10,0,4,3
sparse4,BalancedZippel,3,0,190.330,102,0,1,10,0,4,3
sparse4,CuytLee,3,0,270.861,169,0,1,1,30,4,3
sparse4,CuytLee,4,0,274.521,169,0,1,1,30,4,3
sparse4,BalancedZippel,4,0,193.681,102,0,1,10,0,4,3
sparse4,BalancedZippel,5,0,200.971,102,0,1,10,0,4,3
sparse4,CuytLee,5,0,266.991,169,0,1,1,30,4,3
sparse4,CuytLee,6,0,264.100,169,0,1,1,30,4,3
sparse4,BalancedZippel,6,0,188.251,102,0,1,10,0,4,3
sparse4,BalancedZippel,7,0,197.991,102,0,1,10,0,4,3
sparse4,CuytLee,7,0,266.401,169,0,1,1,30,4,3
sparse4,CuytLee,8,0,262.361,169,0,1,1,30,4,3
sparse4,BalancedZippel,8,0,355.261,102,0,1,10,0,4,3
sparse4,BalancedZippel,9,0,189.661,102,0,1,10,0,4,3
sparse4,CuytLee,9,0,274.071,169,0,1,1,30,4,3
homogeneous_shift,BalancedZippel,1,0,141.640,69,0,1,6,0,3,3
homogeneous_shift,CuytLee,1,0,149.711,99,1,1,1,12,3,3
homogeneous_shift,CuytLee,2,0,145.501,99,1,1,1,12,3,3
homogeneous_shift,BalancedZippel,2,0,140.071,69,0,1,6,0,3,3
homogeneous_shift,BalancedZippel,3,0,155.111,69,0,1,6,0,3,3
homogeneous_shift,CuytLee,3,0,142.720,99,1,1,1,12,3,3
homogeneous_shift,CuytLee,4,0,140.901,99,1,1,1,12,3,3
homogeneous_shift,BalancedZippel,4,0,142.430,69,0,1,6,0,3,3
homogeneous_shift,BalancedZippel,5,0,139.211,69,0,1,6,0,3,3
homogeneous_shift,CuytLee,5,0,141.110,99,1,1,1,12,3,3
homogeneous_shift,CuytLee,6,0,157.391,99,1,1,1,12,3,3
homogeneous_shift,BalancedZippel,6,0,138.570,69,0,1,6,0,3,3
homogeneous_shift,BalancedZippel,7,0,138.351,69,0,1,6,0,3,3
homogeneous_shift,CuytLee,7,0,142.261,99,1,1,1,12,3,3
homogeneous_shift,CuytLee,8,0,140.780,99,1,1,1,12,3,3
homogeneous_shift,BalancedZippel,8,0,137.581,69,0,1,6,0,3,3
homogeneous_shift,BalancedZippel,9,0,138.421,69,0,1,6,0,3,3
homogeneous_shift,CuytLee,9,0,155.941,99,1,1,1,12,3,3
dense_total3,BalancedZippel,1,0,624.762,234,0,1,21,0,35,20
dense_total3,CuytLee,1,0,429.832,207,0,1,1,24,35,20
dense_total3,CuytLee,2,0,424.081,207,0,1,1,24,35,20
dense_total3,BalancedZippel,2,0,622.391,234,0,1,21,0,35,20
dense_total3,BalancedZippel,3,0,614.442,234,0,1,21,0,35,20
dense_total3,CuytLee,3,0,425.862,207,0,1,1,24,35,20
dense_total3,CuytLee,4,0,432.921,207,0,1,1,24,35,20
dense_total3,BalancedZippel,4,0,606.002,234,0,1,21,0,35,20
dense_total3,BalancedZippel,5,0,610.652,234,0,1,21,0,35,20
dense_total3,CuytLee,5,0,425.222,207,0,1,1,24,35,20
dense_total3,CuytLee,6,0,432.912,207,0,1,1,24,35,20
dense_total3,BalancedZippel,6,0,607.043,234,0,1,21,0,35,20
dense_total3,BalancedZippel,7,0,637.372,234,0,1,21,0,35,20
dense_total3,CuytLee,7,0,430.972,207,0,1,1,24,35,20
dense_total3,CuytLee,8,0,416.652,207,0,1,1,24,35,20
dense_total3,BalancedZippel,8,0,608.322,234,0,1,21,0,35,20
dense_total3,BalancedZippel,9,0,799.193,234,0,1,21,0,35,20
dense_total3,CuytLee,9,0,599.822,207,0,1,1,24,35,20
dense_box3,BalancedZippel,1,0,906.663,192,0,1,21,0,64,27
dense_box3,CuytLee,1,0,3008.621,649,0,1,1,39,64,27
dense_box3,CuytLee,2,0,3029.410,649,0,1,1,39,64,27
dense_box3,BalancedZippel,2,0,893.713,192,0,1,21,0,64,27
dense_box3,BalancedZippel,3,0,888.043,192,0,1,21,0,64,27
dense_box3,CuytLee,3,0,3008.420,649,0,1,1,39,64,27
dense_box3,CuytLee,4,0,3028.441,649,0,1,1,39,64,27
dense_box3,BalancedZippel,4,0,893.293,192,0,1,21,0,64,27
dense_box3,BalancedZippel,5,0,890.273,192,0,1,21,0,64,27
dense_box3,CuytLee,5,0,2989.110,649,0,1,1,39,64,27
dense_box3,CuytLee,6,0,2970.291,649,0,1,1,39,64,27
dense_box3,BalancedZippel,6,0,883.234,192,0,1,21,0,64,27
dense_box3,BalancedZippel,7,0,870.403,192,0,1,21,0,64,27
dense_box3,CuytLee,7,0,2965.410,649,0,1,1,39,64,27
dense_box3,CuytLee,8,0,2947.331,649,0,1,1,39,64,27
dense_box3,BalancedZippel,8,0,866.283,192,0,1,21,0,64,27
dense_box3,BalancedZippel,9,0,865.313,192,0,1,21,0,64,27
dense_box3,CuytLee,9,0,2957.010,649,0,1,1,39,64,27
paper_eq28_y_d,BalancedZippel,1,0,14529.241,538,0,1,9,0,248,180
paper_eq28_y_d,CuytLee,1,0,132798.752,3791,0,1,1,44,248,180
paper_eq28_y_d,CuytLee,2,0,104214.022,3791,0,1,1,44,248,180
paper_eq28_y_d,BalancedZippel,2,0,12046.852,538,0,1,9,0,248,180
paper_eq28_y_d,BalancedZippel,3,0,11685.441,538,0,1,9,0,248,180
paper_eq28_y_d,CuytLee,3,0,106291.490,3791,0,1,1,44,248,180
paper_eq28_y_d,CuytLee,4,0,105936.459,3791,0,1,1,44,248,180
paper_eq28_y_d,BalancedZippel,4,0,11762.661,538,0,1,9,0,248,180
paper_eq28_y_d,BalancedZippel,5,0,11539.820,538,0,1,9,0,248,180
paper_eq28_y_d,CuytLee,5,0,106086.318,3791,0,1,1,44,248,180
paper_eq28_y_d,CuytLee,6,0,106461.731,3791,0,1,1,44,248,180
paper_eq28_y_d,BalancedZippel,6,0,11342.269,538,0,1,9,0,248,180
paper_eq28_y_d,BalancedZippel,7,0,11356.280,538,0,1,9,0,248,180
paper_eq28_y_d,CuytLee,7,0,110789.856,3791,0,1,1,44,248,180
paper_eq28_y_d,CuytLee,8,0,109747.342,3791,0,1,1,44,248,180
paper_eq28_y_d,BalancedZippel,8,0,11810.741,538,0,1,9,0,248,180
paper_eq28_y_d,BalancedZippel,9,0,11752.661,538,0,1,9,0,248,180
paper_eq28_y_d,CuytLee,9,0,106650.671,3791,0,1,1,44,248,180
paper_eq28_d_y,BalancedZippel,1,0,18138.493,1027,0,1,32,0,248,180
paper_eq28_d_y,CuytLee,1,0,110071.753,3791,0,1,1,44,248,180
paper_eq28_d_y,CuytLee,2,0,104046.242,3791,0,1,1,44,248,180
paper_eq28_d_y,BalancedZippel,2,0,18444.005,1027,0,1,32,0,248,180
paper_eq28_d_y,BalancedZippel,3,0,18618.825,1027,0,1,32,0,248,180
paper_eq28_d_y,CuytLee,3,0,104965.005,3791,0,1,1,44,248,180
paper_eq28_d_y,CuytLee,4,0,104279.143,3791,0,1,1,44,248,180
paper_eq28_d_y,BalancedZippel,4,0,18638.065,1027,0,1,32,0,248,180
paper_eq28_d_y,BalancedZippel,5,0,18636.194,1027,0,1,32,0,248,180
paper_eq28_d_y,CuytLee,5,0,103559.051,3791,0,1,1,44,248,180
paper_eq28_d_y,CuytLee,6,0,105537.227,3791,0,1,1,44,248,180
paper_eq28_d_y,BalancedZippel,6,0,18357.984,1027,0,1,32,0,248,180
paper_eq28_d_y,BalancedZippel,7,0,18356.204,1027,0,1,32,0,248,180
paper_eq28_d_y,CuytLee,7,0,104921.845,3791,0,1,1,44,248,180
paper_eq28_d_y,CuytLee,8,0,103187.839,3791,0,1,1,44,248,180
paper_eq28_d_y,BalancedZippel,8,0,18540.535,1027,0,1,32,0,248,180
paper_eq28_d_y,BalancedZippel,9,0,19378.157,1027,0,1,32,0,248,180
paper_eq28_d_y,CuytLee,9,0,103722.831,3791,0,1,1,44,248,180
