case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms
paper_eq3,BalancedZippel,1,1000,168.381,21,0,1,3,0,2,3
paper_eq3,CuytLee,1,1000,177.031,28,0,1,3,1,2,3
paper_eq3,CuytLee,2,1000,169.861,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,2,1000,124.310,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,3,1000,123.931,21,0,1,3,0,2,3
paper_eq3,CuytLee,3,1000,350.021,28,0,1,3,1,2,3
paper_eq3,CuytLee,4,1000,167.611,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,4,1000,123.820,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,5,1000,121.820,21,0,1,3,0,2,3
paper_eq3,CuytLee,5,1000,166.181,28,0,1,3,1,2,3
paper_eq3,CuytLee,6,1000,176.991,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,6,1000,122.980,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,7,1000,122.501,21,0,1,3,0,2,3
paper_eq3,CuytLee,7,1000,166.841,28,0,1,3,1,2,3
paper_eq3,CuytLee,8,1000,166.570,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,8,1000,122.180,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,9,1000,134.291,21,0,1,3,0,2,3
paper_eq3,CuytLee,9,1000,166.650,28,0,1,3,1,2,3
firefly_shift,BalancedZippel,1,1000,124.431,21,0,1,3,0,2,3
firefly_shift,CuytLee,1,1000,172.470,28,1,1,3,1,2,3
firefly_shift,CuytLee,2,1000,183.751,28,1,1,3,1,2,3
firefly_shift,BalancedZippel,2,1000,124.380,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,3,1000,124.210,21,0,1,3,0,2,3
firefly_shift,CuytLee,3,1000,170.320,28,1,1,3,1,2,3
firefly_shift,CuytLee,4,1000,169.830,28,1,1,3,1,2,3
firefly_shift,BalancedZippel,4,1000,123.510,21,0,1,3,0,2,3
