case,method,mode,seed,elapsed_us,probes
paper_eq3,FireFly_default,q,1,919.813,14
paper_eq3,FireFly_scan,q,1,1516.656,41
paper_eq28_y_d,FireFly_default,ff,1,66749.731,1331
paper_eq28_y_d,FireFly_default,q,1,117473.577,1922
paper_eq28_y_d,FireFly_scan,q,1,103290.698,1694
paper_eq3,FIRE7_balanced_adapter,ff,1,527.352,27
paper_eq28_y_d,FIRE7_balanced_adapter,ff,1,15030.642,547
paper_eq3,FireFly_default,ff,1,1014.033,14
paper_eq3,FireFly_scan,q,2,1596.975,41
paper_eq28_y_d,FireFly_default,ff,2,68176.007,905
paper_eq28_y_d,FireFly_default,q,2,131750.067,1922
paper_eq28_y_d,FireFly_scan,q,2,113852.395,1694
paper_eq3,FIRE7_balanced_adapter,ff,2,562.752,27
paper_eq28_y_d,FIRE7_balanced_adapter,ff,2,15094.532,547
paper_eq3,FireFly_default,ff,2,915.633,14
paper_eq3,FireFly_default,q,2,990.073,14
paper_eq28_y_d,FireFly_default,ff,3,76971.837,905
paper_eq28_y_d,FireFly_default,q,3,119347.765,1922
paper_eq28_y_d,FireFly_scan,q,3,99327.595,1694
paper_eq3,FIRE7_balanced_adapter,ff,3,546.242,27
paper_eq28_y_d,FIRE7_balanced_adapter,ff,3,16412.857,547
paper_eq3,FireFly_default,ff,3,1287.565,14
paper_eq3,FireFly_default,q,3,1264.964,14
paper_eq3,FireFly_scan,q,3,2083.037,41
paper_eq28_y_d,FireFly_default,q,4,117569.948,1922
paper_eq28_y_d,FireFly_scan,q,4,106785.901,1694
paper_eq3,FIRE7_balanced_adapter,ff,4,544.612,27
paper_eq28_y_d,FIRE7_balanced_adapter,ff,4,16316.636,547
paper_eq3,FireFly_default,ff,4,1317.655,14
paper_eq3,FireFly_default,q,4,1278.734,14
paper_eq3,FireFly_scan,q,4,2165.287,41
paper_eq28_y_d,FireFly_default,ff,4,65901.309,905
paper_eq28_y_d,FireFly_scan,q,5,117880.649,1694
paper_eq3,FIRE7_balanced_adapter,ff,5,547.092,27
paper_eq28_y_d,FIRE7_balanced_adapter,ff,5,15928.096,547
paper_eq3,FireFly_default,ff,5,911.013,14
paper_eq3,FireFly_default,q,5,812.933,14
paper_eq3,FireFly_scan,q,5,1436.785,41
paper_eq28_y_d,FireFly_default,ff,5,85706.998,905
paper_eq28_y_d,FireFly_default,q,5,137624.358,1922
paper_eq3,FIRE7_balanced_adapter,ff,6,605.412,27
paper_eq28_y_d,FIRE7_balanced_adapter,ff,6,15256.233,547
paper_eq3,FireFly_default,ff,6,1082.204,14
paper_eq3,FireFly_default,q,6,853.603,14
paper_eq3,FireFly_scan,q,6,1453.356,41
paper_eq28_y_d,FireFly_default,ff,6,80767.071,905
paper_eq28_y_d,FireFly_default,q,6,133394.123,1922
paper_eq28_y_d,FireFly_scan,q,6,122157.644,1694
paper_eq28_y_d,FIRE7_balanced_adapter,ff,7,15107.922,547
paper_eq3,FireFly_default,ff,7,962.924,14
paper_eq3,FireFly_default,q,7,866.223,14
paper_eq3,FireFly_scan,q,7,1451.886,41
paper_eq28_y_d,FireFly_default,ff,7,76749.597,1331
paper_eq28_y_d,FireFly_default,q,7,123404.709,1922
paper_eq28_y_d,FireFly_scan,q,7,93693.916,1694
paper_eq3,FIRE7_balanced_adapter,ff,7,551.592,27
paper_eq3,FireFly_default,ff,8,927.273,14
paper_eq3,FireFly_default,q,8,1082.034,14
paper_eq3,FireFly_scan,q,8,2072.177,41
paper_eq28_y_d,FireFly_default,ff,8,74361.088,905
paper_eq28_y_d,FireFly_default,q,8,134432.526,1922
paper_eq28_y_d,FireFly_scan,q,8,108303.156,1694
paper_eq3,FIRE7_balanced_adapter,ff,8,533.922,27
paper_eq28_y_d,FIRE7_balanced_adapter,ff,8,14666.431,547
paper_eq3,FireFly_default,q,9,912.753,14
paper_eq3,FireFly_scan,q,9,1511.276,41
paper_eq28_y_d,FireFly_default,ff,9,76306.415,905
paper_eq28_y_d,FireFly_default,q,9,120135.007,1922
paper_eq28_y_d,FireFly_scan,q,9,112053.839,1694
paper_eq3,FIRE7_balanced_adapter,ff,9,524.392,27
paper_eq28_y_d,FIRE7_balanced_adapter,ff,9,17142.099,547
paper_eq3,FireFly_default,ff,9,1282.234,14
