case,method,mode,seed,elapsed_us,probes
paper_eq3,BalancedZippel,ff,1,68.010,21
paper_eq3,CuytLee,ff,1,40.750,28
paper_eq3,CuytLee,ff,2,35.220,28
paper_eq3,BalancedZippel,ff,2,26.550,21
paper_eq3,BalancedZippel,ff,3,23.640,21
paper_eq3,CuytLee,ff,3,35.481,28
paper_eq3,CuytLee,ff,4,33.410,28
paper_eq3,BalancedZippel,ff,4,22.870,21
paper_eq3,BalancedZippel,ff,5,23.160,21
paper_eq3,CuytLee,ff,5,33.730,28
paper_eq3,CuytLee,ff,6,33.400,28
paper_eq3,BalancedZippel,ff,6,23.280,21
paper_eq3,BalancedZippel,ff,7,23.280,21
paper_eq3,CuytLee,ff,7,33.251,28
paper_eq3,CuytLee,ff,8,33.010,28
paper_eq3,BalancedZippel,ff,8,23.430,21
paper_eq3,BalancedZippel,ff,9,23.310,21
paper_eq3,CuytLee,ff,9,33.840,28
paper_eq28_y_d,BalancedZippel,ff,1,3536.012,538
paper_eq28_y_d,CuytLee,ff,1,18639.084,1365
paper_eq28_y_d,CuytLee,ff,2,18827.355,1365
paper_eq28_y_d,BalancedZippel,ff,2,3648.832,538
paper_eq28_y_d,BalancedZippel,ff,3,3853.734,538
paper_eq28_y_d,CuytLee,ff,3,23952.063,1365
paper_eq28_y_d,CuytLee,ff,4,25759.590,1365
paper_eq28_y_d,BalancedZippel,ff,4,3902.223,538
paper_eq28_y_d,BalancedZippel,ff,5,3837.913,538
paper_eq28_y_d,CuytLee,ff,5,19982.349,1365
paper_eq28_y_d,CuytLee,ff,6,19020.226,1365
paper_eq28_y_d,BalancedZippel,ff,6,3560.403,538
paper_eq28_y_d,BalancedZippel,ff,7,3522.672,538
paper_eq28_y_d,CuytLee,ff,7,18677.525,1365
paper_eq28_y_d,CuytLee,ff,8,18687.265,1365
paper_eq28_y_d,BalancedZippel,ff,8,3538.902,538
paper_eq28_y_d,BalancedZippel,ff,9,3511.672,538
paper_eq28_y_d,CuytLee,ff,9,19424.917,1365
