case,method,mode,seed,elapsed_us,probes
paper_eq3,BalancedZippel,q,1,67.010,24
paper_eq3,CuytLee,q,1,255.621,31
paper_eq3,CuytLee,q,2,153.890,31
paper_eq3,BalancedZippel,q,2,73.840,24
paper_eq3,BalancedZippel,q,3,66.940,24
paper_eq3,CuytLee,q,3,88.551,31
paper_eq3,CuytLee,q,4,83.131,31
paper_eq3,BalancedZippel,q,4,64.950,24
paper_eq3,BalancedZippel,q,5,62.010,24
paper_eq3,CuytLee,q,5,78.280,31
paper_eq3,CuytLee,q,6,87.350,31
paper_eq3,BalancedZippel,q,6,62.070,24
paper_eq3,BalancedZippel,q,7,264.511,24
paper_eq3,CuytLee,q,7,92.071,31
paper_eq3,CuytLee,q,8,83.880,31
paper_eq3,BalancedZippel,q,8,68.630,24
paper_eq3,BalancedZippel,q,9,67.451,24
paper_eq3,CuytLee,q,9,85.831,31
paper_eq28_y_d,BalancedZippel,q,1,11629.490,1617
paper_eq28_y_d,CuytLee,q,1,58588.043,4098
paper_eq28_y_d,CuytLee,q,2,81470.152,4098
paper_eq28_y_d,BalancedZippel,q,2,11623.370,1617
paper_eq28_y_d,BalancedZippel,q,3,11545.249,1617
paper_eq28_y_d,CuytLee,q,3,57498.760,4098
paper_eq28_y_d,CuytLee,q,4,57167.959,4098
paper_eq28_y_d,BalancedZippel,q,4,11524.070,1617
paper_eq28_y_d,BalancedZippel,q,5,11582.031,1617
paper_eq28_y_d,CuytLee,q,5,57423.169,4098
paper_eq28_y_d,CuytLee,q,6,57207.548,4098
paper_eq28_y_d,BalancedZippel,q,6,11462.400,1617
paper_eq28_y_d,BalancedZippel,q,7,11504.820,1617
paper_eq28_y_d,CuytLee,q,7,57218.359,4098
paper_eq28_y_d,CuytLee,q,8,56767.067,4098
paper_eq28_y_d,BalancedZippel,q,8,11484.209,1617
paper_eq28_y_d,BalancedZippel,q,9,11462.479,1617
paper_eq28_y_d,CuytLee,q,9,56670.977,4098
