case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms
paper_eq3,BalancedZippel,1,0,24.920,21,0,1,3,0,2,3
paper_eq3,CuytLee,1,0,85.001,28,0,1,3,1,2,3
paper_eq3,CuytLee,2,0,36.071,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,2,0,23.750,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,3,0,23.040,21,0,1,3,0,2,3
paper_eq3,CuytLee,3,0,34.810,28,0,1,3,1,2,3
paper_eq3,CuytLee,4,0,33.250,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,4,0,22.800,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,5,0,22.911,21,0,1,3,0,2,3
paper_eq3,CuytLee,5,0,33.251,28,0,1,3,1,2,3
paper_eq3,CuytLee,6,0,32.210,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,6,0,22.880,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,7,0,22.880,21,0,1,3,0,2,3
paper_eq3,CuytLee,7,0,33.010,28,0,1,3,1,2,3
paper_eq3,CuytLee,8,0,32.910,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,8,0,21.910,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,9,0,22.749,21,0,1,3,0,2,3
paper_eq3,CuytLee,9,0,32.030,28,0,1,3,1,2,3
firefly_shift,BalancedZippel,1,0,25.310,21,0,1,3,0,2,3
firefly_shift,CuytLee,1,0,44.770,28,1,1,3,1,2,3
firefly_shift,CuytLee,2,0,38.500,28,1,1,3,1,2,3
firefly_shift,BalancedZippel,2,0,25.010,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,3,0,25.131,21,0,1,3,0,2,3
firefly_shift,CuytLee,3,0,38.121,28,1,1,3,1,2,3
firefly_shift,CuytLee,4,0,37.790,28,1,1,3,1,2,3
firefly_shift,BalancedZippel,4,0,24.110,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,5,0,24.570,21,0,1,3,0,2,3
firefly_shift,CuytLee,5,0,38.230,28,1,1,3,1,2,3
firefly_shift,CuytLee,6,0,37.110,28,1,1,3,1,2,3
firefly_shift,BalancedZippel,6,0,24.341,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,7,0,24.540,21,0,1,3,0,2,3
firefly_shift,CuytLee,7,0,36.851,28,1,1,3,1,2,3
firefly_shift,CuytLee,8,0,37.320,28,1,1,3,1,2,3
firefly_shift,BalancedZippel,8,0,24.460,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,9,0,25.040,21,0,1,3,0,2,3
firefly_shift,CuytLee,9,0,38.030,28,1,1,3,1,2,3
sparse3,BalancedZippel,1,0,269.871,121,0,1,6,0,4,3
sparse3,CuytLee,1,0,361.411,175,0,1,4,15,4,3
sparse3,CuytLee,2,0,347.081,175,0,1,4,15,4,3
sparse3,BalancedZippel,2,0,269.681,121,0,1,6,0,4,3
sparse3,BalancedZippel,3,0,279.731,121,0,1,6,0,4,3
sparse3,CuytLee,3,0,340.632,175,0,1,4,15,4,3
sparse3,CuytLee,4,0,346.342,175,0,1,4,15,4,3
sparse3,BalancedZippel,4,0,278.471,121,0,1,6,0,4,3
sparse3,BalancedZippel,5,0,267.931,121,0,1,6,0,4,3
sparse3,CuytLee,5,0,344.441,175,0,1,4,15,4,3
sparse3,CuytLee,6,0,352.601,175,0,1,4,15,4,3
sparse3,BalancedZippel,6,0,268.201,121,0,1,6,0,4,3
sparse3,BalancedZippel,7,0,268.871,121,0,1,6,0,4,3
sparse3,CuytLee,7,0,353.011,175,0,1,4,15,4,3
sparse3,CuytLee,8,0,406.722,175,0,1,4,15,4,3
sparse3,BalancedZippel,8,0,268.331,121,0,1,6,0,4,3
sparse3,BalancedZippel,9,0,284.051,121,0,1,6,0,4,3
sparse3,CuytLee,9,0,343.921,175,0,1,4,15,4,3
sparse4,BalancedZippel,1,0,154.520,102,0,1,10,0,4,3
sparse4,CuytLee,1,0,201.001,116,0,1,5,11,4,3
sparse4,CuytLee,2,0,195.371,116,0,1,5,11,4,3
sparse4,BalancedZippel,2,0,153.401,102,0,1,10,0,4,3
sparse4,BalancedZippel,3,0,151.951,102,0,1,10,0,4,3
sparse4,CuytLee,3,0,195.290,116,0,1,5,11,4,3
sparse4,CuytLee,4,0,204.931,116,0,1,5,11,4,3
