case,method,seed,elapsed_us,probes,primes,images,support_resets
paper_eq3,BalancedZippel,1,46.430,24,2,1,0
paper_eq3,CuytLee,1,65.260,31,2,1,0
paper_eq3,CuytLee,2,56.320,31,2,1,0
paper_eq3,BalancedZippel,2,44.871,24,2,1,0
paper_eq3,BalancedZippel,3,43.700,24,2,1,0
paper_eq3,CuytLee,3,62.470,31,2,1,0
paper_eq3,CuytLee,4,64.230,31,2,1,0
paper_eq3,BalancedZippel,4,43.800,24,2,1,0
paper_eq3,BalancedZippel,5,43.020,24,2,1,0
paper_eq3,CuytLee,5,56.411,31,2,1,0
paper_eq3,CuytLee,6,54.200,31,2,1,0
paper_eq3,BalancedZippel,6,58.620,24,2,1,0
paper_eq3,BalancedZippel,7,44.301,24,2,1,0
paper_eq3,CuytLee,7,55.290,31,2,1,0
paper_eq3,CuytLee,8,227.711,31,2,1,0
paper_eq3,BalancedZippel,8,50.230,24,2,1,0
paper_eq3,BalancedZippel,9,43.520,24,2,1,0
paper_eq3,CuytLee,9,61.310,31,2,1,0
paper_eq28_y_d,BalancedZippel,1,32748.480,1617,4,3,0
paper_eq28_y_d,CuytLee,1,111297.063,4098,4,3,0
paper_eq28_y_d,CuytLee,2,110594.520,4098,4,3,0
paper_eq28_y_d,BalancedZippel,2,33213.651,1617,4,3,0
paper_eq28_y_d,BalancedZippel,3,33003.831,1617,4,3,0
paper_eq28_y_d,CuytLee,3,110766.981,4098,4,3,0
paper_eq28_y_d,CuytLee,4,110514.720,4098,4,3,0
paper_eq28_y_d,BalancedZippel,4,32980.390,1617,4,3,0
paper_eq28_y_d,BalancedZippel,5,33973.764,1617,4,3,0
paper_eq28_y_d,CuytLee,5,120366.183,4098,4,3,0
paper_eq28_y_d,CuytLee,6,121770.748,4098,4,3,0
paper_eq28_y_d,BalancedZippel,6,32825.900,1617,4,3,0
paper_eq28_y_d,BalancedZippel,7,33161.221,1617,4,3,0
paper_eq28_y_d,CuytLee,7,123029.132,4098,4,3,0
paper_eq28_y_d,CuytLee,8,122982.062,4098,4,3,0
paper_eq28_y_d,BalancedZippel,8,32502.249,1617,4,3,0
paper_eq28_y_d,BalancedZippel,9,32930.910,1617,4,3,0
paper_eq28_y_d,CuytLee,9,123804.885,4098,4,3,0
