case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_box2l_rank0001,FireFly_scan,1,ok,9971.678,147,2,,,,9223372036854775643:31;9223372036854775783:116,FireFly_default,cached_powers_Q,38,8,,
ibp_box2l_rank0001,FireFly_default,1,ok,5107.110,98,2,,,,9223372036854775643:1;9223372036854775783:97,FireFly_default,cached_powers_Q,38,8,,
ibp_box2l_rank0001,Automatic,1,ok,5161.479,115,2,1,0,0,2305843009213693967:112;2305843009213693973:3,Symbolica_default,cached_powers_Q,38,8,0.437,CuytLeePruned
ibp_box2l_rank0001,FireFly_default,2,ok,5088.929,98,2,,,,9223372036854775643:1;9223372036854775783:97,FireFly_default,cached_powers_Q,38,8,,
ibp_box2l_rank0001,Automatic,2,ok,1023.195,115,2,1,0,0,2305843009213693967:112;2305843009213693973:3,Symbolica_default,cached_powers_Q,38,8,0.457,CuytLeePruned
ibp_box2l_rank0001,FireFly_scan,2,ok,8509.532,147,2,,,,9223372036854775643:31;9223372036854775783:116,FireFly_default,cached_powers_Q,38,8,,
ibp_box2l_rank0001,Automatic,3,ok,1029.135,115,2,1,0,0,2305843009213693967:112;2305843009213693973:3,Symbolica_default,cached_powers_Q,38,8,0.429,CuytLeePruned
ibp_box2l_rank0001,FireFly_scan,3,ok,8595.513,147,2,,,,9223372036854775643:31;9223372036854775783:116,FireFly_default,cached_powers_Q,38,8,,
ibp_box2l_rank0001,FireFly_default,3,ok,5075.069,98,2,,,,9223372036854775643:1;9223372036854775783:97,FireFly_default,cached_powers_Q,38,8,,
ibp_box2l_rank0002,FireFly_scan,1,ok,45411.642,732,2,,,,9223372036854775643:65;9223372036854775783:667,FireFly_default,cached_powers_Q,257,111,,
ibp_box2l_rank0002,FireFly_default,1,ok,59332.205,835,2,,,,9223372036854775643:1;9223372036854775783:834,FireFly_default,cached_powers_Q,257,111,,
ibp_box2l_rank0002,Automatic,1,ok,6385.314,617,2,1,0,0,2305843009213693967:614;2305843009213693973:3,Symbolica_default,cached_powers_Q,257,111,4.297,CuytLeePruned
ibp_box2l_rank0002,FireFly_default,2,ok,58845.243,835,2,,,,9223372036854775643:1;9223372036854775783:834,FireFly_default,cached_powers_Q,257,111,,
ibp_box2l_rank0002,Automatic,2,ok,6399.444,617,2,1,0,0,2305843009213693967:614;2305843009213693973:3,Symbolica_default,cached_powers_Q,257,111,4.357,CuytLeePruned
ibp_box2l_rank0002,FireFly_scan,2,ok,46154.265,732,2,,,,9223372036854775643:65;9223372036854775783:667,FireFly_default,cached_powers_Q,257,111,,
ibp_box2l_rank0002,Automatic,3,ok,6011.853,617,2,1,0,0,2305843009213693967:614;2305843009213693973:3,Symbolica_default,cached_powers_Q,257,111,4.288,CuytLeePruned
ibp_box2l_rank0002,FireFly_scan,3,ok,44848.830,732,2,,,,9223372036854775643:65;9223372036854775783:667,FireFly_default,cached_powers_Q,257,111,,
ibp_box2l_rank0002,FireFly_default,3,ok,61394.942,835,2,,,,9223372036854775643:1;9223372036854775783:834,FireFly_default,cached_powers_Q,257,111,,
ibp_box2l_rank0003,FireFly_scan,1,ok,28169.947,501,2,,,,9223372036854775643:51;9223372036854775783:450,FireFly_default,cached_powers_Q,153,60,,
ibp_box2l_rank0003,FireFly_default,1,ok,27167.373,449,2,,,,9223372036854775643:1;9223372036854775783:448,FireFly_default,cached_powers_Q,153,60,,
ibp_box2l_rank0003,Automatic,1,ok,4956.119,367,2,1,0,0,2305843009213693967:364;2305843009213693973:3,Symbolica_default,cached_powers_Q,153,60,1.645,CuytLeePruned
ibp_box2l_rank0003,FireFly_default,2,ok,26398.980,449,2,,,,9223372036854775643:1;9223372036854775783:448,FireFly_default,cached_powers_Q,153,60,,
ibp_box2l_rank0003,Automatic,2,ok,4842.599,367,2,1,0,0,2305843009213693967:364;2305843009213693973:3,Symbolica_default,cached_powers_Q,153,60,1.840,CuytLeePruned
ibp_box2l_rank0003,FireFly_scan,2,ok,29572.672,501,2,,,,9223372036854775643:51;9223372036854775783:450,FireFly_default,cached_powers_Q,153,60,,
ibp_box2l_rank0003,Automatic,3,ok,4787.248,367,2,1,0,0,2305843009213693967:364;2305843009213693973:3,Symbolica_default,cached_powers_Q,153,60,1.870,CuytLeePruned
ibp_box2l_rank0003,FireFly_scan,3,ok,29503.142,501,2,,,,9223372036854775643:51;9223372036854775783:450,FireFly_default,cached_powers_Q,153,60,,
ibp_box2l_rank0003,FireFly_default,3,ok,27144.303,449,2,,,,9223372036854775643:1;9223372036854775783:448,FireFly_default,cached_powers_Q,153,60,,
ibp_box2l_rank0004,FireFly_scan,1,ok,25263.526,455,2,,,,9223372036854775643:51;9223372036854775783:404,FireFly_default,cached_powers_Q,165,60,,
ibp_box2l_rank0004,FireFly_default,1,ok,29556.832,502,2,,,,9223372036854775643:1;9223372036854775783:501,FireFly_default,cached_powers_Q,165,60,,
ibp_box2l_rank0004,Automatic,1,ok,5319.950,407,2,1,0,0,2305843009213693967:404;2305843009213693973:3,Symbolica_default,cached_powers_Q,165,60,1.504,CuytLeePruned
ibp_box2l_rank0004,FireFly_default,2,ok,29147.281,502,2,,,,9223372036854775643:1;9223372036854775783:501,FireFly_default,cached_powers_Q,165,60,,
ibp_box2l_rank0004,Automatic,2,ok,5125.210,407,2,1,0,0,2305843009213693967:404;2305843009213693973:3,Symbolica_default,cached_powers_Q,165,60,1.378,CuytLeePruned
ibp_box2l_rank0004,FireFly_scan,2,ok,27390.054,455,2,,,,9223372036854775643:51;9223372036854775783:404,FireFly_default,cached_powers_Q,165,60,,
ibp_box2l_rank0004,Automatic,3,ok,5278.150,407,2,1,0,0,2305843009213693967:404;2305843009213693973:3,Symbolica_default,cached_powers_Q,165,60,1.310,CuytLeePruned
ibp_box2l_rank0004,FireFly_scan,3,ok,26769.702,455,2,,,,9223372036854775643:51;9223372036854775783:404,FireFly_default,cached_powers_Q,165,60,,
ibp_box2l_rank0004,FireFly_default,3,ok,29509.291,502,2,,,,9223372036854775643:1;9223372036854775783:501,FireFly_default,cached_powers_Q,165,60,,
