case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_box2l_rank0001,FireFly_default,1,ok,5234.550,98,2,,,,9223372036854775643:1;9223372036854775783:97,FireFly_default,cached_powers_Q,38,8,,
ibp_box2l_rank0001,FireFly_scan,1,ok,8529.532,147,2,,,,9223372036854775643:31;9223372036854775783:116,FireFly_default,cached_powers_Q,38,8,,
ibp_box2l_rank0001,FIRE7_Q_learned,1,ok,4882.579,244,3,2,,,18446744073709551521:3;18446744073709551533:116;18446744073709551557:125,FIRE7_native_64,cached_powers_Q,38,8,,
ibp_box2l_rank0001,Rare_scaling,1,ok,504.611,130,2,,,,1152921504606846883:128;1152921504606846869:2,Rare_native_60,cached_powers_Q,38,8,,
ibp_box2l_rank0001,Automatic,1,ok,1171.265,115,2,1,0,0,2305843009213693967:112;2305843009213693973:3,Symbolica_default,cached_powers_Q,38,8,0.786,CuytLeePruned
ibp_box2l_rank0002,FireFly_default,1,ok,62169.125,835,2,,,,9223372036854775643:1;9223372036854775783:834,FireFly_default,cached_powers_Q,257,111,,
ibp_box2l_rank0002,FireFly_scan,1,ok,48918.405,732,2,,,,9223372036854775643:65;9223372036854775783:667,FireFly_default,cached_powers_Q,257,111,,
ibp_box2l_rank0002,FIRE7_Q_learned,1,ok,35810.906,1445,3,2,,,18446744073709551521:3;18446744073709551533:718;18446744073709551557:724,FIRE7_native_64,cached_powers_Q,257,111,,
ibp_box2l_rank0002,Rare_scaling,1,ok,13265.299,913,2,,,,1152921504606846883:911;1152921504606846869:2,Rare_native_60,cached_powers_Q,257,111,,
ibp_box2l_rank0002,Automatic,1,ok,6876.146,617,2,1,0,0,2305843009213693967:614;2305843009213693973:3,Symbolica_default,cached_powers_Q,257,111,2.850,CuytLeePruned
ibp_box2l_rank0003,FireFly_default,1,ok,27925.755,449,2,,,,9223372036854775643:1;9223372036854775783:448,FireFly_default,cached_powers_Q,153,60,,
ibp_box2l_rank0003,FireFly_scan,1,ok,29681.132,501,2,,,,9223372036854775643:51;9223372036854775783:450,FireFly_default,cached_powers_Q,153,60,,
ibp_box2l_rank0003,FIRE7_Q_learned,1,ok,20466.858,1037,3,2,,,18446744073709551521:3;18446744073709551533:510;18446744073709551557:524,FIRE7_native_64,cached_powers_Q,153,60,,
ibp_box2l_rank0003,Rare_scaling,1,ok,5398.700,554,2,,,,1152921504606846883:552;1152921504606846869:2,Rare_native_60,cached_powers_Q,153,60,,
ibp_box2l_rank0003,Automatic,1,ok,3385.102,367,2,1,0,0,2305843009213693967:364;2305843009213693973:3,Symbolica_default,cached_powers_Q,153,60,2.003,CuytLeePruned
ibp_box2l_rank0004,FireFly_default,1,ok,30598.666,502,2,,,,9223372036854775643:1;9223372036854775783:501,FireFly_default,cached_powers_Q,165,60,,
ibp_box2l_rank0004,FireFly_scan,1,ok,26684.261,455,2,,,,9223372036854775643:51;9223372036854775783:404,FireFly_default,cached_powers_Q,165,60,,
ibp_box2l_rank0004,FIRE7_Q_learned,1,ok,19815.424,933,3,2,,,18446744073709551521:3;18446744073709551533:457;18446744073709551557:473,FIRE7_native_64,cached_powers_Q,165,60,,
ibp_box2l_rank0004,Rare_scaling,1,ok,5880.142,585,2,,,,1152921504606846883:583;1152921504606846869:2,Rare_native_60,cached_powers_Q,165,60,,
ibp_box2l_rank0004,Automatic,1,ok,4029.276,407,2,1,0,0,2305843009213693967:404;2305843009213693973:3,Symbolica_default,cached_powers_Q,165,60,1.656,CuytLeePruned
