case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_box2l_rank0001,Automatic,1,ok,853.044,83,2,1,0,0,2305843009213693967:80;2305843009213693973:3,Symbolica_default,cached_powers_Q,38,8,0.579,BalancedZippel
ibp_box2l_rank0001,Automatic,2,ok,834.874,83,2,1,0,0,2305843009213693967:80;2305843009213693973:3,Symbolica_default,cached_powers_Q,38,8,0.377,BalancedZippel
ibp_box2l_rank0001,Automatic,3,ok,1088.624,83,2,1,0,0,2305843009213693967:80;2305843009213693973:3,Symbolica_default,cached_powers_Q,38,8,0.529,BalancedZippel
ibp_box2l_rank0002,Automatic,1,ok,3619.573,472,2,1,0,0,2305843009213693967:469;2305843009213693973:3,Symbolica_default,cached_powers_Q,257,111,19.708,BalancedZippel
ibp_box2l_rank0002,Automatic,2,ok,22899.406,472,2,1,0,0,2305843009213693967:469;2305843009213693973:3,Symbolica_default,cached_powers_Q,257,111,23.969,BalancedZippel
ibp_box2l_rank0002,Automatic,3,ok,27124.602,472,2,1,0,0,2305843009213693967:469;2305843009213693973:3,Symbolica_default,cached_powers_Q,257,111,27.634,BalancedZippel
ibp_box2l_rank0003,Automatic,1,ok,17677.867,323,2,1,0,0,2305843009213693967:320;2305843009213693973:3,Symbolica_default,cached_powers_Q,153,60,1.231,BalancedZippel
ibp_box2l_rank0003,Automatic,2,ok,15805.430,323,2,1,0,0,2305843009213693967:320;2305843009213693973:3,Symbolica_default,cached_powers_Q,153,60,1.818,BalancedZippel
ibp_box2l_rank0003,Automatic,3,ok,16869.073,323,2,1,0,0,2305843009213693967:320;2305843009213693973:3,Symbolica_default,cached_powers_Q,153,60,1.219,BalancedZippel
ibp_box2l_rank0004,Automatic,1,ok,18274.129,282,2,1,0,0,2305843009213693967:279;2305843009213693973:3,Symbolica_default,cached_powers_Q,165,60,1.144,BalancedZippel
ibp_box2l_rank0004,Automatic,2,ok,16825.363,282,2,1,0,0,2305843009213693967:279;2305843009213693973:3,Symbolica_default,cached_powers_Q,165,60,1.107,BalancedZippel
ibp_box2l_rank0004,Automatic,3,ok,21175.849,282,2,1,0,0,2305843009213693967:279;2305843009213693973:3,Symbolica_default,cached_powers_Q,165,60,1.335,BalancedZippel
