case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001,Automatic,1,ok,604.093,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.536,BalancedZippelSeparated
fire7_graph5_rank0002,Automatic,1,ok,647.062,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.575,BalancedZippelSeparated
fire7_graph5_rank0003,Automatic,1,ok,390.882,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.771,BalancedZippelSeparated
fire7_graph5_rank0004,Automatic,1,ok,382.721,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.771,BalancedZippelSeparated
fire7_graph5_rank0005,Automatic,1,ok,351.721,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.709,BalancedZippelSeparated
fire7_graph5_rank0006,Automatic,1,ok,362.562,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.526,BalancedZippelSeparated
fire7_graph5_rank0007,Automatic,1,ok,391.082,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.482,BalancedZippelSeparated
fire7_graph5_rank0008,Automatic,1,ok,364.201,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.467,BalancedZippelSeparated
fire7_graph5_rank0009,Automatic,1,ok,545.322,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.516,BalancedZippelSeparated
fire7_graph5_rank0010,Automatic,1,ok,584.562,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.521,BalancedZippelSeparated
fire7_graph5_rank0011,Automatic,1,ok,409.862,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.739,BalancedZippelSeparated
fire7_graph5_rank0012,Automatic,1,ok,330.642,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.444,BalancedZippelSeparated
fire7_graph5_rank0013,Automatic,1,ok,273.692,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.751,BalancedZippelSeparated
fire7_graph5_rank0014,Automatic,1,ok,466.372,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.442,BalancedZippelSeparated
fire7_graph5_rank0015,Automatic,1,ok,324.181,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.449,BalancedZippelSeparated
fire7_graph5_rank0016,Automatic,1,ok,532.342,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.616,BalancedZippelSeparated
fire7_graph5_rank0017,Automatic,1,ok,294.901,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.398,BalancedZippelSeparated
fire7_graph5_rank0018,Automatic,1,ok,330.222,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.659,BalancedZippelSeparated
fire7_graph5_rank0019,Automatic,1,ok,324.311,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.671,BalancedZippelSeparated
fire7_graph5_rank0020,Automatic,1,ok,532.802,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,12,0.433,BalancedZippelSeparated
fire7_graph5_rank0021,Automatic,1,ok,610.233,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.469,BalancedZippelSeparated
fire7_graph5_rank0022,Automatic,1,ok,310.451,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.642,BalancedZippelSeparated
fire7_graph5_rank0023,Automatic,1,ok,284.371,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.424,BalancedZippelSeparated
fire7_graph5_rank0024,Automatic,1,ok,304.561,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.563,BalancedZippelSeparated
fire7_graph5_rank0025,Automatic,1,ok,299.921,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.389,BalancedZippelSeparated
fire7_graph5_rank0026,Automatic,1,ok,380.992,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.590,BalancedZippelSeparated
fire7_graph5_rank0027,Automatic,1,ok,327.971,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.656,BalancedZippelSeparated
