case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,48724.153,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,44.831,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,85535.561,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,36.588,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,23022.137,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,47.820,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,37276.240,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,47.289,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,46921.146,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,37.841,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,36739.428,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,31.936,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,19164.762,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,38.243,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,47388.658,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,32.401,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,32383.022,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,31.032,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,49085.465,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,8.732,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,1,ok,38258.995,1337,2,1,0,0,2305843009213693967:1334;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,20.187,BalancedZippelSeparated
fire7_nb0_rank0012,Automatic,1,ok,37307.570,878,2,1,0,0,2305843009213693967:875;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,369,30.268,BalancedZippelSeparated
fire7_nb0_rank0013,Automatic,1,ok,59424.953,1108,2,1,0,0,2305843009213693967:1105;2305843009213693973:3,Symbolica_default,cached_powers_Q,534,232,30.295,BalancedZippelSeparated
fire7_nb0_rank0014,Automatic,1,ok,54985.927,963,2,1,0,0,2305843009213693967:960;2305843009213693973:3,Symbolica_default,cached_powers_Q,572,198,35.673,BalancedZippelSeparated
fire7_nb0_rank0015,Automatic,1,ok,42666.340,978,2,1,0,0,2305843009213693967:975;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,18.024,BalancedZippelSeparated
fire7_nb0_rank0016,Automatic,1,ok,54389.025,1102,2,1,0,0,2305843009213693967:1099;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,26.027,BalancedZippelSeparated
fire7_nb0_rank0017,Automatic,1,ok,51731.364,1141,2,1,0,0,2305843009213693967:1138;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,189,23.660,BalancedZippelSeparated
fire7_nb0_rank0018,Automatic,1,ok,35393.333,1210,2,1,0,0,2305843009213693967:1207;2305843009213693973:3,Symbolica_default,cached_powers_Q,566,189,48.337,BalancedZippelSeparated
fire7_nb0_rank0019,Automatic,1,ok,35082.262,1089,2,1,0,0,2305843009213693967:1086;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,168,48.360,BalancedZippelSeparated
fire7_nb0_rank0020,Automatic,1,ok,33041.354,878,2,1,0,0,2305843009213693967:875;2305843009213693973:3,Symbolica_default,cached_powers_Q,539,189,9.677,BalancedZippelSeparated
fire7_nb0_rank0021,Automatic,1,ok,43794.444,1027,2,1,0,0,2305843009213693967:1024;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,312,7.195,BalancedZippelSeparated
fire7_nb0_rank0022,Automatic,1,ok,80488.883,1066,2,1,0,0,2305843009213693967:1063;2305843009213693973:3,Symbolica_default,cached_powers_Q,550,168,28.001,BalancedZippelSeparated
fire7_nb0_rank0023,Automatic,1,ok,60485.828,945,2,1,0,0,2305843009213693967:942;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,240,22.545,BalancedZippelSeparated
fire7_nb0_rank0024,Automatic,1,ok,67400.793,985,2,1,0,0,2305843009213693967:982;2305843009213693973:3,Symbolica_default,cached_powers_Q,497,240,25.305,BalancedZippelSeparated
fire7_nb0_rank0025,Automatic,1,ok,57690.186,807,2,1,0,0,2305843009213693967:804;2305843009213693973:3,Symbolica_default,cached_powers_Q,395,328,30.113,BalancedZippelSeparated
fire7_nb0_rank0026,Automatic,1,ok,60793.899,1029,2,1,0,0,2305843009213693967:1026;2305843009213693973:3,Symbolica_default,cached_powers_Q,532,168,30.894,BalancedZippelSeparated
fire7_nb0_rank0027,Automatic,1,ok,9292.086,825,2,1,0,0,2305843009213693967:822;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,232,36.484,BalancedZippelSeparated
fire7_nb0_rank0028,Automatic,1,ok,59584.704,868,2,1,0,0,2305843009213693967:865;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,147,34.439,BalancedZippelSeparated
fire7_nb0_rank0029,Automatic,1,ok,12651.848,764,2,1,0,0,2305843009213693967:761;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,162,27.624,BalancedZippelSeparated
fire7_nb0_rank0030,Automatic,1,ok,65005.264,1017,2,1,0,0,2305843009213693967:1014;2305843009213693973:3,Symbolica_default,cached_powers_Q,504,126,36.021,BalancedZippelSeparated
fire7_nb0_rank0031,Automatic,1,ok,46952.566,1000,2,1,0,0,2305843009213693967:997;2305843009213693973:3,Symbolica_default,cached_powers_Q,471,147,38.267,BalancedZippelSeparated
fire7_nb0_rank0032,Automatic,1,ok,31638.179,839,2,1,0,0,2305843009213693967:836;2305843009213693973:3,Symbolica_default,cached_powers_Q,449,153,35.608,BalancedZippelSeparated
fire7_nb0_rank0033,Automatic,1,ok,51002.032,760,2,1,0,0,2305843009213693967:757;2305843009213693973:3,Symbolica_default,cached_powers_Q,404,192,24.068,BalancedZippelSeparated
fire7_nb0_rank0034,Automatic,1,ok,53088.890,900,2,1,0,0,2305843009213693967:897;2305843009213693973:3,Symbolica_default,cached_powers_Q,458,144,26.472,BalancedZippelSeparated
fire7_nb0_rank0035,Automatic,1,ok,35697.935,868,2,1,0,0,2305843009213693967:865;2305843009213693973:3,Symbolica_default,cached_powers_Q,445,154,32.651,BalancedZippelSeparated
fire7_nb0_rank0036,Automatic,1,ok,34141.278,867,2,1,0,0,2305843009213693967:864;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,168,28.692,BalancedZippelSeparated
fire7_nb0_rank0037,Automatic,1,ok,60759.879,798,2,1,0,0,2305843009213693967:795;2305843009213693973:3,Symbolica_default,cached_powers_Q,405,168,32.202,BalancedZippelSeparated
fire7_nb0_rank0038,Automatic,1,ok,82842.651,1004,2,1,0,0,2305843009213693967:1001;2305843009213693973:3,Symbolica_default,cached_powers_Q,466,119,31.030,BalancedZippelSeparated
fire7_nb0_rank0039,Automatic,1,ok,30769.816,740,2,1,0,0,2305843009213693967:737;2305843009213693973:3,Symbolica_default,cached_powers_Q,308,240,30.988,BalancedZippelSeparated
fire7_nb0_rank0040,Automatic,1,ok,55366.598,839,2,1,0,0,2305843009213693967:836;2305843009213693973:3,Symbolica_default,cached_powers_Q,443,119,23.935,BalancedZippelSeparated
fire7_nb0_rank0041,Automatic,1,ok,53623.952,620,2,1,0,0,2305843009213693967:617;2305843009213693973:3,Symbolica_default,cached_powers_Q,362,176,23.132,BalancedZippelSeparated
fire7_nb0_rank0042,Automatic,1,ok,47101.377,895,2,1,0,0,2305843009213693967:892;2305843009213693973:3,Symbolica_default,cached_powers_Q,400,147,23.699,BalancedZippelSeparated
fire7_nb0_rank0043,Automatic,1,ok,56609.913,966,2,1,0,0,2305843009213693967:963;2305843009213693973:3,Symbolica_default,cached_powers_Q,432,126,9.860,BalancedZippelSeparated
fire7_nb0_rank0044,Automatic,1,ok,53188.530,944,2,1,0,0,2305843009213693967:941;2305843009213693973:3,Symbolica_default,cached_powers_Q,418,126,30.975,BalancedZippelSeparated
fire7_nb0_rank0045,Automatic,1,ok,42205.579,809,2,1,0,0,2305843009213693967:806;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,126,21.793,BalancedZippelSeparated
fire7_nb0_rank0046,Automatic,1,ok,93208.441,900,2,1,0,0,2305843009213693967:897;2305843009213693973:3,Symbolica_default,cached_powers_Q,422,132,14.818,BalancedZippelSeparated
fire7_nb0_rank0047,Automatic,1,ok,20448.557,835,2,1,0,0,2305843009213693967:832;2305843009213693973:3,Symbolica_default,cached_powers_Q,452,77,3.302,BalancedZippelSeparated
fire7_nb0_rank0048,Automatic,1,ok,6573.125,726,2,1,0,0,2305843009213693967:723;2305843009213693973:3,Symbolica_default,cached_powers_Q,280,224,28.007,BalancedZippelSeparated
fire7_nb0_rank0049,Automatic,1,ok,6593.255,726,2,1,0,0,2305843009213693967:723;2305843009213693973:3,Symbolica_default,cached_powers_Q,280,224,28.087,BalancedZippelSeparated
fire7_nb0_rank0050,Automatic,1,ok,102807.577,677,2,1,0,0,2305843009213693967:674;2305843009213693973:3,Symbolica_default,cached_powers_Q,340,176,20.517,BalancedZippelSeparated
fire7_nb0_rank0051,Automatic,1,ok,25173.004,873,2,1,0,0,2305843009213693967:870;2305843009213693973:3,Symbolica_default,cached_powers_Q,383,162,36.568,BalancedZippelSeparated
fire7_nb0_rank0052,Automatic,1,ok,65516.337,759,2,1,0,0,2305843009213693967:756;2305843009213693973:3,Symbolica_default,cached_powers_Q,299,224,2.122,BalancedZippelSeparated
fire7_nb0_rank0053,Automatic,1,ok,98343.370,782,2,1,0,0,2305843009213693967:779;2305843009213693973:3,Symbolica_default,cached_powers_Q,351,180,21.109,BalancedZippelSeparated
fire7_nb0_rank0054,Automatic,1,ok,37518.251,817,2,1,0,0,2305843009213693967:814;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,126,36.519,BalancedZippelSeparated
fire7_nb0_rank0055,Automatic,1,ok,31366.238,626,2,1,0,0,2305843009213693967:623;2305843009213693973:3,Symbolica_default,cached_powers_Q,330,168,35.412,BalancedZippelSeparated
fire7_nb0_rank0056,Automatic,1,ok,33382.836,598,2,1,0,0,2305843009213693967:595;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,81,27.069,BalancedZippelSeparated
fire7_nb0_rank0057,Automatic,1,ok,28741.048,708,2,1,0,0,2305843009213693967:705;2305843009213693973:3,Symbolica_default,cached_powers_Q,359,152,9.022,BalancedZippelSeparated
fire7_nb0_rank0058,Automatic,1,ok,25783.827,723,2,1,0,0,2305843009213693967:720;2305843009213693973:3,Symbolica_default,cached_powers_Q,337,168,23.244,BalancedZippelSeparated
fire7_nb0_rank0059,Automatic,1,ok,29151.410,750,2,1,0,0,2305843009213693967:747;2305843009213693973:3,Symbolica_default,cached_powers_Q,360,147,26.468,BalancedZippelSeparated
fire7_nb0_rank0060,Automatic,1,ok,32325.801,729,2,1,0,0,2305843009213693967:726;2305843009213693973:3,Symbolica_default,cached_powers_Q,380,119,28.628,BalancedZippelSeparated
fire7_nb0_rank0061,Automatic,1,ok,6636.045,696,2,1,0,0,2305843009213693967:693;2305843009213693973:3,Symbolica_default,cached_powers_Q,270,210,23.578,BalancedZippelSeparated
fire7_nb0_rank0062,Automatic,1,ok,9202.915,696,2,1,0,0,2305843009213693967:693;2305843009213693973:3,Symbolica_default,cached_powers_Q,270,210,11.805,BalancedZippelSeparated
fire7_nb0_rank0063,Automatic,1,ok,31281.538,824,2,1,0,0,2305843009213693967:821;2305843009213693973:3,Symbolica_default,cached_powers_Q,376,126,17.959,BalancedZippelSeparated
fire7_nb0_rank0064,Automatic,1,ok,34740.251,816,2,1,0,0,2305843009213693967:813;2305843009213693973:3,Symbolica_default,cached_powers_Q,375,132,28.985,BalancedZippelSeparated
fire7_nb0_rank0065,Automatic,1,ok,33343.196,598,2,1,0,0,2305843009213693967:595;2305843009213693973:3,Symbolica_default,cached_powers_Q,401,81,32.060,BalancedZippelSeparated
fire7_nb0_rank0066,Automatic,1,ok,20518.467,638,2,1,0,0,2305843009213693967:635;2305843009213693973:3,Symbolica_default,cached_powers_Q,306,192,13.635,BalancedZippelSeparated
fire7_nb0_rank0067,Automatic,1,ok,5734.662,627,2,1,0,0,2305843009213693967:624;2305843009213693973:3,Symbolica_default,cached_powers_Q,297,192,23.219,BalancedZippelSeparated
fire7_nb0_rank0068,Automatic,1,ok,5729.602,615,2,1,0,0,2305843009213693967:612;2305843009213693973:3,Symbolica_default,cached_powers_Q,257,231,23.980,BalancedZippelSeparated
fire7_nb0_rank0069,Automatic,1,ok,19519.473,720,2,1,0,0,2305843009213693967:717;2305843009213693973:3,Symbolica_default,cached_powers_Q,359,126,31.220,BalancedZippelSeparated
fire7_nb0_rank0070,Automatic,1,ok,10021.328,650,2,1,0,0,2305843009213693967:647;2305843009213693973:3,Symbolica_default,cached_powers_Q,319,168,6.288,BalancedZippelSeparated
fire7_nb0_rank0071,Automatic,1,ok,35081.251,778,2,1,0,0,2305843009213693967:775;2305843009213693973:3,Symbolica_default,cached_powers_Q,376,102,8.516,BalancedZippelSeparated
fire7_nb0_rank0072,Automatic,1,ok,22516.984,842,2,1,0,0,2305843009213693967:839;2305843009213693973:3,Symbolica_default,cached_powers_Q,350,126,6.222,BalancedZippelSeparated
fire7_nb0_rank0073,Automatic,1,ok,6099.093,587,2,1,0,0,2305843009213693967:584;2305843009213693973:3,Symbolica_default,cached_powers_Q,315,136,27.669,BalancedZippelSeparated
fire7_nb0_rank0074,Automatic,1,ok,31048.627,572,2,1,0,0,2305843009213693967:569;2305843009213693973:3,Symbolica_default,cached_powers_Q,364,88,22.667,BalancedZippelSeparated
fire7_nb0_rank0075,Automatic,1,ok,55526.649,746,2,1,0,0,2305843009213693967:743;2305843009213693973:3,Symbolica_default,cached_powers_Q,269,192,6.021,BalancedZippelSeparated
fire7_nb0_rank0076,Automatic,1,ok,15165.567,640,2,1,0,0,2305843009213693967:637;2305843009213693973:3,Symbolica_default,cached_powers_Q,296,168,22.869,BalancedZippelSeparated
fire7_nb0_rank0077,Automatic,1,ok,44823.388,922,2,1,0,0,2305843009213693967:919;2305843009213693973:3,Symbolica_default,cached_powers_Q,288,195,14.703,BalancedZippelSeparated
fire7_nb0_rank0078,Automatic,1,ok,32271.841,552,2,1,0,0,2305843009213693967:549;2305843009213693973:3,Symbolica_default,cached_powers_Q,242,192,1.860,BalancedZippelSeparated
fire7_nb0_rank0079,Automatic,1,ok,54063.373,672,2,1,0,0,2305843009213693967:669;2305843009213693973:3,Symbolica_default,cached_powers_Q,341,114,1.910,BalancedZippelSeparated
fire7_nb0_rank0080,Automatic,1,ok,26457.550,484,2,1,0,0,2305843009213693967:481;2305843009213693973:3,Symbolica_default,cached_powers_Q,240,200,1.916,BalancedZippelSeparated
fire7_nb0_rank0081,Automatic,1,ok,66934.532,701,2,1,0,0,2305843009213693967:698;2305843009213693973:3,Symbolica_default,cached_powers_Q,385,56,19.266,BalancedZippelSeparated
