case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
coeff_prop_4l,Automatic,1,ok,12715405.566,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,84.474,BalancedZippel
coeff_prop_4l,Automatic,2,ok,11188955.779,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,79.841,BalancedZippel
coeff_prop_4l,Automatic,3,ok,10964870.229,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,72.976,BalancedZippel
coeff_prop_4l_mod,Automatic,1,ok,11117868.591,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,70.257,BalancedZippel
coeff_prop_4l_mod,Automatic,2,ok,11175543.444,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,71.954,BalancedZippel
coeff_prop_4l_mod,Automatic,3,ok,10967825.175,71019,8,7,6,0,2305843009213693967:12822;2305843009213693973:12711;2305843009213694009:12551;2305843009213694017:12009;2305843009213694087:10783;2305843009213694149:7655;2305843009213694173:2485;2305843009213694207:3,Symbolica_default,cached_powers_Q,6671,6051,72.804,BalancedZippel
aajamp,Automatic,1,ok,17851102.294,43957,2,1,0,0,2305843009213693967:43954;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,7737.116,CuytLeePruned
aajamp,Automatic,2,ok,16425467.189,43957,2,1,0,0,2305843009213693967:43954;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5438.849,CuytLeePruned
aajamp,Automatic,3,ok,17907837.677,43957,2,1,0,0,2305843009213693967:43954;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,6030.135,CuytLeePruned
aajamp_mod,Automatic,1,ok,16569875.840,43955,2,1,0,0,2305843009213693967:43952;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5954.598,CuytLeePruned
aajamp_mod,Automatic,2,ok,15662273.197,43955,2,1,0,0,2305843009213693967:43952;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5437.837,CuytLeePruned
aajamp_mod,Automatic,3,ok,15657395.307,43955,2,1,0,0,2305843009213693967:43952;2305843009213693973:3,Symbolica_default,cached_powers_Q,23260,7231,5395.079,CuytLeePruned
fire7_nb0_largest,Automatic,1,ok,33692.087,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.448,BalancedZippelSeparated
fire7_nb0_largest,Automatic,2,ok,32924.344,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.497,BalancedZippelSeparated
fire7_nb0_largest,Automatic,3,ok,32952.445,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.398,BalancedZippelSeparated
