case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001,Automatic,1,ok,458.832,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.750,BalancedZippelSeparated
fire7_graph5_rank0002,Automatic,1,ok,594.562,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.553,BalancedZippelSeparated
fire7_graph5_rank0003,Automatic,1,ok,486.632,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.751,BalancedZippelSeparated
fire7_graph5_rank0004,Automatic,1,ok,658.763,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.856,BalancedZippelSeparated
fire7_graph5_rank0005,Automatic,1,ok,590.532,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.552,BalancedZippelSeparated
fire7_graph5_rank0006,Automatic,1,ok,653.133,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.550,BalancedZippelSeparated
fire7_graph5_rank0007,Automatic,1,ok,324.451,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.746,BalancedZippelSeparated
fire7_graph5_rank0008,Automatic,1,ok,540.602,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.511,BalancedZippelSeparated
fire7_graph5_rank0009,Automatic,1,ok,262.591,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.608,BalancedZippelSeparated
fire7_graph5_rank0010,Automatic,1,ok,568.031,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.497,BalancedZippelSeparated
fire7_graph5_rank0011,Automatic,1,ok,420.232,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.771,BalancedZippelSeparated
fire7_graph5_rank0012,Automatic,1,ok,634.083,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.455,BalancedZippelSeparated
fire7_graph5_rank0013,Automatic,1,ok,288.221,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.723,BalancedZippelSeparated
fire7_graph5_rank0014,Automatic,1,ok,330.752,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.723,BalancedZippelSeparated
fire7_graph5_rank0015,Automatic,1,ok,387.552,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.702,BalancedZippelSeparated
fire7_graph5_rank0016,Automatic,1,ok,540.382,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.458,BalancedZippelSeparated
fire7_graph5_rank0017,Automatic,1,ok,301.881,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.605,BalancedZippelSeparated
