case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001,Automatic,1,ok,300.612,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.551,BalancedZippelSeparated
fire7_graph5_rank0002,Automatic,1,ok,324.201,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.510,BalancedZippelSeparated
fire7_graph5_rank0003,Automatic,1,ok,393.821,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.336,BalancedZippelSeparated
fire7_graph5_rank0004,Automatic,1,ok,256.921,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.350,BalancedZippelSeparated
fire7_graph5_rank0005,Automatic,1,ok,408.032,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.359,BalancedZippelSeparated
fire7_graph5_rank0006,Automatic,1,ok,286.491,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.434,BalancedZippelSeparated
fire7_graph5_rank0007,Automatic,1,ok,359.891,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.299,BalancedZippelSeparated
fire7_graph5_rank0008,Automatic,1,ok,198.821,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.406,BalancedZippelSeparated
fire7_graph5_rank0009,Automatic,1,ok,227.931,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.375,BalancedZippelSeparated
fire7_graph5_rank0010,Automatic,1,ok,202.091,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.283,BalancedZippelSeparated
fire7_graph5_rank0011,Automatic,1,ok,181.950,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.330,BalancedZippelSeparated
fire7_graph5_rank0012,Automatic,1,ok,201.041,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.390,BalancedZippelSeparated
fire7_graph5_rank0013,Automatic,1,ok,165.651,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.268,BalancedZippelSeparated
fire7_graph5_rank0014,Automatic,1,ok,206.421,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.254,BalancedZippelSeparated
fire7_graph5_rank0015,Automatic,1,ok,207.361,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.273,BalancedZippelSeparated
fire7_graph5_rank0016,Automatic,1,ok,196.841,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.264,BalancedZippelSeparated
fire7_graph5_rank0017,Automatic,1,ok,187.331,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.242,BalancedZippelSeparated
fire7_graph5_rank0078,Automatic,1,ok,149.040,27,2,1,0,0,2305843009213693967:24;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,8,0.212,BalancedZippelSeparated
fire7_graph5_rank0140,Automatic,1,ok,161.591,30,2,1,0,0,2305843009213693967:27;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,12,0.207,BalancedZippelSeparated
fire7_graph5_rank0202,Automatic,1,ok,133.721,25,2,1,0,0,2305843009213693967:22;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,10,0.207,BalancedZippelSeparated
fire7_graph5_rank0264,Automatic,1,ok,138.441,26,2,1,0,0,2305843009213693967:23;2305843009213693973:3,Symbolica_default,cached_powers_Q,6,4,0.188,BalancedZippelSeparated
fire7_graph5_rank0326,Automatic,1,ok,116.241,20,2,1,0,0,2305843009213693967:17;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,4,0.148,BalancedZippelSeparated
fire7_graph5_rank0388,Automatic,1,ok,102.420,20,2,1,0,0,2305843009213693967:17;2305843009213693973:3,Symbolica_default,cached_powers_Q,2,4,0.182,BalancedZippelSeparated
fire7_graph5_rank0450,Automatic,1,ok,129.891,22,2,1,0,0,2305843009213693967:19;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,3,0.168,BalancedZippelSeparated
fire7_graph5_rank0511,Automatic,1,ok,127.140,23,2,1,0,0,2305843009213693967:20;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,3,0.182,BalancedZippelSeparated
fire7_graph5_rank0573,Automatic,1,ok,119.490,21,2,1,0,0,2305843009213693967:18;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,2,0.165,BalancedZippelSeparated
fire7_graph5_rank0635,Automatic,1,ok,86.610,17,2,1,0,0,2305843009213693967:14;2305843009213693973:3,Symbolica_default,cached_powers_Q,1,3,0.161,BalancedZippelSeparated
fire7_graph5_rank0697,Automatic,1,ok,106.530,16,2,1,0,0,2305843009213693967:13;2305843009213693973:3,Symbolica_default,cached_powers_Q,2,2,0.150,BalancedZippelSeparated
fire7_graph5_rank0759,Automatic,1,ok,116.691,19,2,1,0,0,2305843009213693967:16;2305843009213693973:3,Symbolica_default,cached_powers_Q,2,4,0.176,BalancedZippelSeparated
