case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_xbox2l2m_rank0001,FireFly_default,1,ok,16923964.126,24375,2,,,,9223372036854775643:1;9223372036854775783:24374,FireFly_default,cached_powers_Q,7019,4586,,
ibp_xbox2l2m_rank0001,FireFly_scan,1,ok,5460580.742,11353,2,,,,9223372036854775643:171;9223372036854775783:11182,FireFly_default,cached_powers_Q,7019,4586,,
ibp_xbox2l2m_rank0001,FIRE7_Q_learned,1,ok,7071688.951,35303,3,2,,,18446744073709551521:3;18446744073709551533:17623;18446744073709551557:17677,FIRE7_native_64,cached_powers_Q,7019,4586,,
ibp_xbox2l2m_rank0001,Rare_scaling,1,ok,9671087.157,25200,2,,,,1152921504606846883:25198;1152921504606846869:2,Rare_native_60,cached_powers_Q,7019,4586,,
ibp_xbox2l2m_rank0001,Automatic,1,ok,2563527.818,15913,2,1,0,0,2305843009213693967:15910;2305843009213693973:3,Symbolica_default,cached_powers_Q,7019,4586,39.696,CuytLeePruned
ibp_xbox2l2m_rank0002,FireFly_default,1,ok,22332648.399,28925,2,,,,9223372036854775643:1;9223372036854775783:28924,FireFly_default,cached_powers_Q,7877,5810,,
ibp_xbox2l2m_rank0002,FireFly_scan,1,ok,10070981.222,18908,2,,,,9223372036854775643:177;9223372036854775783:18731,FireFly_default,cached_powers_Q,7877,5810,,
ibp_xbox2l2m_rank0002,FIRE7_Q_learned,1,ok,7862837.917,38366,3,2,,,18446744073709551521:3;18446744073709551533:19171;18446744073709551557:19192,FIRE7_native_64,cached_powers_Q,7877,5810,,
ibp_xbox2l2m_rank0002,Rare_scaling,1,ok,13521234.416,31615,2,,,,1152921504606846883:31613;1152921504606846869:2,Rare_native_60,cached_powers_Q,7877,5810,,
ibp_xbox2l2m_rank0002,Automatic,1,ok,3795622.763,21448,2,1,0,0,2305843009213693967:21445;2305843009213693973:3,Symbolica_default,cached_powers_Q,7877,5810,56.414,CuytLeePruned
ibp_xbox2l2m_rank0003,FireFly_default,1,ok,92504420.499,75118,3,,,,9223372036854775549:1;9223372036854775643:27972;9223372036854775783:47145,FireFly_default,cached_powers_Q,14045,9070,,
ibp_xbox2l2m_rank0003,FireFly_scan,1,ok,19553574.066,23581,2,,,,9223372036854775643:147;9223372036854775783:23434,FireFly_default,cached_powers_Q,14045,9070,,
ibp_xbox2l2m_rank0003,FIRE7_Q_learned,1,ok,20633137.485,64982,3,2,,,18446744073709551521:3;18446744073709551533:32460;18446744073709551557:32519,FIRE7_native_64,cached_powers_Q,14045,9070,,
ibp_xbox2l2m_rank0003,Rare_scaling,1,ok,32962775.643,46943,2,,,,1152921504606846883:46941;1152921504606846869:2,Rare_native_60,cached_powers_Q,14045,9070,,
ibp_xbox2l2m_rank0003,Automatic,1,ok,9086375.959,31651,2,1,0,0,2305843009213693967:31648;2305843009213693973:3,Symbolica_default,cached_powers_Q,14045,9070,72.782,CuytLeePruned
ibp_xbox2l2m_rank0004,FireFly_default,1,ok,1172013.679,6984,2,,,,9223372036854775643:1;9223372036854775783:6983,FireFly_default,cached_powers_Q,1631,1059,,
ibp_xbox2l2m_rank0004,FireFly_scan,1,ok,276084.025,2319,2,,,,9223372036854775643:135;9223372036854775783:2184,FireFly_default,cached_powers_Q,1631,1059,,
ibp_xbox2l2m_rank0004,FIRE7_Q_learned,1,ok,454335.290,10096,3,2,,,18446744073709551521:3;18446744073709551533:5038;18446744073709551557:5055,FIRE7_native_64,cached_powers_Q,1631,1059,,
ibp_xbox2l2m_rank0004,Rare_scaling,1,ok,512019.729,6315,2,,,,1152921504606846883:6313;1152921504606846869:2,Rare_native_60,cached_powers_Q,1631,1059,,
ibp_xbox2l2m_rank0004,Automatic,1,ok,111583.153,1862,2,1,0,0,2305843009213693967:1859;2305843009213693973:3,Symbolica_default,cached_powers_Q,1631,1059,6.080,BalancedZippelSeparated
