case,num_terms,den_terms,Automatic,BalancedZippelSeparated,FireFly_default,FireFly_scan,FIRE7_Q_learned
fire7_graph5_rank0001,26,14,57,51,94,187,151
fire7_graph5_rank0002,29,16,62,55,106,204,161
fire7_graph5_rank0003,24,14,54,48,90,181,130
fire7_graph5_rank0004,22,14,56,50,92,174,132
fire7_graph5_rank0005,20,12,48,43,70,156,115
fire7_graph5_rank0006,24,14,54,48,90,181,130
fire7_graph5_rank0007,19,12,51,46,80,157,122
fire7_graph5_rank0008,16,14,43,37,69,147,84
fire7_graph5_rank0009,16,14,43,37,69,147,84
fire7_graph5_rank0010,18,12,45,40,66,150,110
fire7_graph5_rank0011,16,12,45,40,62,142,110
fire7_graph5_rank0012,17,10,44,40,62,140,110
fire7_graph5_rank0013,13,6,34,34,50,115,80
fire7_graph5_rank0014,17,12,45,40,62,143,110
fire7_graph5_rank0015,16,14,43,37,69,140,84
fire7_graph5_rank0016,16,14,43,37,69,147,84
fire7_graph5_rank0017,16,12,45,40,62,142,110
fire7_graph5_rank0018,14,10,40,36,51,115,100
fire7_graph5_rank0019,14,10,40,36,51,115,100
fire7_graph5_rank0020,12,12,37,32,54,121,75
fire7_graph5_rank0021,13,10,42,38,54,121,102
fire7_graph5_rank0022,13,10,42,38,54,121,102
fire7_graph5_rank0023,14,10,40,36,51,126,100
fire7_graph5_rank0024,14,10,42,38,56,128,110
fire7_graph5_rank0025,12,10,37,33,59,112,76
fire7_graph5_rank0026,14,10,42,38,56,117,110
fire7_graph5_rank0027,13,10,44,40,59,123,112
fire7_graph5_rank0028,13,10,44,40,59,123,112
fire7_graph5_rank0029,17,10,44,40,62,140,110
fire7_graph5_rank0030,14,8,39,36,51,111,100
fire7_graph5_rank0031,12,10,35,31,49,110,72
fire7_graph5_rank0032,10,12,36,31,50,111,75
fire7_graph5_rank0033,14,10,40,36,51,126,100
fire7_graph5_rank0034,13,12,39,34,57,125,78
fire7_graph5_rank0035,9,10,36,32,52,95,76
fire7_graph5_rank0036,12,10,37,33,59,112,76
fire7_graph5_rank0037,6,12,32,27,47,68,75
fire7_graph5_rank0038,10,10,34,30,49,100,70
fire7_graph5_rank0039,10,10,38,34,43,111,100
fire7_graph5_rank0040,9,8,32,29,41,96,67
fire7_graph5_rank0041,9,8,32,29,41,89,67
fire7_graph5_rank0042,13,6,33,33,48,114,77
fire7_graph5_rank0043,14,10,42,38,56,128,110
fire7_graph5_rank0044,12,12,37,32,54,121,75
fire7_graph5_rank0045,12,6,31,31,44,103,74
fire7_graph5_rank0046,9,10,33,29,42,99,69
fire7_graph5_rank0047,14,5,42,42,60,142,112
fire7_graph5_rank0048,10,10,33,29,44,106,69
fire7_graph5_rank0049,12,6,31,31,44,110,74
fire7_graph5_rank0050,10,10,34,30,49,107,70
fire7_graph5_rank0051,9,8,32,29,41,96,67
fire7_graph5_rank0052,9,8,31,28,36,88,66
fire7_graph5_rank0053,10,8,31,28,39,95,66
fire7_graph5_rank0054,10,8,31,28,39,95,66
fire7_graph5_rank0055,12,6,31,31,44,110,74
fire7_graph5_rank0056,10,8,31,28,39,102,66
fire7_graph5_rank0057,12,10,35,31,49,110,72
fire7_graph5_rank0058,12,6,31,31,44,110,74
fire7_graph5_rank0059,9,10,34,30,46,100,70
fire7_graph5_rank0060,10,8,31,28,39,102,66
fire7_graph5_rank0061,10,5,32,32,46,104,73
fire7_graph5_rank0062,11,10,35,31,47,110,72
fire7_graph5_rank0063,10,8,31,28,39,102,66
fire7_graph5_rank0064,8,8,29,26,34,91,55
fire7_graph5_rank0065,10,8,31,28,39,102,66
fire7_graph5_rank0066,12,10,35,31,49,110,72
fire7_graph5_rank0067,9,8,31,28,39,94,66
fire7_graph5_rank0068,11,8,35,32,49,113,82
fire7_graph5_rank0069,9,6,31,29,41,86,67
fire7_graph5_rank0070,7,10,33,29,42,75,70
fire7_graph5_rank0071,11,8,35,32,41,107,82
fire7_graph5_rank0072,10,8,31,28,39,95,66
fire7_graph5_rank0073,11,5,30,30,38,99,71
fire7_graph5_rank0074,9,10,36,32,52,95,76
fire7_graph5_rank0075,11,8,35,32,45,113,82
fire7_graph5_rank0076,10,5,28,28,36,88,68
fire7_graph5_rank0077,8,8,29,26,34,91,55
fire7_graph5_rank0078,7,8,30,27,36,85,56
fire7_graph5_rank0079,7,8,30,27,36,78,56
fire7_graph5_rank0080,8,6,27,25,30,87,52
fire7_graph5_rank0081,7,6,28,26,32,74,53
fire7_graph5_rank0082,8,8,29,26,34,75,55
fire7_graph5_rank0083,8,8,29,26,34,84,55
fire7_graph5_rank0084,8,8,29,26,34,84,55
fire7_graph5_rank0085,8,5,29,29,36,91,70
fire7_graph5_rank0086,5,8,27,24,33,56,66
fire7_graph5_rank0087,7,6,28,26,32,74,53
fire7_graph5_rank0088,8,6,27,25,30,87,52
fire7_graph5_rank0089,10,12,36,31,50,111,75
fire7_graph5_rank0090,7,8,30,27,36,85,56
fire7_graph5_rank0091,12,5,31,31,44,107,74
fire7_graph5_rank0092,10,5,28,28,36,95,68
fire7_graph5_rank0093,10,5,30,30,38,99,71
fire7_graph5_rank0094,10,5,28,28,36,95,68
fire7_graph5_rank0095,8,10,32,28,40,89,69
fire7_graph5_rank0096,7,10,33,29,42,90,70
fire7_graph5_rank0097,8,8,29,26,34,91,55
fire7_graph5_rank0098,4,10,29,25,37,57,69
fire7_graph5_rank0099,7,10,33,29,42,90,70
fire7_graph5_rank0100,6,10,32,28,36,75,69
fire7_graph5_rank0101,9,6,30,30,36,93,74
fire7_graph5_rank0102,5,10,29,25,39,60,69
fire7_graph5_rank0103,8,6,30,28,31,89,72
fire7_graph5_rank0104,8,6,30,28,31,89,72
fire7_graph5_rank0105,8,10,32,28,40,89,69
fire7_graph5_rank0106,10,5,28,28,36,95,68
fire7_graph5_rank0107,8,6,30,28,31,89,72
fire7_graph5_rank0108,5,8,27,24,33,56,66
fire7_graph5_rank0109,8,8,29,26,34,91,55
fire7_graph5_rank0110,10,5,28,28,36,95,68
fire7_graph5_rank0111,10,5,28,28,36,88,68
fire7_graph5_rank0112,8,5,27,27,30,85,68
fire7_graph5_rank0113,8,4,27,27,30,82,68
fire7_graph5_rank0114,6,8,29,26,33,81,55
fire7_graph5_rank0115,5,10,29,25,39,60,69
fire7_graph5_rank0116,7,8,29,26,33,83,55
fire7_graph5_rank0117,9,10,34,30,46,100,70
fire7_graph5_rank0118,7,6,28,26,32,74,53
fire7_graph5_rank0119,8,6,31,29,38,79,67
fire7_graph5_rank0120,10,5,28,28,36,95,68
fire7_graph5_rank0121,6,6,26,24,30,77,50
fire7_graph5_rank0122,6,6,26,24,30,68,50
fire7_graph5_rank0123,7,8,29,26,33,83,55
fire7_graph5_rank0124,10,5,28,28,36,81,68
fire7_graph5_rank0125,6,6,26,24,30,77,50
fire7_graph5_rank0126,9,5,30,30,36,90,74
fire7_graph5_rank0127,9,5,28,28,34,88,68
fire7_graph5_rank0128,8,8,29,26,34,75,55
fire7_graph5_rank0129,8,5,27,27,30,85,68
fire7_graph5_rank0130,11,10,38,34,49,118,100
fire7_graph5_rank0131,6,8,29,26,34,82,56
fire7_graph5_rank0132,6,4,26,26,28,76,56
fire7_graph5_rank0133,8,5,29,29,36,91,70
fire7_graph5_rank0134,9,5,28,28,34,88,68
fire7_graph5_rank0135,8,6,27,25,30,87,52
fire7_graph5_rank0136,7,6,28,26,32,74,53
fire7_graph5_rank0137,8,6,27,25,30,71,52
fire7_graph5_rank0138,5,6,26,24,27,62,50
fire7_graph5_rank0139,10,5,36,36,41,115,100
fire7_graph5_rank0140,8,12,35,30,46,101,75
fire7_graph5_rank0141,6,6,25,23,26,67,49
fire7_graph5_rank0142,7,6,27,25,27,73,52
fire7_graph5_rank0143,9,8,33,30,43,101,82
fire7_graph5_rank0144,7,4,27,27,32,86,56
fire7_graph5_rank0145,7,6,28,26,32,81,53
fire7_graph5_rank0146,7,6,28,26,32,74,53
fire7_graph5_rank0147,5,6,26,24,27,62,50
fire7_graph5_rank0148,8,6,27,25,30,87,52
fire7_graph5_rank0149,5,12,32,27,45,65,75
fire7_graph5_rank0150,8,8,29,26,34,91,55
fire7_graph5_rank0151,8,6,31,31,38,96,76
fire7_graph5_rank0152,5,10,29,25,37,60,69
fire7_graph5_rank0153,6,6,27,25,31,78,51
fire7_graph5_rank0154,8,8,31,28,40,93,57
fire7_graph5_rank0155,6,8,29,26,30,77,55
fire7_graph5_rank0156,9,4,27,27,32,66,65
fire7_graph5_rank0157,6,5,26,26,30,75,68
fire7_graph5_rank0158,5,5,22,22,29,57,46
fire7_graph5_rank0159,8,8,33,30,35,94,82
fire7_graph5_rank0160,9,4,27,27,32,66,65
fire7_graph5_rank0161,4,8,26,23,31,52,55
fire7_graph5_rank0162,8,6,27,25,30,80,52
fire7_graph5_rank0163,3,6,23,21,24,44,49
fire7_graph5_rank0164,7,6,31,31,36,95,76
fire7_graph5_rank0165,5,10,29,25,39,60,69
fire7_graph5_rank0166,9,4,27,27,32,84,65
fire7_graph5_rank0167,9,6,30,28,38,96,72
fire7_graph5_rank0168,6,6,25,23,26,67,49
fire7_graph5_rank0169,8,6,29,29,33,90,74
fire7_graph5_rank0170,8,10,32,28,40,96,69
fire7_graph5_rank0171,4,6,24,22,26,48,52
fire7_graph5_rank0172,6,3,27,27,31,63,56
fire7_graph5_rank0173,6,8,28,25,31,81,55
fire7_graph5_rank0174,4,6,26,24,26,70,50
fire7_graph5_rank0175,8,4,25,25,28,51,54
fire7_graph5_rank0176,8,6,30,28,31,89,72
fire7_graph5_rank0177,6,6,25,23,26,76,49
fire7_graph5_rank0178,8,6,29,27,34,82,54
fire7_graph5_rank0179,5,8,29,26,32,75,56
fire7_graph5_rank0180,8,8,33,30,35,94,82
fire7_graph5_rank0181,8,8,33,30,35,94,82
fire7_graph5_rank0182,8,8,33,30,35,94,82
fire7_graph5_rank0183,7,4,25,25,27,80,54
fire7_graph5_rank0184,6,3,26,26,28,47,56
fire7_graph5_rank0185,4,4,20,20,23,49,36
fire7_graph5_rank0186,8,4,25,25,28,73,54
fire7_graph5_rank0187,7,4,25,25,27,80,54
fire7_graph5_rank0188,7,4,25,25,27,80,54
fire7_graph5_rank0189,8,6,29,27,34,89,54
fire7_graph5_rank0190,5,8,28,25,31,78,55
fire7_graph5_rank0191,6,4,26,26,28,76,56
fire7_graph5_rank0192,4,6,24,22,26,48,52
fire7_graph5_rank0193,4,6,24,22,26,48,52
fire7_graph5_rank0194,4,6,24,22,26,48,52
fire7_graph5_rank0195,4,6,24,22,26,48,52
fire7_graph5_rank0196,6,6,26,24,30,77,50
fire7_graph5_rank0197,4,6,26,24,26,70,50
fire7_graph5_rank0198,6,6,26,24,30,77,50
fire7_graph5_rank0199,5,8,27,24,33,56,66
fire7_graph5_rank0200,6,6,25,23,26,76,49
fire7_graph5_rank0201,7,4,32,32,35,97,82
fire7_graph5_rank0202,4,10,29,25,35,57,69
fire7_graph5_rank0203,6,8,28,25,31,72,55
fire7_graph5_rank0204,6,4,23,22,23,72,46
fire7_graph5_rank0205,8,8,29,26,34,91,55
fire7_graph5_rank0206,6,6,25,23,26,76,49
fire7_graph5_rank0207,6,6,25,23,26,67,49
fire7_graph5_rank0208,6,8,29,26,34,73,56
fire7_graph5_rank0209,4,6,24,22,26,48,52
fire7_graph5_rank0210,4,6,25,23,26,65,50
fire7_graph5_rank0211,6,6,26,24,30,77,50
fire7_graph5_rank0212,6,6,26,24,30,77,50
fire7_graph5_rank0213,8,4,25,25,28,51,54
fire7_graph5_rank0214,4,6,24,22,26,48,52
fire7_graph5_rank0215,6,8,28,25,31,72,55
fire7_graph5_rank0216,5,8,29,26,32,67,56
fire7_graph5_rank0217,5,8,29,26,32,67,56
fire7_graph5_rank0218,7,4,25,25,24,66,54
fire7_graph5_rank0219,8,4,25,25,28,73,54
fire7_graph5_rank0220,3,8,26,23,29,49,55
fire7_graph5_rank0221,8,4,25,25,28,73,54
fire7_graph5_rank0222,8,4,25,25,28,73,54
fire7_graph5_rank0223,8,4,25,25,28,73,54
fire7_graph5_rank0224,6,6,25,23,26,67,49
fire7_graph5_rank0225,6,4,24,24,23,48,54
fire7_graph5_rank0226,5,4,24,23,24,58,47
fire7_graph5_rank0227,7,4,25,25,24,66,54
fire7_graph5_rank0228,6,4,27,27,26,72,56
fire7_graph5_rank0229,6,4,27,27,26,72,56
fire7_graph5_rank0230,6,6,25,23,26,76,49
fire7_graph5_rank0231,5,6,26,24,27,70,50
fire7_graph5_rank0232,7,4,27,27,32,86,56
fire7_graph5_rank0233,8,4,25,25,28,51,54
fire7_graph5_rank0234,6,6,25,23,26,76,49
fire7_graph5_rank0235,4,6,24,22,26,48,52
fire7_graph5_rank0236,6,3,30,30,31,84,82
fire7_graph5_rank0237,5,6,26,24,27,70,50
fire7_graph5_rank0238,8,4,25,25,28,51,54
