case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001,BalancedZippelSeparated,1,ok,6079.061,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.521,BalancedZippelSeparated
fire7_graph5_rank0001,FireFly_default,1,ok,3578.142,94,2,,,,9223372036854775643:1;9223372036854775783:93,FireFly_default,cached_powers_Q,26,14,,
fire7_graph5_rank0001,FireFly_scan,1,ok,8467.089,187,2,,,,9223372036854775643:43;9223372036854775783:144,FireFly_default,cached_powers_Q,26,14,,
fire7_graph5_rank0001,FIRE7_Q_learned,1,ok,6956.993,151,3,2,,,18446744073709551521:3;18446744073709551533:63;18446744073709551557:85,FIRE7_native_64,cached_powers_Q,26,14,,
fire7_graph5_rank0001,Automatic,1,ok,453.432,57,2,1,0,0,2305843009213693967:54;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.712,BalancedZippel
fire7_graph5_rank0002,BalancedZippelSeparated,1,ok,405.972,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.661,BalancedZippelSeparated
fire7_graph5_rank0002,FireFly_default,1,ok,4173.624,106,2,,,,9223372036854775643:1;9223372036854775783:105,FireFly_default,cached_powers_Q,29,16,,
fire7_graph5_rank0002,FireFly_scan,1,ok,8466.299,204,2,,,,9223372036854775643:47;9223372036854775783:157,FireFly_default,cached_powers_Q,29,16,,
fire7_graph5_rank0002,FIRE7_Q_learned,1,ok,2673.059,161,3,2,,,18446744073709551521:3;18446744073709551533:69;18446744073709551557:89,FIRE7_native_64,cached_powers_Q,29,16,,
fire7_graph5_rank0002,Automatic,1,ok,338.911,62,2,1,0,0,2305843009213693967:59;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.515,BalancedZippel
fire7_graph5_rank0003,BalancedZippelSeparated,1,ok,449.882,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.330,BalancedZippelSeparated
fire7_graph5_rank0003,FireFly_default,1,ok,3383.012,90,2,,,,9223372036854775643:1;9223372036854775783:89,FireFly_default,cached_powers_Q,24,14,,
fire7_graph5_rank0003,FireFly_scan,1,ok,7544.746,181,2,,,,9223372036854775643:41;9223372036854775783:140,FireFly_default,cached_powers_Q,24,14,,
fire7_graph5_rank0003,FIRE7_Q_learned,1,ok,2082.757,130,3,2,,,18446744073709551521:3;18446744073709551533:60;18446744073709551557:67,FIRE7_native_64,cached_powers_Q,24,14,,
fire7_graph5_rank0003,Automatic,1,ok,429.861,54,2,1,0,0,2305843009213693967:51;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.367,BalancedZippel
fire7_graph5_rank0004,BalancedZippelSeparated,1,ok,359.831,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.624,BalancedZippelSeparated
fire7_graph5_rank0004,FireFly_default,1,ok,5086.938,92,2,,,,9223372036854775643:1;9223372036854775783:91,FireFly_default,cached_powers_Q,22,14,,
