case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001,Automatic,1,ok,487.433,57,2,1,0,0,2305843009213693967:54;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.583,BalancedZippel
fire7_graph5_rank0002,Automatic,1,ok,348.911,62,2,1,0,0,2305843009213693967:59;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.389,BalancedZippel
fire7_graph5_rank0003,Automatic,1,ok,632.103,54,2,1,0,0,2305843009213693967:51;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.505,BalancedZippel
fire7_graph5_rank0004,Automatic,1,ok,579.293,56,2,1,0,0,2305843009213693967:53;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.519,BalancedZippel
fire7_graph5_rank0005,Automatic,1,ok,277.791,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.552,BalancedZippel
fire7_graph5_rank0006,Automatic,1,ok,303.281,54,2,1,0,0,2305843009213693967:51;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.335,BalancedZippel
fire7_graph5_rank0007,Automatic,1,ok,268.761,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.343,BalancedZippel
fire7_graph5_rank0008,Automatic,1,ok,248.311,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.340,BalancedZippel
fire7_graph5_rank0009,Automatic,1,ok,288.722,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.607,BalancedZippel
fire7_graph5_rank0010,Automatic,1,ok,356.132,45,2,1,0,0,2305843009213693967:42;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.525,BalancedZippel
fire7_graph5_rank0011,Automatic,1,ok,439.562,45,2,1,0,0,2305843009213693967:42;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.443,BalancedZippel
fire7_graph5_rank0012,Automatic,1,ok,246.171,44,2,1,0,0,2305843009213693967:41;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.269,BalancedZippel
fire7_graph5_rank0013,Automatic,1,ok,204.961,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.332,BalancedZippel
fire7_graph5_rank0014,Automatic,1,ok,409.652,45,2,1,0,0,2305843009213693967:42;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.296,BalancedZippel
