case,baseline,current,change,firefly_best
fire7_nb0_rank0001,1732,1731,-1,8180
fire7_nb0_rank0002,1934,1933,-1,8155
fire7_nb0_rank0003,1452,1451,-1,5285
fire7_nb0_rank0004,1277,1276,-1,5264
fire7_nb0_rank0005,1408,1407,-1,5203
fire7_nb0_rank0006,1355,1354,-1,4833
fire7_nb0_rank0007,1165,1164,-1,4092
fire7_nb0_rank0008,1165,1164,-1,4087
fire7_nb0_rank0009,1151,1150,-1,3168
fire7_nb0_rank0010,1324,1323,-1,4812
fire7_nb0_rank0011,1338,1337,-1,4769
fire7_nb0_rank0012,879,878,-1,2647
fire7_nb0_rank0013,1109,1108,-1,3665
fire7_nb0_rank0014,964,963,-1,3311
fire7_nb0_rank0015,979,978,-1,3726
fire7_nb0_rank0016,1103,1102,-1,3756
fire7_nb0_rank0017,1142,1141,-1,4003
fire7_nb0_rank0018,1211,1210,-1,3909
fire7_nb0_rank0019,1090,1089,-1,3800
fire7_nb0_rank0020,879,878,-1,3228
fire7_nb0_rank0021,1028,1027,-1,1197
fire7_nb0_rank0022,1067,1066,-1,3573
fire7_nb0_rank0023,946,945,-1,2414
fire7_nb0_rank0024,986,985,-1,3252
fire7_nb0_rank0025,808,807,-1,2270
fire7_nb0_rank0026,1030,1029,-1,3166
fire7_nb0_rank0027,826,825,-1,2690
fire7_nb0_rank0028,869,868,-1,3143
fire7_nb0_rank0029,765,764,-1,2113
fire7_nb0_rank0030,1018,1017,-1,3220
fire7_nb0_rank0031,1001,1000,-1,3014
fire7_nb0_rank0032,840,839,-1,2104
fire7_nb0_rank0033,761,760,-1,1093
fire7_nb0_rank0034,901,900,-1,2755
fire7_nb0_rank0035,869,868,-1,2721
fire7_nb0_rank0036,868,867,-1,2676
fire7_nb0_rank0037,799,798,-1,2325
fire7_nb0_rank0038,1005,1004,-1,3067
fire7_nb0_rank0039,741,740,-1,1740
fire7_nb0_rank0040,840,839,-1,2632
fire7_nb0_rank0041,621,620,-1,2049
fire7_nb0_rank0042,896,895,-1,2589
fire7_nb0_rank0043,967,966,-1,2786
fire7_nb0_rank0044,945,944,-1,2614
fire7_nb0_rank0045,810,809,-1,2688
fire7_nb0_rank0046,901,900,-1,2723
fire7_nb0_rank0047,836,835,-1,2880
fire7_nb0_rank0048,727,726,-1,1419
fire7_nb0_rank0049,727,726,-1,1419
fire7_nb0_rank0050,678,677,-1,1844
fire7_nb0_rank0051,874,873,-1,2659
fire7_nb0_rank0052,760,759,-1,1610
fire7_nb0_rank0053,783,782,-1,2271
fire7_nb0_rank0054,818,817,-1,2676
fire7_nb0_rank0055,627,626,-1,1857
fire7_nb0_rank0056,599,598,-1,2341
fire7_nb0_rank0057,709,708,-1,1799
fire7_nb0_rank0058,724,723,-1,2096
fire7_nb0_rank0059,751,750,-1,1963
fire7_nb0_rank0060,730,729,-1,2126
fire7_nb0_rank0061,697,696,-1,1591
fire7_nb0_rank0062,697,696,-1,1591
fire7_nb0_rank0063,825,824,-1,2314
fire7_nb0_rank0064,817,816,-1,2349
fire7_nb0_rank0065,599,598,-1,2341
fire7_nb0_rank0066,639,638,-1,1834
fire7_nb0_rank0067,628,627,-1,1824
fire7_nb0_rank0068,616,615,-1,1352
fire7_nb0_rank0069,721,720,-1,2204
fire7_nb0_rank0070,651,650,-1,909
fire7_nb0_rank0071,779,778,-1,2261
fire7_nb0_rank0072,843,842,-1,2176
fire7_nb0_rank0073,588,587,-1,1777
fire7_nb0_rank0074,573,572,-1,1758
fire7_nb0_rank0075,747,746,-1,1393
fire7_nb0_rank0076,641,640,-1,1806
fire7_nb0_rank0077,923,922,-1,2313
