case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,53341.273,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,14.092,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,64823.871,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,10.897,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,36198.014,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,15.176,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,32762.737,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,11.998,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,34303.255,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,11.537,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,34268.305,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,12.660,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,27864.662,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,11.203,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,30823.597,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,8.691,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,27526.241,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,11.184,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,32814.877,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,8.272,BalancedZippelSeparated
