case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,52995.691,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,13.126,BalancedZippelSeparated
fire7_nb0_rank0001,Automatic,2,ok,52400.137,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,9.775,BalancedZippelSeparated
fire7_nb0_rank0001,Automatic,3,ok,52575.118,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,11.323,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,63204.182,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,12.224,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,2,ok,65110.872,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,10.818,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,3,ok,61381.653,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,12.698,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,36936.568,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,12.264,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,2,ok,36396.966,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,12.339,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,3,ok,36061.614,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,12.014,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,32289.315,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,14.008,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,2,ok,32062.274,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,11.696,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,3,ok,32374.915,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,12.101,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,32113.044,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,12.470,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,2,ok,33054.618,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,15.188,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,3,ok,34094.383,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,11.468,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,32500.915,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,10.780,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,2,ok,33066.199,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,11.659,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,3,ok,33252.769,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,11.483,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,26131.493,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,6.707,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,2,ok,29186.489,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,7.344,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,3,ok,27189.118,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,11.239,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,31525.680,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,8.300,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,2,ok,31857.863,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,7.719,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,3,ok,29670.181,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,8.511,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,26057.232,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,11.231,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,2,ok,26857.087,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,11.912,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,3,ok,26515.896,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,6.717,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,32880.357,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,7.890,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,2,ok,33556.851,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,7.394,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,3,ok,32400.775,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,7.900,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,1,ok,33272.050,1337,2,1,0,0,2305843009213693967:1334;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,7.841,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,2,ok,31811.732,1337,2,1,0,0,2305843009213693967:1334;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,5.417,BalancedZippelSeparated
