case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_tth2l_b25_rank0001,FireFly_scan,1,ok,10946586.408,16107,52,,,,9223372036854773867:1;9223372036854773899:87;9223372036854773953:134;9223372036854773977:149;9223372036854773999:159;9223372036854774053:166;9223372036854774173:174;9223372036854774179:182;9223372036854774199:189;9223372036854774233:196;9223372036854774247:203;9223372036854774257:208;9223372036854774277:213;9223372036854774307:217;9223372036854774319:224;9223372036854774341:224;9223372036854774413:365;9223372036854774451:365;9223372036854774499:365;9223372036854774509:365;9223372036854774511:365;9223372036854774559:365;9223372036854774571:365;9223372036854774587:365;9223372036854774629:365;9223372036854774679:365;9223372036854774713:365;9223372036854774739:365;9223372036854774797:365;9223372036854774893:365;9223372036854774917:365;9223372036854774937:365;9223372036854774959:365;9223372036854775057:365;9223372036854775073:365;9223372036854775097:365;9223372036854775139:365;9223372036854775159:365;9223372036854775181:365;9223372036854775259:365;9223372036854775279:365;9223372036854775291:365;9223372036854775337:365;9223372036854775351:365;9223372036854775399:365;9223372036854775417:365;9223372036854775421:365;9223372036854775433:365;9223372036854775507:365;9223372036854775549:365;9223372036854775643:399;9223372036854775783:572,FireFly_default,cached_powers_Q,297,272,,
ibp_tth2l_b25_rank0001,FireFly_default,1,ok,20277230.972,23564,52,,,,9223372036854773867:1;9223372036854773899:150;9223372036854773953:219;9223372036854773977:253;9223372036854773999:275;9223372036854774053:293;9223372036854774173:297;9223372036854774179:297;9223372036854774199:297;9223372036854774233:297;9223372036854774247:297;9223372036854774257:297;9223372036854774277:297;9223372036854774307:297;9223372036854774319:297;9223372036854774341:297;9223372036854774413:297;9223372036854774451:299;9223372036854774499:429;9223372036854774509:469;9223372036854774511:505;9223372036854774559:529;9223372036854774571:537;9223372036854774587:545;9223372036854774629:553;9223372036854774679:553;9223372036854774713:553;9223372036854774739:553;9223372036854774797:561;9223372036854774893:561;9223372036854774917:561;9223372036854774937:561;9223372036854774959:561;9223372036854775057:561;9223372036854775073:561;9223372036854775097:561;9223372036854775139:561;9223372036854775159:561;9223372036854775181:561;9223372036854775259:561;9223372036854775279:561;9223372036854775291:561;9223372036854775337:561;9223372036854775351:561;9223372036854775399:561;9223372036854775417:561;9223372036854775421:561;9223372036854775433:561;9223372036854775507:561;9223372036854775549:561;9223372036854775643:568;9223372036854775783:671,FireFly_default,cached_powers_Q,297,272,,
ibp_tth2l_b25_rank0001,FIRE7_Q_learned,1,exit_-6,,,,,,,,FIRE7_native_64,cached_powers_Q,297,272,,
ibp_tth2l_b25_rank0001,Automatic,1,ok,4820535.486,22771,53,52,51,0,2305843009213693967:578;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:567;2305843009213694149:567;2305843009213694173:567;2305843009213694207:567;2305843009213694257:567;2305843009213694317:567;2305843009213694323:567;2305843009213694381:567;2305843009213694411:567;2305843009213694429:567;2305843009213694443:567;2305843009213694491:567;2305843009213694497:567;2305843009213694569:567;2305843009213694597:559;2305843009213694683:559;2305843009213694791:551;2305843009213694837:551;2305843009213694851:543;2305843009213694887:535;2305843009213694917:533;2305843009213694963:527;2305843009213695001:519;2305843009213695011:511;2305843009213695023:503;2305843009213695113:495;2305843009213695187:485;2305843009213695191:471;2305843009213695209:451;2305843009213695257:376;2305843009213695349:303;2305843009213695361:303;2305843009213695397:297;2305843009213695431:294;2305843009213695437:285;2305843009213695509:285;2305843009213695529:276;2305843009213695547:267;2305843009213695551:264;2305843009213695563:257;2305843009213695577:246;2305843009213695673:237;2305843009213695701:225;2305843009213695793:213;2305843009213695803:204;2305843009213695829:193;2305843009213695869:172;2305843009213695871:61;2305843009213695901:3,Symbolica_default,cached_powers_Q,297,272,9.317,BalancedZippel
ibp_tth2l_b25_rank0002,FireFly_scan,1,ok,2818445.226,7476,43,,,,9223372036854774233:1;9223372036854774247:52;9223372036854774257:64;9223372036854774277:72;9223372036854774307:76;9223372036854774319:80;9223372036854774341:84;9223372036854774413:88;9223372036854774451:92;9223372036854774499:96;9223372036854774509:100;9223372036854774511:100;9223372036854774559:104;9223372036854774571:210;9223372036854774587:210;9223372036854774629:210;9223372036854774679:210;9223372036854774713:210;9223372036854774739:210;9223372036854774797:210;9223372036854774893:210;9223372036854774917:210;9223372036854774937:210;9223372036854774959:210;9223372036854775057:210;9223372036854775073:210;9223372036854775097:210;9223372036854775139:210;9223372036854775159:210;9223372036854775181:210;9223372036854775259:210;9223372036854775279:210;9223372036854775291:210;9223372036854775337:210;9223372036854775351:210;9223372036854775399:210;9223372036854775417:210;9223372036854775421:210;9223372036854775433:210;9223372036854775507:210;9223372036854775549:210;9223372036854775643:232;9223372036854775783:355,FireFly_default,cached_powers_Q,156,135,,
ibp_tth2l_b25_rank0002,FireFly_default,1,ok,5726270.947,10112,43,,,,9223372036854774233:1;9223372036854774247:100;9223372036854774257:125;9223372036854774277:141;9223372036854774307:155;9223372036854774319:156;9223372036854774341:156;9223372036854774413:156;9223372036854774451:156;9223372036854774499:156;9223372036854774509:156;9223372036854774511:156;9223372036854774559:156;9223372036854774571:156;9223372036854774587:210;9223372036854774629:243;9223372036854774679:261;9223372036854774713:271;9223372036854774739:276;9223372036854774797:281;9223372036854774893:281;9223372036854774917:281;9223372036854774937:286;9223372036854774959:286;9223372036854775057:286;9223372036854775073:286;9223372036854775097:286;9223372036854775139:286;9223372036854775159:286;9223372036854775181:286;9223372036854775259:286;9223372036854775279:286;9223372036854775291:286;9223372036854775337:286;9223372036854775351:286;9223372036854775399:286;9223372036854775417:286;9223372036854775421:286;9223372036854775433:286;9223372036854775507:286;9223372036854775549:286;9223372036854775643:290;9223372036854775783:358,FireFly_default,cached_powers_Q,156,135,,
ibp_tth2l_b25_rank0002,FIRE7_Q_learned,1,exit_-6,,,,,,,,FIRE7_native_64,cached_powers_Q,156,135,,
ibp_tth2l_b25_rank0002,Automatic,1,ok,1849260.885,9960,44,43,42,0,2305843009213693967:300;2305843009213693973:292;2305843009213694009:292;2305843009213694017:292;2305843009213694087:292;2305843009213694149:292;2305843009213694173:292;2305843009213694207:292;2305843009213694257:292;2305843009213694317:292;2305843009213694323:292;2305843009213694381:292;2305843009213694411:292;2305843009213694429:292;2305843009213694443:292;2305843009213694491:292;2305843009213694497:292;2305843009213694569:287;2305843009213694597:287;2305843009213694683:282;2305843009213694791:278;2305843009213694837:277;2305843009213694851:272;2305843009213694887:267;2305843009213694917:262;2305843009213694963:252;2305843009213695001:247;2305843009213695011:235;2305843009213695023:192;2305843009213695113:162;2305843009213695187:162;2305843009213695191:162;2305843009213695209:156;2305843009213695257:150;2305843009213695349:150;2305843009213695361:141;2305843009213695397:135;2305843009213695431:128;2305843009213695437:120;2305843009213695509:114;2305843009213695529:108;2305843009213695547:93;2305843009213695551:66;2305843009213695563:3,Symbolica_default,cached_powers_Q,156,135,5.870,BalancedZippel
ibp_tth2l_b25_rank0003,FireFly_scan,1,ok,294046.321,2033,21,,,,9223372036854774937:1;9223372036854774959:35;9223372036854775057:40;9223372036854775073:44;9223372036854775097:106;9223372036854775139:106;9223372036854775159:106;9223372036854775181:106;9223372036854775259:106;9223372036854775279:106;9223372036854775291:106;9223372036854775337:106;9223372036854775351:106;9223372036854775399:106;9223372036854775417:106;9223372036854775421:106;9223372036854775433:106;9223372036854775507:106;9223372036854775549:106;9223372036854775643:126;9223372036854775783:197,FireFly_default,cached_powers_Q,65,70,,
ibp_tth2l_b25_rank0003,FireFly_default,1,ok,523258.330,2414,22,,,,9223372036854774917:1;9223372036854774937:39;9223372036854774959:54;9223372036854775057:65;9223372036854775073:65;9223372036854775097:89;9223372036854775139:113;9223372036854775159:125;9223372036854775181:125;9223372036854775259:130;9223372036854775279:130;9223372036854775291:130;9223372036854775337:130;9223372036854775351:130;9223372036854775399:130;9223372036854775417:130;9223372036854775421:130;9223372036854775433:130;9223372036854775507:130;9223372036854775549:130;9223372036854775643:134;9223372036854775783:174,FireFly_default,cached_powers_Q,65,70,,
