case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_tth2l_b25_rank0001,FireFly_default,1,prime_limit,7419789.734,18030,33,,,,9223372036854774509:121;9223372036854774511:505;9223372036854774559:529;9223372036854774571:537;9223372036854774587:545;9223372036854774629:553;9223372036854774679:553;9223372036854774713:553;9223372036854774739:553;9223372036854774797:561;9223372036854774893:561;9223372036854774917:561;9223372036854774937:561;9223372036854774959:561;9223372036854775057:561;9223372036854775073:561;9223372036854775097:561;9223372036854775139:561;9223372036854775159:561;9223372036854775181:561;9223372036854775259:561;9223372036854775279:561;9223372036854775291:561;9223372036854775337:561;9223372036854775351:561;9223372036854775399:561;9223372036854775417:561;9223372036854775421:561;9223372036854775433:561;9223372036854775507:561;9223372036854775549:561;9223372036854775643:568;9223372036854775783:671,FireFly_default,cached_powers_Q,297,272,,
ibp_tth2l_b25_rank0001,FireFly_scan,1,prime_limit,3415008.315,12458,36,,,,9223372036854774413:134;9223372036854774451:134;9223372036854774499:134;9223372036854774509:135;9223372036854774511:365;9223372036854774559:365;9223372036854774571:365;9223372036854774587:365;9223372036854774629:365;9223372036854774679:365;9223372036854774713:365;9223372036854774739:365;9223372036854774797:365;9223372036854774893:365;9223372036854774917:365;9223372036854774937:365;9223372036854774959:365;9223372036854775057:365;9223372036854775073:365;9223372036854775097:365;9223372036854775139:365;9223372036854775159:365;9223372036854775181:365;9223372036854775259:365;9223372036854775279:365;9223372036854775291:365;9223372036854775337:365;9223372036854775351:365;9223372036854775399:365;9223372036854775417:365;9223372036854775421:365;9223372036854775433:365;9223372036854775507:365;9223372036854775549:365;9223372036854775643:399;9223372036854775783:572,FireFly_default,cached_powers_Q,297,272,,
ibp_tth2l_b25_rank0001,FIRE7_Q_learned,1,prime_limit,676829.896,20843,32,32,,,18446744073709550129:649;18446744073709550141:649;18446744073709550147:649;18446744073709550237:649;18446744073709550293:649;18446744073709550341:649;18446744073709550381:649;18446744073709550537:649;18446744073709550539:649;18446744073709550591:649;18446744073709550593:649;18446744073709550671:649;18446744073709550681:649;18446744073709550717:649;18446744073709550719:649;18446744073709550771:649;18446744073709550773:649;18446744073709550791:649;18446744073709550873:649;18446744073709551113:649;18446744073709551163:649;18446744073709551191:649;18446744073709551253:649;18446744073709551263:649;18446744073709551293:649;18446744073709551337:649;18446744073709551359:649;18446744073709551427:649;18446744073709551437:649;18446744073709551521:649;18446744073709551533:649;18446744073709551557:724,FIRE7_native_64,cached_powers_Q,297,272,,
ibp_tth2l_b25_rank0001,Rare_scaling,1,prime_limit,137400.854,9829,16,,,,1152921504606846883:679;1152921504606846869:610;1152921504606846803:610;1152921504606846797:610;1152921504606846719:610;1152921504606846697:610;1152921504606846607:610;1152921504606846581:610;1152921504606846577:610;1152921504606846523:610;1152921504606846419:610;1152921504606846397:610;1152921504606846347:610;1152921504606846307:610;1152921504606846281:610;1152921504606846269:610,Rare_native_60,cached_powers_Q,297,272,,
ibp_tth2l_b25_rank0001,Automatic,1,PrimeLimit,1990126.368,17559,32,,,,2305843009213693967:578;2305843009213693973:567;2305843009213694009:567;2305843009213694017:567;2305843009213694087:567;2305843009213694149:567;2305843009213694173:567;2305843009213694207:567;2305843009213694257:567;2305843009213694317:567;2305843009213694323:567;2305843009213694381:567;2305843009213694411:567;2305843009213694429:567;2305843009213694443:567;2305843009213694491:567;2305843009213694497:567;2305843009213694569:567;2305843009213694597:559;2305843009213694683:559;2305843009213694791:551;2305843009213694837:551;2305843009213694851:543;2305843009213694887:535;2305843009213694917:533;2305843009213694963:527;2305843009213695001:519;2305843009213695011:511;2305843009213695023:503;2305843009213695113:495;2305843009213695187:485;2305843009213695191:471,Symbolica_default,cached_powers_Q,297,272,8.848,
ibp_tth2l_b25_rank0002,FireFly_default,1,prime_limit,3742761.546,8655,33,,,,9223372036854774509:1;9223372036854774511:156;9223372036854774559:156;9223372036854774571:156;9223372036854774587:210;9223372036854774629:243;9223372036854774679:261;9223372036854774713:271;9223372036854774739:276;9223372036854774797:281;9223372036854774893:281;9223372036854774917:281;9223372036854774937:286;9223372036854774959:286;9223372036854775057:286;9223372036854775073:286;9223372036854775097:286;9223372036854775139:286;9223372036854775159:286;9223372036854775181:286;9223372036854775259:286;9223372036854775279:286;9223372036854775291:286;9223372036854775337:286;9223372036854775351:286;9223372036854775399:286;9223372036854775417:286;9223372036854775421:286;9223372036854775433:286;9223372036854775507:286;9223372036854775549:286;9223372036854775643:290;9223372036854775783:358,FireFly_default,cached_powers_Q,156,135,,
ibp_tth2l_b25_rank0002,FireFly_scan,1,prime_limit,2001190.200,6672,33,,,,9223372036854774509:1;9223372036854774511:100;9223372036854774559:104;9223372036854774571:210;9223372036854774587:210;9223372036854774629:210;9223372036854774679:210;9223372036854774713:210;9223372036854774739:210;9223372036854774797:210;9223372036854774893:210;9223372036854774917:210;9223372036854774937:210;9223372036854774959:210;9223372036854775057:210;9223372036854775073:210;9223372036854775097:210;9223372036854775139:210;9223372036854775159:210;9223372036854775181:210;9223372036854775259:210;9223372036854775279:210;9223372036854775291:210;9223372036854775337:210;9223372036854775351:210;9223372036854775399:210;9223372036854775417:210;9223372036854775421:210;9223372036854775433:210;9223372036854775507:210;9223372036854775549:210;9223372036854775643:232;9223372036854775783:355,FireFly_default,cached_powers_Q,156,135,,
ibp_tth2l_b25_rank0002,FIRE7_Q_learned,1,prime_limit,707198.984,11343,32,32,,,18446744073709550129:354;18446744073709550141:354;18446744073709550147:354;18446744073709550237:354;18446744073709550293:354;18446744073709550341:354;18446744073709550381:354;18446744073709550537:354;18446744073709550539:354;18446744073709550591:354;18446744073709550593:354;18446744073709550671:354;18446744073709550681:354;18446744073709550717:354;18446744073709550719:354;18446744073709550771:354;18446744073709550773:354;18446744073709550791:354;18446744073709550873:354;18446744073709551113:354;18446744073709551163:354;18446744073709551191:354;18446744073709551253:354;18446744073709551263:354;18446744073709551293:354;18446744073709551337:354;18446744073709551359:354;18446744073709551427:354;18446744073709551437:354;18446744073709551521:354;18446744073709551533:354;18446744073709551557:369,FIRE7_native_64,cached_powers_Q,156,135,,
ibp_tth2l_b25_rank0002,Rare_scaling,1,prime_limit,62227.616,5207,16,,,,1152921504606846883:377;1152921504606846869:322;1152921504606846803:322;1152921504606846797:322;1152921504606846719:322;1152921504606846697:322;1152921504606846607:322;1152921504606846581:322;1152921504606846577:322;1152921504606846523:322;1152921504606846419:322;1152921504606846397:322;1152921504606846347:322;1152921504606846307:322;1152921504606846281:322;1152921504606846269:322,Rare_native_60,cached_powers_Q,156,135,,
ibp_tth2l_b25_rank0002,Automatic,1,PrimeLimit,1239082.876,8596,32,,,,2305843009213693967:300;2305843009213693973:292;2305843009213694009:292;2305843009213694017:292;2305843009213694087:292;2305843009213694149:292;2305843009213694173:292;2305843009213694207:292;2305843009213694257:292;2305843009213694317:292;2305843009213694323:292;2305843009213694381:292;2305843009213694411:292;2305843009213694429:292;2305843009213694443:292;2305843009213694491:292;2305843009213694497:292;2305843009213694569:287;2305843009213694597:287;2305843009213694683:282;2305843009213694791:278;2305843009213694837:277;2305843009213694851:272;2305843009213694887:267;2305843009213694917:262;2305843009213694963:252;2305843009213695001:247;2305843009213695011:235;2305843009213695023:192;2305843009213695113:162;2305843009213695187:162;2305843009213695191:162,Symbolica_default,cached_powers_Q,156,135,4.576,
