case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms
paper_eq3,BalancedZippel,1,0,87.860,21,0,1,3,0,2,3
paper_eq3,CuytLee,1,0,45.700,20,0,1,1,2,2,3
paper_eq3,CuytLee,2,0,39.740,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,2,0,32.009,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,3,0,32.480,21,0,1,3,0,2,3
paper_eq3,CuytLee,3,0,38.080,20,0,1,1,2,2,3
paper_eq3,CuytLee,4,0,38.290,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,4,0,32.100,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,5,0,32.370,21,0,1,3,0,2,3
paper_eq3,CuytLee,5,0,37.590,20,0,1,1,2,2,3
paper_eq3,CuytLee,6,0,35.470,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,6,0,31.890,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,7,0,31.710,21,0,1,3,0,2,3
paper_eq3,CuytLee,7,0,36.300,20,0,1,1,2,2,3
paper_eq3,CuytLee,8,0,35.520,20,0,1,1,2,2,3
paper_eq3,BalancedZippel,8,0,43.950,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,9,0,31.560,21,0,1,3,0,2,3
paper_eq3,CuytLee,9,0,36.840,20,0,1,1,2,2,3
firefly_shift,BalancedZippel,1,0,34.780,21,0,1,3,0,2,3
firefly_shift,CuytLee,1,0,41.870,20,1,1,1,2,2,3
firefly_shift,CuytLee,2,0,40.861,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,2,0,34.681,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,3,0,34.080,21,0,1,3,0,2,3
firefly_shift,CuytLee,3,0,41.870,20,1,1,1,2,2,3
firefly_shift,CuytLee,4,0,41.180,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,4,0,33.601,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,5,0,34.950,21,0,1,3,0,2,3
firefly_shift,CuytLee,5,0,40.900,20,1,1,1,2,2,3
firefly_shift,CuytLee,6,0,40.190,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,6,0,34.830,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,7,0,33.860,21,0,1,3,0,2,3
firefly_shift,CuytLee,7,0,41.061,20,1,1,1,2,2,3
firefly_shift,CuytLee,8,0,58.860,20,1,1,1,2,2,3
firefly_shift,BalancedZippel,8,0,35.490,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,9,0,33.400,21,0,1,3,0,2,3
firefly_shift,CuytLee,9,0,42.670,20,1,1,1,2,2,3
sparse3,BalancedZippel,1,0,456.892,121,0,1,6,0,4,3
sparse3,CuytLee,1,0,405.362,147,0,1,1,20,4,3
sparse3,CuytLee,2,0,383.802,147,0,1,1,20,4,3
sparse3,BalancedZippel,2,0,444.421,121,0,1,6,0,4,3
sparse3,BalancedZippel,3,0,672.843,121,0,1,6,0,4,3
sparse3,CuytLee,3,0,398.551,147,0,1,1,20,4,3
sparse3,CuytLee,4,0,398.852,147,0,1,1,20,4,3
sparse3,BalancedZippel,4,0,446.602,121,0,1,6,0,4,3
sparse3,BalancedZippel,5,0,445.022,121,0,1,6,0,4,3
sparse3,CuytLee,5,0,396.181,147,0,1,1,20,4,3
sparse3,CuytLee,6,0,401.712,147,0,1,1,20,4,3
sparse3,BalancedZippel,6,0,435.122,121,0,1,6,0,4,3
sparse3,BalancedZippel,7,0,443.432,121,0,1,6,0,4,3
sparse3,CuytLee,7,0,388.901,147,0,1,1,20,4,3
