case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
paper_eq3,BalancedZippelSeparated,1,0,41.100,29,0,1,4,0,2,3,2,1
paper_eq3,BalancedZippel,1,0,23.780,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLeePruned,1,0,34.560,25,0,1,3,1,2,3,0,0
paper_eq3,CuytLee,1,0,34.790,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,2,0,24.920,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLeePruned,2,0,39.831,25,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,2,0,43.251,29,0,1,4,0,2,3,2,1
paper_eq3,CuytLee,2,0,36.330,28,0,1,3,1,2,3,0,0
paper_eq3,CuytLeePruned,3,0,32.240,25,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippel,3,0,23.750,16,0,1,2,0,2,3,1,0
paper_eq3,CuytLee,3,0,33.310,28,0,1,3,1,2,3,0,0
paper_eq3,BalancedZippelSeparated,3,0,41.730,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippelSeparated,1,0,40.711,29,0,1,4,0,2,3,2,1
firefly_shift,BalancedZippel,1,0,195.010,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLeePruned,1,0,45.870,27,1,1,3,1,2,3,0,0
firefly_shift,CuytLee,1,0,44.030,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,2,0,26.280,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLeePruned,2,0,40.230,27,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,2,0,42.110,29,0,1,4,0,2,3,2,1
firefly_shift,CuytLee,2,0,42.191,28,1,1,3,1,2,3,0,0
firefly_shift,CuytLeePruned,3,0,36.990,27,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippel,3,0,25.050,16,0,1,2,0,2,3,1,0
firefly_shift,CuytLee,3,0,40.970,28,1,1,3,1,2,3,0,0
firefly_shift,BalancedZippelSeparated,3,0,40.270,29,0,1,4,0,2,3,2,1
sparse3,BalancedZippelSeparated,1,0,3502.284,186,0,1,6,0,4,3,6,1
sparse3,BalancedZippel,1,0,233.951,99,0,1,3,0,4,3,3,0
sparse3,CuytLeePruned,1,0,368.271,144,0,1,4,15,4,3,0,0
sparse3,CuytLee,1,0,486.502,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,2,0,219.771,99,0,1,3,0,4,3,3,0
sparse3,CuytLeePruned,2,0,331.452,144,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,2,0,381.141,186,0,1,6,0,4,3,6,1
sparse3,CuytLee,2,0,343.041,175,0,1,4,15,4,3,0,0
sparse3,CuytLeePruned,3,0,333.791,144,0,1,4,15,4,3,0,0
sparse3,BalancedZippel,3,0,207.091,99,0,1,3,0,4,3,3,0
sparse3,CuytLee,3,0,336.211,175,0,1,4,15,4,3,0,0
sparse3,BalancedZippelSeparated,3,0,385.692,186,0,1,6,0,4,3,6,1
sparse4,BalancedZippelSeparated,1,0,257.721,134,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,1,0,124.810,70,0,1,4,0,4,3,6,0
sparse4,CuytLeePruned,1,0,182.021,92,0,1,5,11,4,3,0,0
sparse4,CuytLee,1,0,191.811,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,2,0,133.641,70,0,1,4,0,4,3,6,0
sparse4,CuytLeePruned,2,0,190.390,92,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,2,0,243.881,134,0,1,8,0,4,3,12,1
sparse4,CuytLee,2,0,192.071,116,0,1,5,11,4,3,0,0
sparse4,CuytLeePruned,3,0,175.431,92,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,3,0,130.930,70,0,1,4,0,4,3,6,0
sparse4,CuytLee,3,0,200.941,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,3,0,242.821,134,0,1,8,0,4,3,12,1
homogeneous_shift,BalancedZippelSeparated,1,0,174.571,94,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,1,0,85.831,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLeePruned,1,0,157.810,78,4,1,4,8,3,3,0,0
homogeneous_shift,CuytLee,1,0,158.031,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,2,0,89.330,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLeePruned,2,0,156.651,78,4,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,2,0,174.241,94,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,2,0,161.020,104,1,1,4,8,3,3,0,0
homogeneous_shift,CuytLeePruned,3,0,150.831,78,4,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,3,0,88.680,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,3,0,153.611,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,3,0,158.391,94,0,1,6,0,3,3,6,1
dense_total3,BalancedZippelSeparated,1,0,853.583,255,0,1,6,0,35,20,36,1
dense_total3,BalancedZippel,1,0,383.091,142,0,1,3,0,35,20,18,0
dense_total3,CuytLeePruned,1,0,283.702,94,0,1,4,14,35,20,0,0
dense_total3,CuytLee,1,0,363.881,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippel,2,0,386.912,142,0,1,3,0,35,20,18,0
dense_total3,CuytLeePruned,2,0,274.611,94,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,2,0,660.012,255,0,1,6,0,35,20,36,1
dense_total3,CuytLee,2,0,358.601,160,0,1,4,14,35,20,0,0
dense_total3,CuytLeePruned,3,0,268.501,94,0,1,4,14,35,20,0,0
dense_total3,BalancedZippel,3,0,386.081,142,0,1,3,0,35,20,18,0
dense_total3,CuytLee,3,0,354.991,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,3,0,681.413,255,0,1,6,0,35,20,36,1
dense_box3,BalancedZippelSeparated,1,0,301.741,86,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,1,0,376.211,102,0,1,3,0,64,27,18,0
dense_box3,CuytLeePruned,1,0,521.082,126,0,1,4,11,64,27,0,0
dense_box3,CuytLee,1,0,805.983,228,0,1,4,11,64,27,0,0
dense_box3,BalancedZippel,2,0,399.451,102,0,1,3,0,64,27,18,0
dense_box3,CuytLeePruned,2,0,520.872,126,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,2,0,312.371,86,0,1,3,0,64,27,18,0
dense_box3,CuytLee,2,0,797.423,228,0,1,4,11,64,27,0,0
dense_box3,CuytLeePruned,3,0,536.202,126,0,1,4,11,64,27,0,0
dense_box3,BalancedZippel,3,0,379.791,102,0,1,3,0,64,27,18,0
dense_box3,CuytLee,3,0,811.793,228,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,3,0,302.382,86,0,1,3,0,64,27,18,0
paper_eq28_y_d,BalancedZippelSeparated,1,0,5985.583,306,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,1,0,8553.353,451,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLeePruned,1,0,28695.630,899,0,1,3,14,248,180,0,0
paper_eq28_y_d,CuytLee,1,0,39618.881,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippel,2,0,7482.799,451,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLeePruned,2,0,23751.600,899,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,2,0,5028.779,306,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,2,0,41596.620,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,CuytLeePruned,3,0,20596.999,899,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippel,3,0,7545.309,451,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,3,0,41646.939,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,3,0,4993.879,306,0,1,2,0,248,180,7,0
