case,method,mode,seed,elapsed_us,probes
paper_eq3,BalancedZippelSeparated,ff,1,44.861,29
paper_eq3,BalancedZippel,ff,1,25.080,16
paper_eq3,CuytLeePruned,ff,1,33.730,25
paper_eq3,CuytLee,ff,1,34.470,28
paper_eq3,BalancedZippel,ff,2,25.490,16
paper_eq3,CuytLeePruned,ff,2,32.140,25
paper_eq3,BalancedZippelSeparated,ff,2,40.160,29
paper_eq3,CuytLee,ff,2,35.050,28
paper_eq3,CuytLeePruned,ff,3,30.910,25
paper_eq3,BalancedZippel,ff,3,25.000,16
paper_eq3,CuytLee,ff,3,33.020,28
paper_eq3,BalancedZippelSeparated,ff,3,38.520,29
paper_eq28_y_d,BalancedZippelSeparated,ff,1,1096.864,306
paper_eq28_y_d,BalancedZippel,ff,1,2283.858,451
paper_eq28_y_d,CuytLeePruned,ff,1,9694.747,899
paper_eq28_y_d,CuytLee,ff,1,18154.110,1365
paper_eq28_y_d,BalancedZippel,ff,2,1736.117,451
paper_eq28_y_d,CuytLeePruned,ff,2,12230.267,899
paper_eq28_y_d,BalancedZippelSeparated,ff,2,1074.164,306
paper_eq28_y_d,CuytLee,ff,2,18036.820,1365
paper_eq28_y_d,CuytLeePruned,ff,3,12299.856,899
paper_eq28_y_d,BalancedZippel,ff,3,1788.617,451
paper_eq28_y_d,CuytLee,ff,3,17985.199,1365
paper_eq28_y_d,BalancedZippelSeparated,ff,3,1063.444,306
