case,method,seed,elapsed_us,probes,primes,images,support_resets
paper_eq3,BalancedZippelSeparated,1,215.641,32,2,1,0
paper_eq3,BalancedZippel,1,94.291,19,2,1,0
paper_eq3,CuytLeePruned,1,64.801,28,2,1,0
paper_eq3,CuytLee,1,59.340,31,2,1,0
paper_eq3,BalancedZippel,2,47.250,19,2,1,0
paper_eq3,CuytLeePruned,2,53.231,28,2,1,0
paper_eq3,BalancedZippelSeparated,2,60.391,32,2,1,0
paper_eq3,CuytLee,2,55.520,31,2,1,0
paper_eq3,CuytLeePruned,3,51.560,28,2,1,0
paper_eq3,BalancedZippel,3,44.531,19,2,1,0
paper_eq3,CuytLee,3,55.850,31,2,1,0
paper_eq3,BalancedZippelSeparated,3,77.211,32,2,1,0
paper_eq28_y_d,BalancedZippelSeparated,1,19182.543,921,4,3,0
paper_eq28_y_d,BalancedZippel,1,23754.992,1356,4,3,0
paper_eq28_y_d,CuytLeePruned,1,68807.544,2700,4,3,0
paper_eq28_y_d,CuytLee,1,120863.204,4098,4,3,0
paper_eq28_y_d,BalancedZippel,2,26913.503,1356,4,3,0
paper_eq28_y_d,CuytLeePruned,2,89268.823,2700,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,2,16607.534,921,4,3,0
paper_eq28_y_d,CuytLee,2,109105.348,4098,4,3,0
paper_eq28_y_d,CuytLeePruned,3,62979.612,2700,4,3,0
paper_eq28_y_d,BalancedZippel,3,23528.050,1356,4,3,0
paper_eq28_y_d,CuytLee,3,132393.108,4098,4,3,0
paper_eq28_y_d,BalancedZippelSeparated,3,16748.605,921,4,3,0
