case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,BalancedZippelSeparated,1,ok,37290.167,1939,2,1,0,0,2305843009213693967:1936;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.589,BalancedZippelSeparated
fire7_nb0_rank0001,FireFly_scan,1,ok,615846.081,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,FIRE7_Q_learned,1,ok,188278.365,6721,3,2,,,18446744073709551521:3;18446744073709551533:3341;18446744073709551557:3377,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_rank0001,Automatic,1,ok,37031.066,1985,2,1,0,0,2305843009213693967:1982;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.556,BalancedZippelSeparated
fire7_nb0_rank0002,BalancedZippelSeparated,1,ok,40180.238,2147,2,1,0,0,2305843009213693967:2144;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,4.618,BalancedZippelSeparated
fire7_nb0_rank0002,FireFly_scan,1,ok,622083.353,8155,3,,,,9223372036854775549:1;9223372036854775643:1660;9223372036854775783:6494,FireFly_default,cached_powers_Q,877,414,,
fire7_nb0_rank0002,FIRE7_Q_learned,1,ok,211231.638,7438,3,2,,,18446744073709551521:3;18446744073709551533:3699;18446744073709551557:3736,FIRE7_native_64,cached_powers_Q,877,414,,
fire7_nb0_rank0002,Automatic,1,ok,40897.871,2193,2,1,0,0,2305843009213693967:2190;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,4.753,BalancedZippelSeparated
fire7_nb0_rank0003,BalancedZippelSeparated,1,ok,24697.811,1632,2,1,0,0,2305843009213693967:1629;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,3.718,BalancedZippelSeparated
fire7_nb0_rank0003,FireFly_scan,1,ok,350137.860,5285,2,,,,9223372036854775643:141;9223372036854775783:5144,FireFly_default,cached_powers_Q,753,243,,
fire7_nb0_rank0003,FIRE7_Q_learned,1,ok,143946.770,6028,3,2,,,18446744073709551521:3;18446744073709551533:2990;18446744073709551557:3035,FIRE7_native_64,cached_powers_Q,753,243,,
