case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,BalancedZippelSeparated,1,ok,36637.217,1939,2,1,0,0,2305843009213693967:1936;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.723,BalancedZippelSeparated
fire7_nb0_rank0001,FireFly_scan,1,ok,631546.060,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,FIRE7_Q_learned,1,ok,189600.766,6721,3,2,,,18446744073709551521:3;18446744073709551533:3341;18446744073709551557:3377,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_rank0001,Automatic,1,ok,37178.349,1963,2,1,0,0,2305843009213693967:1960;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.841,BalancedZippelSeparated
fire7_nb0_rank0001,FireFly_scan,2,ok,642730.275,8180,3,,,,9223372036854775549:1;9223372036854775643:1657;9223372036854775783:6522,FireFly_default,cached_powers_Q,858,414,,
fire7_nb0_rank0001,FIRE7_Q_learned,2,ok,221992.090,6721,3,2,,,18446744073709551521:3;18446744073709551533:3341;18446744073709551557:3377,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_rank0001,Automatic,2,ok,51643.885,1963,2,1,0,0,2305843009213693967:1960;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,6.505,BalancedZippelSeparated
fire7_nb0_rank0001,BalancedZippelSeparated,2,ok,67721.176,1939,2,1,0,0,2305843009213693967:1936;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,8.742,BalancedZippelSeparated
fire7_nb0_rank0001,FIRE7_Q_learned,3,ok,188421.812,6721,3,2,,,18446744073709551521:3;18446744073709551533:3341;18446744073709551557:3377,FIRE7_native_64,cached_powers_Q,858,414,,
fire7_nb0_rank0001,Automatic,3,ok,36643.087,1963,2,1,0,0,2305843009213693967:1960;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,4.734,BalancedZippelSeparated
