case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_diamond3l_rank0001,FireFly_default,1,ok,8479.922,211,2,,,,9223372036854775643:1;9223372036854775783:210,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0001,FireFly_scan,1,ok,9115.724,251,2,,,,9223372036854775643:55;9223372036854775783:196,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0001,FIRE7_Q_learned,1,ok,9477.496,427,3,2,,,18446744073709551521:3;18446744073709551533:207;18446744073709551557:217,FIRE7_native_64,cached_powers_Q,60,45,,
ibp_diamond3l_rank0001,Rare_scaling,1,ok,3251.203,237,2,,,,1152921504606846883:235;1152921504606846869:2,Rare_native_60,cached_powers_Q,60,45,,
ibp_diamond3l_rank0001,Automatic,1,ok,596.022,122,2,1,0,0,2305843009213693967:119;2305843009213693973:3,Symbolica_default,cached_powers_Q,60,45,0.460,BalancedZippelSeparated
ibp_diamond3l_rank0002,FireFly_default,1,ok,7407.197,212,2,,,,9223372036854775643:1;9223372036854775783:211,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0002,FireFly_scan,1,ok,9100.095,258,2,,,,9223372036854775643:57;9223372036854775783:201,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0002,FIRE7_Q_learned,1,ok,4898.868,439,3,2,,,18446744073709551521:3;18446744073709551533:213;18446744073709551557:223,FIRE7_native_64,cached_powers_Q,60,45,,
ibp_diamond3l_rank0002,Rare_scaling,1,ok,913.053,237,2,,,,1152921504606846883:235;1152921504606846869:2,Rare_native_60,cached_powers_Q,60,45,,
ibp_diamond3l_rank0002,Automatic,1,ok,773.013,129,2,1,0,0,2305843009213693967:126;2305843009213693973:3,Symbolica_default,cached_powers_Q,60,45,0.478,BalancedZippelSeparated
ibp_diamond3l_rank0003,FireFly_default,1,ok,7308.038,214,2,,,,9223372036854775643:1;9223372036854775783:213,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0003,FireFly_scan,1,ok,8588.952,258,2,,,,9223372036854775643:57;9223372036854775783:201,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0003,FIRE7_Q_learned,1,ok,4739.927,427,3,2,,,18446744073709551521:3;18446744073709551533:207;18446744073709551557:217,FIRE7_native_64,cached_powers_Q,60,45,,
ibp_diamond3l_rank0003,Rare_scaling,1,ok,915.063,237,2,,,,1152921504606846883:235;1152921504606846869:2,Rare_native_60,cached_powers_Q,60,45,,
ibp_diamond3l_rank0003,Automatic,1,ok,754.043,127,2,1,0,0,2305843009213693967:124;2305843009213693973:3,Symbolica_default,cached_powers_Q,60,45,0.478,BalancedZippelSeparated
ibp_diamond3l_rank0004,FireFly_default,1,ok,12592.678,330,2,,,,9223372036854775643:1;9223372036854775783:329,FireFly_default,cached_powers_Q,112,60,,
ibp_diamond3l_rank0004,FireFly_scan,1,ok,12630.888,355,2,,,,9223372036854775643:65;9223372036854775783:290,FireFly_default,cached_powers_Q,112,60,,
ibp_diamond3l_rank0004,FIRE7_Q_learned,1,ok,7986.430,671,3,2,,,18446744073709551521:3;18446744073709551533:331;18446744073709551557:337,FIRE7_native_64,cached_powers_Q,112,60,,
ibp_diamond3l_rank0004,Rare_scaling,1,ok,2393.579,410,2,,,,1152921504606846883:408;1152921504606846869:2,Rare_native_60,cached_powers_Q,112,60,,
ibp_diamond3l_rank0004,Automatic,1,ok,979.574,187,2,1,0,0,2305843009213693967:184;2305843009213693973:3,Symbolica_default,cached_powers_Q,112,60,0.689,BalancedZippelSeparated
