case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_tth2l_b16_rank0001,FireFly_default,1,ok,2124104.977,10695,2,,,,9223372036854775643:1;9223372036854775783:10694,FireFly_default,cached_powers_Q,1102,35,,
ibp_tth2l_b16_rank0001,FireFly_scan,1,ok,608136.491,6032,2,,,,9223372036854775643:87;9223372036854775783:5945,FireFly_default,cached_powers_Q,1102,35,,
ibp_tth2l_b16_rank0001,FIRE7_Q_learned,1,ok,820205.874,21575,3,2,,,18446744073709551521:3;18446744073709551533:10773;18446744073709551557:10799,FIRE7_native_64,cached_powers_Q,1102,35,,
ibp_tth2l_b16_rank0001,Automatic,1,ok,1385180.161,24738,2,1,0,0,2305843009213693967:24735;2305843009213693973:3,Symbolica_default,cached_powers_Q,1102,35,4.642,CuytLeePruned
ibp_tth2l_b16_rank0002,FireFly_default,1,ok,55796.821,1429,2,,,,9223372036854775643:1;9223372036854775783:1428,FireFly_default,cached_powers_Q,108,9,,
ibp_tth2l_b16_rank0002,FireFly_scan,1,ok,18354.039,476,2,,,,9223372036854775643:55;9223372036854775783:421,FireFly_default,cached_powers_Q,108,9,,
ibp_tth2l_b16_rank0002,FIRE7_Q_learned,1,ok,31662.920,2402,3,2,,,18446744073709551521:3;18446744073709551533:1192;18446744073709551557:1207,FIRE7_native_64,cached_powers_Q,108,9,,
ibp_tth2l_b16_rank0002,Automatic,1,ok,26804.672,1064,2,1,0,0,2305843009213693967:1061;2305843009213693973:3,Symbolica_default,cached_powers_Q,108,9,0.780,CuytLeePruned
ibp_tth2l_b16_rank0003,FireFly_default,1,ok,115739.628,2019,2,,,,9223372036854775643:1;9223372036854775783:2018,FireFly_default,cached_powers_Q,270,28,,
ibp_tth2l_b16_rank0003,FireFly_scan,1,ok,49545.957,1206,2,,,,9223372036854775643:63;9223372036854775783:1143,FireFly_default,cached_powers_Q,270,28,,
ibp_tth2l_b16_rank0003,FIRE7_Q_learned,1,ok,72896.676,4280,3,2,,,18446744073709551521:3;18446744073709551533:2126;18446744073709551557:2151,FIRE7_native_64,cached_powers_Q,270,28,,
ibp_tth2l_b16_rank0003,Automatic,1,ok,41198.936,1684,2,1,0,0,2305843009213693967:1681;2305843009213693973:3,Symbolica_default,cached_powers_Q,270,28,23.111,CuytLeePruned
ibp_tth2l_b16_rank0004,FireFly_default,1,ok,84813.191,1765,2,,,,9223372036854775643:1;9223372036854775783:1764,FireFly_default,cached_powers_Q,224,28,,
ibp_tth2l_b16_rank0004,FireFly_scan,1,ok,58556.021,1243,2,,,,9223372036854775643:61;9223372036854775783:1182,FireFly_default,cached_powers_Q,224,28,,
ibp_tth2l_b16_rank0004,FIRE7_Q_learned,1,ok,44643.569,3441,3,2,,,18446744073709551521:3;18446744073709551533:1710;18446744073709551557:1728,FIRE7_native_64,cached_powers_Q,224,28,,
ibp_tth2l_b16_rank0004,Automatic,1,ok,38990.068,1402,2,1,0,0,2305843009213693967:1399;2305843009213693973:3,Symbolica_default,cached_powers_Q,224,28,18.833,CuytLeePruned
