case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_tth2l_b16_rank0001,FireFly_scan,1,ok,608422.353,6032,2,,,,9223372036854775643:87;9223372036854775783:5945,FireFly_default,cached_powers_Q,1102,35,,
ibp_tth2l_b16_rank0001,FireFly_default,1,ok,2011632.273,10695,2,,,,9223372036854775643:1;9223372036854775783:10694,FireFly_default,cached_powers_Q,1102,35,,
ibp_tth2l_b16_rank0001,Automatic,1,ok,39296.075,1136,2,1,0,0,2305843009213693967:1133;2305843009213693973:3,Symbolica_default,cached_powers_Q,1102,35,5.862,BalancedZippelSeparated
ibp_tth2l_b16_rank0001,FireFly_default,2,ok,1937731.241,10695,2,,,,9223372036854775643:1;9223372036854775783:10694,FireFly_default,cached_powers_Q,1102,35,,
ibp_tth2l_b16_rank0001,Automatic,2,ok,39746.046,1136,2,1,0,0,2305843009213693967:1133;2305843009213693973:3,Symbolica_default,cached_powers_Q,1102,35,6.015,BalancedZippelSeparated
ibp_tth2l_b16_rank0001,FireFly_scan,2,ok,575990.703,6032,2,,,,9223372036854775643:87;9223372036854775783:5945,FireFly_default,cached_powers_Q,1102,35,,
ibp_tth2l_b16_rank0001,Automatic,3,ok,39030.144,1136,2,1,0,0,2305843009213693967:1133;2305843009213693973:3,Symbolica_default,cached_powers_Q,1102,35,5.949,BalancedZippelSeparated
ibp_tth2l_b16_rank0001,FireFly_scan,3,ok,577993.740,6032,2,,,,9223372036854775643:87;9223372036854775783:5945,FireFly_default,cached_powers_Q,1102,35,,
ibp_tth2l_b16_rank0001,FireFly_default,3,ok,2053891.160,10695,2,,,,9223372036854775643:1;9223372036854775783:10694,FireFly_default,cached_powers_Q,1102,35,,
ibp_tth2l_b16_rank0002,FireFly_scan,1,ok,20884.787,476,2,,,,9223372036854775643:55;9223372036854775783:421,FireFly_default,cached_powers_Q,108,9,,
ibp_tth2l_b16_rank0002,FireFly_default,1,ok,64555.838,1429,2,,,,9223372036854775643:1;9223372036854775783:1428,FireFly_default,cached_powers_Q,108,9,,
ibp_tth2l_b16_rank0002,Automatic,1,ok,2818.731,212,2,1,0,0,2305843009213693967:209;2305843009213693973:3,Symbolica_default,cached_powers_Q,108,9,0.562,BalancedZippelSeparated
ibp_tth2l_b16_rank0002,FireFly_default,2,ok,57155.491,1429,2,,,,9223372036854775643:1;9223372036854775783:1428,FireFly_default,cached_powers_Q,108,9,,
ibp_tth2l_b16_rank0002,Automatic,2,ok,3230.942,212,2,1,0,0,2305843009213693967:209;2305843009213693973:3,Symbolica_default,cached_powers_Q,108,9,0.905,BalancedZippelSeparated
ibp_tth2l_b16_rank0002,FireFly_scan,2,ok,23450.426,476,2,,,,9223372036854775643:55;9223372036854775783:421,FireFly_default,cached_powers_Q,108,9,,
ibp_tth2l_b16_rank0002,Automatic,3,ok,3264.072,212,2,1,0,0,2305843009213693967:209;2305843009213693973:3,Symbolica_default,cached_powers_Q,108,9,0.566,BalancedZippelSeparated
ibp_tth2l_b16_rank0002,FireFly_scan,3,ok,19419.492,476,2,,,,9223372036854775643:55;9223372036854775783:421,FireFly_default,cached_powers_Q,108,9,,
ibp_tth2l_b16_rank0002,FireFly_default,3,ok,57919.624,1429,2,,,,9223372036854775643:1;9223372036854775783:1428,FireFly_default,cached_powers_Q,108,9,,
ibp_tth2l_b16_rank0003,FireFly_scan,1,ok,63697.195,1206,2,,,,9223372036854775643:63;9223372036854775783:1143,FireFly_default,cached_powers_Q,270,28,,
