case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_diamond3l_rank0001,FireFly_scan,1,ok,9082.983,251,2,,,,9223372036854775643:55;9223372036854775783:196,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0001,FireFly_default,1,ok,9597.545,211,2,,,,9223372036854775643:1;9223372036854775783:210,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0001,Automatic,1,ok,959.443,122,2,1,0,0,2305843009213693967:119;2305843009213693973:3,Symbolica_default,cached_powers_Q,60,45,0.865,BalancedZippelSeparated
ibp_diamond3l_rank0001,FireFly_default,2,ok,8761.012,211,2,,,,9223372036854775643:1;9223372036854775783:210,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0001,Automatic,2,ok,596.612,122,2,1,0,0,2305843009213693967:119;2305843009213693973:3,Symbolica_default,cached_powers_Q,60,45,0.684,BalancedZippelSeparated
ibp_diamond3l_rank0001,FireFly_scan,2,ok,8801.772,251,2,,,,9223372036854775643:55;9223372036854775783:196,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0001,Automatic,3,ok,782.803,122,2,1,0,0,2305843009213693967:119;2305843009213693973:3,Symbolica_default,cached_powers_Q,60,45,0.676,BalancedZippelSeparated
ibp_diamond3l_rank0001,FireFly_scan,3,ok,8498.581,251,2,,,,9223372036854775643:55;9223372036854775783:196,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0001,FireFly_default,3,ok,7849.700,211,2,,,,9223372036854775643:1;9223372036854775783:210,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0002,FireFly_scan,1,ok,11775.634,258,2,,,,9223372036854775643:57;9223372036854775783:201,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0002,FireFly_default,1,ok,8331.641,212,2,,,,9223372036854775643:1;9223372036854775783:211,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0002,Automatic,1,ok,793.713,129,2,1,0,0,2305843009213693967:126;2305843009213693973:3,Symbolica_default,cached_powers_Q,60,45,0.497,BalancedZippelSeparated
ibp_diamond3l_rank0002,FireFly_default,2,ok,7096.556,212,2,,,,9223372036854775643:1;9223372036854775783:211,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0002,Automatic,2,ok,792.122,129,2,1,0,0,2305843009213693967:126;2305843009213693973:3,Symbolica_default,cached_powers_Q,60,45,0.502,BalancedZippelSeparated
ibp_diamond3l_rank0002,FireFly_scan,2,ok,8615.631,258,2,,,,9223372036854775643:57;9223372036854775783:201,FireFly_default,cached_powers_Q,60,45,,
ibp_diamond3l_rank0002,Automatic,3,ok,631.602,129,2,1,0,0,2305843009213693967:126;2305843009213693973:3,Symbolica_default,cached_powers_Q,60,45,0.481,BalancedZippelSeparated
