case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_graph5_rank0001,Automatic,1,ok,292.601,51,2,1,0,0,2305843009213693967:48;2305843009213693973:3,Symbolica_default,cached_powers_Q,26,14,0.621,BalancedZippelSeparated
fire7_graph5_rank0002,Automatic,1,ok,677.563,55,2,1,0,0,2305843009213693967:52;2305843009213693973:3,Symbolica_default,cached_powers_Q,29,16,0.554,BalancedZippelSeparated
fire7_graph5_rank0003,Automatic,1,ok,275.401,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.395,BalancedZippelSeparated
fire7_graph5_rank0004,Automatic,1,ok,473.192,50,2,1,0,0,2305843009213693967:47;2305843009213693973:3,Symbolica_default,cached_powers_Q,22,14,0.580,BalancedZippelSeparated
fire7_graph5_rank0005,Automatic,1,ok,241.091,43,2,1,0,0,2305843009213693967:40;2305843009213693973:3,Symbolica_default,cached_powers_Q,20,12,0.386,BalancedZippelSeparated
fire7_graph5_rank0006,Automatic,1,ok,279.771,48,2,1,0,0,2305843009213693967:45;2305843009213693973:3,Symbolica_default,cached_powers_Q,24,14,0.579,BalancedZippelSeparated
fire7_graph5_rank0007,Automatic,1,ok,271.150,46,2,1,0,0,2305843009213693967:43;2305843009213693973:3,Symbolica_default,cached_powers_Q,19,12,0.671,BalancedZippelSeparated
fire7_graph5_rank0008,Automatic,1,ok,357.801,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.688,BalancedZippelSeparated
fire7_graph5_rank0009,Automatic,1,ok,329.391,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.492,BalancedZippelSeparated
fire7_graph5_rank0010,Automatic,1,ok,258.961,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,18,12,0.422,BalancedZippelSeparated
fire7_graph5_rank0011,Automatic,1,ok,243.221,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.412,BalancedZippelSeparated
fire7_graph5_rank0012,Automatic,1,ok,518.782,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.461,BalancedZippelSeparated
fire7_graph5_rank0013,Automatic,1,ok,282.741,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.475,BalancedZippelSeparated
fire7_graph5_rank0014,Automatic,1,ok,566.332,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,12,0.459,BalancedZippelSeparated
fire7_graph5_rank0015,Automatic,1,ok,403.782,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.758,BalancedZippelSeparated
fire7_graph5_rank0016,Automatic,1,ok,527.992,37,2,1,0,0,2305843009213693967:34;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,14,0.457,BalancedZippelSeparated
fire7_graph5_rank0017,Automatic,1,ok,536.742,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,16,12,0.453,BalancedZippelSeparated
fire7_graph5_rank0018,Automatic,1,ok,515.562,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.441,BalancedZippelSeparated
fire7_graph5_rank0019,Automatic,1,ok,274.381,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.349,BalancedZippelSeparated
fire7_graph5_rank0020,Automatic,1,ok,227.151,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,12,0.462,BalancedZippelSeparated
fire7_graph5_rank0021,Automatic,1,ok,241.661,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.518,BalancedZippelSeparated
fire7_graph5_rank0022,Automatic,1,ok,224.531,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.458,BalancedZippelSeparated
fire7_graph5_rank0023,Automatic,1,ok,555.562,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.462,BalancedZippelSeparated
fire7_graph5_rank0024,Automatic,1,ok,587.582,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.404,BalancedZippelSeparated
fire7_graph5_rank0025,Automatic,1,ok,326.801,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.593,BalancedZippelSeparated
fire7_graph5_rank0026,Automatic,1,ok,256.131,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.489,BalancedZippelSeparated
fire7_graph5_rank0027,Automatic,1,ok,389.272,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.278,BalancedZippelSeparated
fire7_graph5_rank0028,Automatic,1,ok,227.251,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,10,0.285,BalancedZippelSeparated
fire7_graph5_rank0029,Automatic,1,ok,398.701,40,2,1,0,0,2305843009213693967:37;2305843009213693973:3,Symbolica_default,cached_powers_Q,17,10,0.297,BalancedZippelSeparated
fire7_graph5_rank0030,Automatic,1,ok,212.801,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,8,0.287,BalancedZippelSeparated
fire7_graph5_rank0031,Automatic,1,ok,211.030,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.292,BalancedZippelSeparated
fire7_graph5_rank0032,Automatic,1,ok,216.571,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,12,0.330,BalancedZippelSeparated
fire7_graph5_rank0033,Automatic,1,ok,536.102,36,2,1,0,0,2305843009213693967:33;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.415,BalancedZippelSeparated
fire7_graph5_rank0034,Automatic,1,ok,310.651,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,12,0.446,BalancedZippelSeparated
fire7_graph5_rank0035,Automatic,1,ok,320.901,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,10,0.582,BalancedZippelSeparated
fire7_graph5_rank0036,Automatic,1,ok,238.201,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.615,BalancedZippelSeparated
fire7_graph5_rank0037,Automatic,1,ok,268.141,27,2,1,0,0,2305843009213693967:24;2305843009213693973:3,Symbolica_default,cached_powers_Q,6,12,0.564,BalancedZippelSeparated
fire7_graph5_rank0038,Automatic,1,ok,229.111,30,2,1,0,0,2305843009213693967:27;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,10,0.486,BalancedZippelSeparated
fire7_graph5_rank0039,Automatic,1,ok,205.881,34,2,1,0,0,2305843009213693967:31;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,10,0.288,BalancedZippelSeparated
fire7_graph5_rank0040,Automatic,1,ok,342.572,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,8,0.288,BalancedZippelSeparated
fire7_graph5_rank0041,Automatic,1,ok,224.271,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,8,0.296,BalancedZippelSeparated
fire7_graph5_rank0042,Automatic,1,ok,216.221,33,2,1,0,0,2305843009213693967:30;2305843009213693973:3,Symbolica_default,cached_powers_Q,13,6,0.304,BalancedZippelSeparated
fire7_graph5_rank0043,Automatic,1,ok,357.011,38,2,1,0,0,2305843009213693967:35;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,10,0.279,BalancedZippelSeparated
fire7_graph5_rank0044,Automatic,1,ok,203.951,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,12,0.417,BalancedZippelSeparated
fire7_graph5_rank0045,Automatic,1,ok,457.682,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,6,0.391,BalancedZippelSeparated
fire7_graph5_rank0046,Automatic,1,ok,443.061,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,10,0.387,BalancedZippelSeparated
fire7_graph5_rank0047,Automatic,1,ok,303.891,42,2,1,0,0,2305843009213693967:39;2305843009213693973:3,Symbolica_default,cached_powers_Q,14,5,0.389,BalancedZippelSeparated
fire7_graph5_rank0048,Automatic,1,ok,291.112,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,10,0.593,BalancedZippelSeparated
fire7_graph5_rank0049,Automatic,1,ok,228.981,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,6,0.274,BalancedZippelSeparated
fire7_graph5_rank0050,Automatic,1,ok,287.272,30,2,1,0,0,2305843009213693967:27;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,10,0.629,BalancedZippelSeparated
fire7_graph5_rank0051,Automatic,1,ok,313.411,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,8,0.565,BalancedZippelSeparated
fire7_graph5_rank0052,Automatic,1,ok,207.651,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,8,0.325,BalancedZippelSeparated
fire7_graph5_rank0053,Automatic,1,ok,219.801,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,8,0.450,BalancedZippelSeparated
fire7_graph5_rank0054,Automatic,1,ok,210.951,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,8,0.268,BalancedZippelSeparated
fire7_graph5_rank0055,Automatic,1,ok,190.900,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,6,0.258,BalancedZippelSeparated
fire7_graph5_rank0056,Automatic,1,ok,189.531,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,8,0.311,BalancedZippelSeparated
fire7_graph5_rank0057,Automatic,1,ok,377.461,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.307,BalancedZippelSeparated
fire7_graph5_rank0058,Automatic,1,ok,192.391,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,6,0.269,BalancedZippelSeparated
fire7_graph5_rank0059,Automatic,1,ok,202.011,30,2,1,0,0,2305843009213693967:27;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,10,0.352,BalancedZippelSeparated
fire7_graph5_rank0060,Automatic,1,ok,433.601,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,8,0.379,BalancedZippelSeparated
fire7_graph5_rank0061,Automatic,1,ok,270.401,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,5,0.545,BalancedZippelSeparated
fire7_graph5_rank0062,Automatic,1,ok,509.062,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,11,10,0.388,BalancedZippelSeparated
fire7_graph5_rank0063,Automatic,1,ok,502.272,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,8,0.364,BalancedZippelSeparated
fire7_graph5_rank0064,Automatic,1,ok,252.741,26,2,1,0,0,2305843009213693967:23;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,8,0.452,BalancedZippelSeparated
fire7_graph5_rank0065,Automatic,1,ok,225.830,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,8,0.309,BalancedZippelSeparated
fire7_graph5_rank0066,Automatic,1,ok,408.911,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,10,0.297,BalancedZippelSeparated
fire7_graph5_rank0067,Automatic,1,ok,356.241,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,8,0.272,BalancedZippelSeparated
fire7_graph5_rank0068,Automatic,1,ok,199.461,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,11,8,0.264,BalancedZippelSeparated
fire7_graph5_rank0069,Automatic,1,ok,203.031,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,6,0.268,BalancedZippelSeparated
fire7_graph5_rank0070,Automatic,1,ok,390.032,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,10,0.281,BalancedZippelSeparated
fire7_graph5_rank0071,Automatic,1,ok,199.771,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,11,8,0.267,BalancedZippelSeparated
fire7_graph5_rank0072,Automatic,1,ok,196.880,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,8,0.288,BalancedZippelSeparated
fire7_graph5_rank0073,Automatic,1,ok,171.240,30,2,1,0,0,2305843009213693967:27;2305843009213693973:3,Symbolica_default,cached_powers_Q,11,5,0.233,BalancedZippelSeparated
fire7_graph5_rank0074,Automatic,1,ok,221.531,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,9,10,0.281,BalancedZippelSeparated
fire7_graph5_rank0075,Automatic,1,ok,287.961,32,2,1,0,0,2305843009213693967:29;2305843009213693973:3,Symbolica_default,cached_powers_Q,11,8,0.418,BalancedZippelSeparated
fire7_graph5_rank0076,Automatic,1,ok,454.001,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,5,0.392,BalancedZippelSeparated
fire7_graph5_rank0077,Automatic,1,ok,458.162,26,2,1,0,0,2305843009213693967:23;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,8,0.413,BalancedZippelSeparated
fire7_graph5_rank0078,Automatic,1,ok,261.111,27,2,1,0,0,2305843009213693967:24;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,8,0.827,BalancedZippelSeparated
fire7_graph5_rank0079,Automatic,1,ok,299.341,27,2,1,0,0,2305843009213693967:24;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,8,0.399,BalancedZippelSeparated
fire7_graph5_rank0080,Automatic,1,ok,242.661,25,2,1,0,0,2305843009213693967:22;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,6,0.463,BalancedZippelSeparated
fire7_graph5_rank0081,Automatic,1,ok,190.411,26,2,1,0,0,2305843009213693967:23;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,6,0.462,BalancedZippelSeparated
fire7_graph5_rank0082,Automatic,1,ok,193.861,26,2,1,0,0,2305843009213693967:23;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,8,0.285,BalancedZippelSeparated
fire7_graph5_rank0083,Automatic,1,ok,376.972,26,2,1,0,0,2305843009213693967:23;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,8,0.281,BalancedZippelSeparated
fire7_graph5_rank0084,Automatic,1,ok,193.141,26,2,1,0,0,2305843009213693967:23;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,8,0.285,BalancedZippelSeparated
fire7_graph5_rank0085,Automatic,1,ok,329.501,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,5,0.280,BalancedZippelSeparated
fire7_graph5_rank0086,Automatic,1,ok,160.540,24,2,1,0,0,2305843009213693967:21;2305843009213693973:3,Symbolica_default,cached_powers_Q,5,8,0.405,BalancedZippelSeparated
fire7_graph5_rank0087,Automatic,1,ok,187.151,26,2,1,0,0,2305843009213693967:23;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,6,0.299,BalancedZippelSeparated
fire7_graph5_rank0088,Automatic,1,ok,219.201,25,2,1,0,0,2305843009213693967:22;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,6,0.642,BalancedZippelSeparated
fire7_graph5_rank0089,Automatic,1,ok,281.971,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,12,0.626,BalancedZippelSeparated
fire7_graph5_rank0090,Automatic,1,ok,254.121,27,2,1,0,0,2305843009213693967:24;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,8,0.385,BalancedZippelSeparated
fire7_graph5_rank0091,Automatic,1,ok,277.901,31,2,1,0,0,2305843009213693967:28;2305843009213693973:3,Symbolica_default,cached_powers_Q,12,5,0.586,BalancedZippelSeparated
fire7_graph5_rank0092,Automatic,1,ok,173.811,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,5,0.284,BalancedZippelSeparated
fire7_graph5_rank0093,Automatic,1,ok,192.001,30,2,1,0,0,2305843009213693967:27;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,5,0.225,BalancedZippelSeparated
fire7_graph5_rank0094,Automatic,1,ok,178.611,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,10,5,0.502,BalancedZippelSeparated
fire7_graph5_rank0095,Automatic,1,ok,204.221,28,2,1,0,0,2305843009213693967:25;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,10,0.273,BalancedZippelSeparated
fire7_graph5_rank0096,Automatic,1,ok,183.861,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,10,0.260,BalancedZippelSeparated
fire7_graph5_rank0097,Automatic,1,ok,185.771,26,2,1,0,0,2305843009213693967:23;2305843009213693973:3,Symbolica_default,cached_powers_Q,8,8,0.426,BalancedZippelSeparated
fire7_graph5_rank0098,Automatic,1,ok,179.730,25,2,1,0,0,2305843009213693967:22;2305843009213693973:3,Symbolica_default,cached_powers_Q,4,10,0.241,BalancedZippelSeparated
fire7_graph5_rank0099,Automatic,1,ok,192.661,29,2,1,0,0,2305843009213693967:26;2305843009213693973:3,Symbolica_default,cached_powers_Q,7,10,0.548,BalancedZippelSeparated
