case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
fire7_nb0_rank0001,Automatic,1,ok,52945.593,1731,2,1,0,0,2305843009213693967:1728;2305843009213693973:3,Symbolica_default,cached_powers_Q,858,414,11.888,BalancedZippelSeparated
fire7_nb0_rank0002,Automatic,1,ok,63466.663,1933,2,1,0,0,2305843009213693967:1930;2305843009213693973:3,Symbolica_default,cached_powers_Q,877,414,11.392,BalancedZippelSeparated
fire7_nb0_rank0003,Automatic,1,ok,36105.082,1451,2,1,0,0,2305843009213693967:1448;2305843009213693973:3,Symbolica_default,cached_powers_Q,753,243,10.115,BalancedZippelSeparated
fire7_nb0_rank0004,Automatic,1,ok,31106.454,1276,2,1,0,0,2305843009213693967:1273;2305843009213693973:3,Symbolica_default,cached_powers_Q,722,243,9.763,BalancedZippelSeparated
fire7_nb0_rank0005,Automatic,1,ok,35628.960,1407,2,1,0,0,2305843009213693967:1404;2305843009213693973:3,Symbolica_default,cached_powers_Q,739,224,9.252,BalancedZippelSeparated
fire7_nb0_rank0006,Automatic,1,ok,31842.897,1354,2,1,0,0,2305843009213693967:1351;2305843009213693973:3,Symbolica_default,cached_powers_Q,720,224,6.565,BalancedZippelSeparated
fire7_nb0_rank0007,Automatic,1,ok,26321.336,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,648,261,5.703,BalancedZippelSeparated
fire7_nb0_rank0008,Automatic,1,ok,26090.056,1164,2,1,0,0,2305843009213693967:1161;2305843009213693973:3,Symbolica_default,cached_powers_Q,645,261,5.448,BalancedZippelSeparated
fire7_nb0_rank0009,Automatic,1,ok,24011.748,1150,2,1,0,0,2305843009213693967:1147;2305843009213693973:3,Symbolica_default,cached_powers_Q,578,261,5.156,BalancedZippelSeparated
fire7_nb0_rank0010,Automatic,1,ok,27924.513,1323,2,1,0,0,2305843009213693967:1320;2305843009213693973:3,Symbolica_default,cached_powers_Q,639,196,5.192,BalancedZippelSeparated
fire7_nb0_rank0011,Automatic,1,ok,28185.623,1337,2,1,0,0,2305843009213693967:1334;2305843009213693973:3,Symbolica_default,cached_powers_Q,640,196,4.990,BalancedZippelSeparated
fire7_nb0_rank0012,Automatic,1,ok,17545.044,878,2,1,0,0,2305843009213693967:875;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,369,4.989,BalancedZippelSeparated
fire7_nb0_rank0013,Automatic,1,ok,21615.779,1108,2,1,0,0,2305843009213693967:1105;2305843009213693973:3,Symbolica_default,cached_powers_Q,534,232,4.397,BalancedZippelSeparated
fire7_nb0_rank0014,Automatic,1,ok,18707.478,963,2,1,0,0,2305843009213693967:960;2305843009213693973:3,Symbolica_default,cached_powers_Q,572,198,4.834,BalancedZippelSeparated
fire7_nb0_rank0015,Automatic,1,ok,19597.921,978,2,1,0,0,2305843009213693967:975;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,4.837,BalancedZippelSeparated
fire7_nb0_rank0016,Automatic,1,ok,21778.260,1102,2,1,0,0,2305843009213693967:1099;2305843009213693973:3,Symbolica_default,cached_powers_Q,530,232,4.918,BalancedZippelSeparated
fire7_nb0_rank0017,Automatic,1,ok,22091.281,1141,2,1,0,0,2305843009213693967:1138;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,189,4.720,BalancedZippelSeparated
fire7_nb0_rank0018,Automatic,1,ok,22998.274,1210,2,1,0,0,2305843009213693967:1207;2305843009213693973:3,Symbolica_default,cached_powers_Q,566,189,4.974,BalancedZippelSeparated
fire7_nb0_rank0019,Automatic,1,ok,26223.806,1089,2,1,0,0,2305843009213693967:1086;2305843009213693973:3,Symbolica_default,cached_powers_Q,567,168,6.503,BalancedZippelSeparated
fire7_nb0_rank0020,Automatic,1,ok,16717.271,878,2,1,0,0,2305843009213693967:875;2305843009213693973:3,Symbolica_default,cached_powers_Q,539,189,7.833,BalancedZippelSeparated
fire7_nb0_rank0021,Automatic,1,ok,38997.822,1027,2,1,0,0,2305843009213693967:1024;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,312,16.991,BalancedZippelSeparated
fire7_nb0_rank0022,Automatic,1,ok,28030.322,1066,2,1,0,0,2305843009213693967:1063;2305843009213693973:3,Symbolica_default,cached_powers_Q,550,168,6.881,BalancedZippelSeparated
fire7_nb0_rank0023,Automatic,1,ok,23917.387,945,2,1,0,0,2305843009213693967:942;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,240,8.921,BalancedZippelSeparated
fire7_nb0_rank0024,Automatic,1,ok,23696.117,985,2,1,0,0,2305843009213693967:982;2305843009213693973:3,Symbolica_default,cached_powers_Q,497,240,4.522,BalancedZippelSeparated
fire7_nb0_rank0025,Automatic,1,ok,18282.607,807,2,1,0,0,2305843009213693967:804;2305843009213693973:3,Symbolica_default,cached_powers_Q,395,328,6.496,BalancedZippelSeparated
fire7_nb0_rank0026,Automatic,1,ok,22323.731,1029,2,1,0,0,2305843009213693967:1026;2305843009213693973:3,Symbolica_default,cached_powers_Q,532,168,6.274,BalancedZippelSeparated
fire7_nb0_rank0027,Automatic,1,ok,17427.884,825,2,1,0,0,2305843009213693967:822;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,232,6.142,BalancedZippelSeparated
fire7_nb0_rank0028,Automatic,1,ok,18527.858,868,2,1,0,0,2305843009213693967:865;2305843009213693973:3,Symbolica_default,cached_powers_Q,482,147,5.968,BalancedZippelSeparated
fire7_nb0_rank0029,Automatic,1,ok,11531.332,764,2,1,0,0,2305843009213693967:761;2305843009213693973:3,Symbolica_default,cached_powers_Q,451,162,6.850,BalancedZippelSeparated
fire7_nb0_rank0030,Automatic,1,ok,40724.029,1017,2,1,0,0,2305843009213693967:1014;2305843009213693973:3,Symbolica_default,cached_powers_Q,504,126,8.707,BalancedZippelSeparated
fire7_nb0_rank0031,Automatic,1,ok,29112.027,1000,2,1,0,0,2305843009213693967:997;2305843009213693973:3,Symbolica_default,cached_powers_Q,471,147,8.569,BalancedZippelSeparated
fire7_nb0_rank0032,Automatic,1,ok,13406.439,839,2,1,0,0,2305843009213693967:836;2305843009213693973:3,Symbolica_default,cached_powers_Q,449,153,3.964,BalancedZippelSeparated
fire7_nb0_rank0033,Automatic,1,ok,25293.102,760,2,1,0,0,2305843009213693967:757;2305843009213693973:3,Symbolica_default,cached_powers_Q,404,192,3.878,BalancedZippelSeparated
fire7_nb0_rank0034,Automatic,1,ok,15255.076,900,2,1,0,0,2305843009213693967:897;2305843009213693973:3,Symbolica_default,cached_powers_Q,458,144,4.214,BalancedZippelSeparated
fire7_nb0_rank0035,Automatic,1,ok,14149.081,868,2,1,0,0,2305843009213693967:865;2305843009213693973:3,Symbolica_default,cached_powers_Q,445,154,3.952,BalancedZippelSeparated
fire7_nb0_rank0036,Automatic,1,ok,14189.992,867,2,1,0,0,2305843009213693967:864;2305843009213693973:3,Symbolica_default,cached_powers_Q,431,168,3.944,BalancedZippelSeparated
fire7_nb0_rank0037,Automatic,1,ok,13075.958,798,2,1,0,0,2305843009213693967:795;2305843009213693973:3,Symbolica_default,cached_powers_Q,405,168,3.535,BalancedZippelSeparated
fire7_nb0_rank0038,Automatic,1,ok,15873.398,1004,2,1,0,0,2305843009213693967:1001;2305843009213693973:3,Symbolica_default,cached_powers_Q,466,119,3.872,BalancedZippelSeparated
fire7_nb0_rank0039,Automatic,1,ok,10912.660,740,2,1,0,0,2305843009213693967:737;2305843009213693973:3,Symbolica_default,cached_powers_Q,308,240,3.677,BalancedZippelSeparated
fire7_nb0_rank0040,Automatic,1,ok,13080.088,839,2,1,0,0,2305843009213693967:836;2305843009213693973:3,Symbolica_default,cached_powers_Q,443,119,3.805,BalancedZippelSeparated
fire7_nb0_rank0041,Automatic,1,ok,9218.264,620,2,1,0,0,2305843009213693967:617;2305843009213693973:3,Symbolica_default,cached_powers_Q,362,176,3.393,BalancedZippelSeparated
fire7_nb0_rank0042,Automatic,1,ok,13883.181,895,2,1,0,0,2305843009213693967:892;2305843009213693973:3,Symbolica_default,cached_powers_Q,400,147,3.772,BalancedZippelSeparated
fire7_nb0_rank0043,Automatic,1,ok,15024.055,966,2,1,0,0,2305843009213693967:963;2305843009213693973:3,Symbolica_default,cached_powers_Q,432,126,3.666,BalancedZippelSeparated
fire7_nb0_rank0044,Automatic,1,ok,78042.486,944,2,1,0,0,2305843009213693967:941;2305843009213693973:3,Symbolica_default,cached_powers_Q,418,126,3.198,BalancedZippelSeparated
fire7_nb0_rank0045,Automatic,1,ok,62047.877,809,2,1,0,0,2305843009213693967:806;2305843009213693973:3,Symbolica_default,cached_powers_Q,407,126,38.026,BalancedZippelSeparated
fire7_nb0_rank0046,Automatic,1,ok,14144.312,900,2,1,0,0,2305843009213693967:897;2305843009213693973:3,Symbolica_default,cached_powers_Q,422,132,3.892,BalancedZippelSeparated
fire7_nb0_rank0047,Automatic,1,ok,12154.435,835,2,1,0,0,2305843009213693967:832;2305843009213693973:3,Symbolica_default,cached_powers_Q,452,77,3.534,BalancedZippelSeparated
