case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_tth2l_b16_rank0001,FireFly_scan,1,ok,1354688.874,6032,2,,,,9223372036854775643:87;9223372036854775783:5945,FireFly_default,ratracer_trace,1102,35,,
ibp_tth2l_b16_rank0001,FireFly_default,1,ok,3412377.790,10695,2,,,,9223372036854775643:1;9223372036854775783:10694,FireFly_default,ratracer_trace,1102,35,,
ibp_tth2l_b16_rank0001,Automatic,1,ok,204351.253,1136,2,1,0,0,2305843009213693967:1133;2305843009213693973:3,Symbolica_default,ratracer_trace,1102,35,16.101,BalancedZippelSeparated
ibp_tth2l_b16_rank0001,FireFly_default,2,ok,3382873.623,10695,2,,,,9223372036854775643:1;9223372036854775783:10694,FireFly_default,ratracer_trace,1102,35,,
ibp_tth2l_b16_rank0001,Automatic,2,ok,200725.310,1136,2,1,0,0,2305843009213693967:1133;2305843009213693973:3,Symbolica_default,ratracer_trace,1102,35,18.295,BalancedZippelSeparated
ibp_tth2l_b16_rank0001,FireFly_scan,2,ok,1323693.021,6032,2,,,,9223372036854775643:87;9223372036854775783:5945,FireFly_default,ratracer_trace,1102,35,,
ibp_tth2l_b16_rank0001,Automatic,3,ok,197590.868,1136,2,1,0,0,2305843009213693967:1133;2305843009213693973:3,Symbolica_default,ratracer_trace,1102,35,19.872,BalancedZippelSeparated
ibp_tth2l_b16_rank0001,FireFly_scan,3,ok,1324653.975,6032,2,,,,9223372036854775643:87;9223372036854775783:5945,FireFly_default,ratracer_trace,1102,35,,
ibp_tth2l_b16_rank0001,FireFly_default,3,ok,3377146.645,10695,2,,,,9223372036854775643:1;9223372036854775783:10694,FireFly_default,ratracer_trace,1102,35,,
ibp_tth2l_b16_rank0002,FireFly_scan,1,ok,59210.438,476,2,,,,9223372036854775643:55;9223372036854775783:421,FireFly_default,ratracer_trace,108,9,,
ibp_tth2l_b16_rank0002,FireFly_default,1,ok,183128.606,1429,2,,,,9223372036854775643:1;9223372036854775783:1428,FireFly_default,ratracer_trace,108,9,,
ibp_tth2l_b16_rank0002,Automatic,1,ok,18306.867,212,2,1,0,0,2305843009213693967:209;2305843009213693973:3,Symbolica_default,ratracer_trace,108,9,9.583,BalancedZippelSeparated
ibp_tth2l_b16_rank0002,FireFly_default,2,ok,179934.604,1429,2,,,,9223372036854775643:1;9223372036854775783:1428,FireFly_default,ratracer_trace,108,9,,
ibp_tth2l_b16_rank0002,Automatic,2,ok,18158.667,212,2,1,0,0,2305843009213693967:209;2305843009213693973:3,Symbolica_default,ratracer_trace,108,9,8.791,BalancedZippelSeparated
ibp_tth2l_b16_rank0002,FireFly_scan,2,ok,62231.260,476,2,,,,9223372036854775643:55;9223372036854775783:421,FireFly_default,ratracer_trace,108,9,,
ibp_tth2l_b16_rank0002,Automatic,3,ok,19234.041,212,2,1,0,0,2305843009213693967:209;2305843009213693973:3,Symbolica_default,ratracer_trace,108,9,11.467,BalancedZippelSeparated
ibp_tth2l_b16_rank0002,FireFly_scan,3,ok,56006.506,476,2,,,,9223372036854775643:55;9223372036854775783:421,FireFly_default,ratracer_trace,108,9,,
ibp_tth2l_b16_rank0002,FireFly_default,3,ok,179944.684,1429,2,,,,9223372036854775643:1;9223372036854775783:1428,FireFly_default,ratracer_trace,108,9,,
ibp_tth2l_b16_rank0003,FireFly_scan,1,ok,129612.008,1206,2,,,,9223372036854775643:63;9223372036854775783:1143,FireFly_default,ratracer_trace,270,28,,
ibp_tth2l_b16_rank0003,FireFly_default,1,ok,234200.654,2019,2,,,,9223372036854775643:1;9223372036854775783:2018,FireFly_default,ratracer_trace,270,28,,
ibp_tth2l_b16_rank0003,Automatic,1,ok,27498.362,378,2,1,0,0,2305843009213693967:375;2305843009213693973:3,Symbolica_default,ratracer_trace,270,28,10.432,BalancedZippelSeparated
ibp_tth2l_b16_rank0003,FireFly_default,2,ok,235958.390,2019,2,,,,9223372036854775643:1;9223372036854775783:2018,FireFly_default,ratracer_trace,270,28,,
ibp_tth2l_b16_rank0003,Automatic,2,ok,27589.722,378,2,1,0,0,2305843009213693967:375;2305843009213693973:3,Symbolica_default,ratracer_trace,270,28,11.849,BalancedZippelSeparated
ibp_tth2l_b16_rank0003,FireFly_scan,2,ok,129688.019,1206,2,,,,9223372036854775643:63;9223372036854775783:1143,FireFly_default,ratracer_trace,270,28,,
ibp_tth2l_b16_rank0003,Automatic,3,ok,28044.993,378,2,1,0,0,2305843009213693967:375;2305843009213693973:3,Symbolica_default,ratracer_trace,270,28,11.157,BalancedZippelSeparated
ibp_tth2l_b16_rank0003,FireFly_scan,3,ok,128309.013,1206,2,,,,9223372036854775643:63;9223372036854775783:1143,FireFly_default,ratracer_trace,270,28,,
