case,method,seed,status,elapsed_us,probes,primes,images,support_reuses,support_fallbacks,probes_by_prime,prime_policy,oracle,num_terms,den_terms,setup_ms,selected_methods
ibp_xbox2l2m_rank0001,FireFly_scan,1,ok,36833855.793,11353,2,,,,9223372036854775643:171;9223372036854775783:11182,FireFly_default,ratracer_trace,7019,4586,,
ibp_xbox2l2m_rank0001,Automatic,1,ok,26252493.424,8303,2,1,0,0,2305843009213693967:8300;2305843009213693973:3,Symbolica_default,ratracer_trace,7019,4586,104.670,BalancedZippel
ibp_xbox2l2m_rank0001,Automatic,2,ok,25150360.617,8303,2,1,0,0,2305843009213693967:8300;2305843009213693973:3,Symbolica_default,ratracer_trace,7019,4586,107.503,BalancedZippel
ibp_xbox2l2m_rank0001,FireFly_scan,2,ok,31043332.162,11353,2,,,,9223372036854775643:171;9223372036854775783:11182,FireFly_default,ratracer_trace,7019,4586,,
ibp_xbox2l2m_rank0001,FireFly_scan,3,ok,29828070.457,11353,2,,,,9223372036854775643:171;9223372036854775783:11182,FireFly_default,ratracer_trace,7019,4586,,
ibp_xbox2l2m_rank0001,Automatic,3,ok,20107656.483,8303,2,1,0,0,2305843009213693967:8300;2305843009213693973:3,Symbolica_default,ratracer_trace,7019,4586,98.460,BalancedZippel
ibp_xbox2l2m_rank0002,FireFly_scan,1,ok,40739390.014,18908,2,,,,9223372036854775643:177;9223372036854775783:18731,FireFly_default,ratracer_trace,7877,5810,,
ibp_xbox2l2m_rank0002,Automatic,1,ok,24218192.528,11597,2,1,0,0,2305843009213693967:11594;2305843009213693973:3,Symbolica_default,ratracer_trace,7877,5810,79.055,BalancedZippel
ibp_xbox2l2m_rank0002,Automatic,2,ok,22629756.814,11597,2,1,0,0,2305843009213693967:11594;2305843009213693973:3,Symbolica_default,ratracer_trace,7877,5810,331.642,BalancedZippel
ibp_xbox2l2m_rank0002,FireFly_scan,2,ok,37765008.761,18908,2,,,,9223372036854775643:177;9223372036854775783:18731,FireFly_default,ratracer_trace,7877,5810,,
ibp_xbox2l2m_rank0002,FireFly_scan,3,ok,37413348.654,18908,2,,,,9223372036854775643:177;9223372036854775783:18731,FireFly_default,ratracer_trace,7877,5810,,
ibp_xbox2l2m_rank0002,Automatic,3,ok,22207325.578,11597,2,1,0,0,2305843009213693967:11594;2305843009213693973:3,Symbolica_default,ratracer_trace,7877,5810,75.168,BalancedZippel
ibp_xbox2l2m_rank0003,FireFly_scan,1,ok,45000852.898,23581,2,,,,9223372036854775643:147;9223372036854775783:23434,FireFly_default,ratracer_trace,14045,9070,,
ibp_xbox2l2m_rank0003,Automatic,1,ok,40995257.594,18029,2,1,0,0,2305843009213693967:18026;2305843009213693973:3,Symbolica_default,ratracer_trace,14045,9070,120.825,BalancedZippel
ibp_xbox2l2m_rank0003,Automatic,2,ok,46430411.066,18029,2,1,0,0,2305843009213693967:18026;2305843009213693973:3,Symbolica_default,ratracer_trace,14045,9070,192.807,BalancedZippel
ibp_xbox2l2m_rank0003,FireFly_scan,2,ok,55296802.361,23581,2,,,,9223372036854775643:147;9223372036854775783:23434,FireFly_default,ratracer_trace,14045,9070,,
ibp_xbox2l2m_rank0003,FireFly_scan,3,ok,48919651.942,23581,2,,,,9223372036854775643:147;9223372036854775783:23434,FireFly_default,ratracer_trace,14045,9070,,
ibp_xbox2l2m_rank0003,Automatic,3,ok,36554726.636,18029,2,1,0,0,2305843009213693967:18026;2305843009213693973:3,Symbolica_default,ratracer_trace,14045,9070,118.620,BalancedZippel
ibp_xbox2l2m_rank0004,FireFly_scan,1,ok,2766802.727,2319,2,,,,9223372036854775643:135;9223372036854775783:2184,FireFly_default,ratracer_trace,1631,1059,,
ibp_xbox2l2m_rank0004,Automatic,1,ok,2041918.556,1862,2,1,0,0,2305843009213693967:1859;2305843009213693973:3,Symbolica_default,ratracer_trace,1631,1059,21.254,BalancedZippelSeparated
ibp_xbox2l2m_rank0004,Automatic,2,ok,2060217.535,1862,2,1,0,0,2305843009213693967:1859;2305843009213693973:3,Symbolica_default,ratracer_trace,1631,1059,18.596,BalancedZippelSeparated
ibp_xbox2l2m_rank0004,FireFly_scan,2,ok,2602671.074,2319,2,,,,9223372036854775643:135;9223372036854775783:2184,FireFly_default,ratracer_trace,1631,1059,,
ibp_xbox2l2m_rank0004,FireFly_scan,3,ok,2565995.296,2319,2,,,,9223372036854775643:135;9223372036854775783:2184,FireFly_default,ratracer_trace,1631,1059,,
ibp_xbox2l2m_rank0004,Automatic,3,ok,1993187.815,1862,2,1,0,0,2305843009213693967:1859;2305843009213693973:3,Symbolica_default,ratracer_trace,1631,1059,19.302,BalancedZippelSeparated
