case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms
paper_eq3,BalancedZippel,1,0,32.681,21,0,1,3,0,2,3
paper_eq3,CuytLee,1,0,88.780,28,0,1,3,1,2,3
paper_eq3,CuytLee,2,0,61.420,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,2,0,41.360,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,3,0,38.790,21,0,1,3,0,2,3
paper_eq3,CuytLee,3,0,59.240,28,0,1,3,1,2,3
paper_eq3,CuytLee,4,0,55.171,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,4,0,38.240,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,5,0,38.570,21,0,1,3,0,2,3
paper_eq3,CuytLee,5,0,62.240,28,0,1,3,1,2,3
paper_eq3,CuytLee,6,0,56.620,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,6,0,39.340,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,7,0,37.720,21,0,1,3,0,2,3
paper_eq3,CuytLee,7,0,56.170,28,0,1,3,1,2,3
paper_eq3,CuytLee,8,0,56.410,28,0,1,3,1,2,3
paper_eq3,BalancedZippel,8,0,37.820,21,0,1,3,0,2,3
paper_eq3,BalancedZippel,9,0,37.760,21,0,1,3,0,2,3
paper_eq3,CuytLee,9,0,70.280,28,0,1,3,1,2,3
firefly_shift,BalancedZippel,1,0,40.560,21,0,1,3,0,2,3
firefly_shift,CuytLee,1,0,71.100,28,1,1,3,1,2,3
firefly_shift,CuytLee,2,0,67.820,28,1,1,3,1,2,3
firefly_shift,BalancedZippel,2,0,41.591,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,3,0,42.901,21,0,1,3,0,2,3
firefly_shift,CuytLee,3,0,69.240,28,1,1,3,1,2,3
firefly_shift,CuytLee,4,0,65.830,28,1,1,3,1,2,3
firefly_shift,BalancedZippel,4,0,43.080,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,5,0,41.010,21,0,1,3,0,2,3
firefly_shift,CuytLee,5,0,84.790,28,1,1,3,1,2,3
firefly_shift,CuytLee,6,0,62.910,28,1,1,3,1,2,3
firefly_shift,BalancedZippel,6,0,40.381,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,7,0,41.510,21,0,1,3,0,2,3
firefly_shift,CuytLee,7,0,67.770,28,1,1,3,1,2,3
firefly_shift,CuytLee,8,0,63.350,28,1,1,3,1,2,3
firefly_shift,BalancedZippel,8,0,46.590,21,0,1,3,0,2,3
firefly_shift,BalancedZippel,9,0,39.460,21,0,1,3,0,2,3
firefly_shift,CuytLee,9,0,62.660,28,1,1,3,1,2,3
sparse3,BalancedZippel,1,0,406.231,121,0,1,6,0,4,3
sparse3,CuytLee,1,0,540.262,175,0,1,4,15,4,3
sparse3,CuytLee,2,0,554.232,175,0,1,4,15,4,3
sparse3,BalancedZippel,2,0,391.362,121,0,1,6,0,4,3
sparse3,BalancedZippel,3,0,400.011,121,0,1,6,0,4,3
sparse3,CuytLee,3,0,524.682,175,0,1,4,15,4,3
sparse3,CuytLee,4,0,497.782,175,0,1,4,15,4,3
sparse3,BalancedZippel,4,0,371.082,121,0,1,6,0,4,3
sparse3,BalancedZippel,5,0,380.201,121,0,1,6,0,4,3
sparse3,CuytLee,5,0,550.792,175,0,1,4,15,4,3
sparse3,CuytLee,6,0,531.882,175,0,1,4,15,4,3
sparse3,BalancedZippel,6,0,391.691,121,0,1,6,0,4,3
sparse3,BalancedZippel,7,0,382.102,121,0,1,6,0,4,3
sparse3,CuytLee,7,0,530.442,175,0,1,4,15,4,3
sparse3,CuytLee,8,0,495.682,175,0,1,4,15,4,3
sparse3,BalancedZippel,8,0,396.141,121,0,1,6,0,4,3
sparse3,BalancedZippel,9,0,376.532,121,0,1,6,0,4,3
sparse3,CuytLee,9,0,520.102,175,0,1,4,15,4,3
sparse4,BalancedZippel,1,0,251.171,102,0,1,10,0,4,3
sparse4,CuytLee,1,0,317.081,116,0,1,5,11,4,3
sparse4,CuytLee,2,0,314.681,116,0,1,5,11,4,3
sparse4,BalancedZippel,2,0,253.621,102,0,1,10,0,4,3
sparse4,BalancedZippel,3,0,238.541,102,0,1,10,0,4,3
sparse4,CuytLee,3,0,315.041,116,0,1,5,11,4,3
sparse4,CuytLee,4,0,328.281,116,0,1,5,11,4,3
sparse4,BalancedZippel,4,0,241.571,102,0,1,10,0,4,3
sparse4,BalancedZippel,5,0,236.901,102,0,1,10,0,4,3
sparse4,CuytLee,5,0,315.211,116,0,1,5,11,4,3
sparse4,CuytLee,6,0,325.062,116,0,1,5,11,4,3
sparse4,BalancedZippel,6,0,239.041,102,0,1,10,0,4,3
sparse4,BalancedZippel,7,0,235.601,102,0,1,10,0,4,3
sparse4,CuytLee,7,0,316.711,116,0,1,5,11,4,3
sparse4,CuytLee,8,0,308.261,116,0,1,5,11,4,3
sparse4,BalancedZippel,8,0,237.181,102,0,1,10,0,4,3
sparse4,BalancedZippel,9,0,234.471,102,0,1,10,0,4,3
sparse4,CuytLee,9,0,325.991,116,0,1,5,11,4,3
homogeneous_shift,BalancedZippel,1,0,171.340,69,0,1,6,0,3,3
homogeneous_shift,CuytLee,1,0,258.591,104,1,1,4,8,3,3
homogeneous_shift,CuytLee,2,0,250.661,104,1,1,4,8,3,3
homogeneous_shift,BalancedZippel,2,0,169.980,69,0,1,6,0,3,3
