case,method,mode,seed,elapsed_us,probes
paper_eq3,BalancedZippel,ff,1,40.280,21
paper_eq3,CuytLee,ff,1,72.430,28
paper_eq3,CuytLee,ff,2,59.780,28
paper_eq3,BalancedZippel,ff,2,40.620,21
paper_eq3,BalancedZippel,ff,3,37.630,21
paper_eq3,CuytLee,ff,3,58.180,28
paper_eq3,CuytLee,ff,4,56.480,28
paper_eq3,BalancedZippel,ff,4,38.060,21
paper_eq3,BalancedZippel,ff,5,36.530,21
paper_eq3,CuytLee,ff,5,57.070,28
paper_eq3,CuytLee,ff,6,55.630,28
paper_eq3,BalancedZippel,ff,6,39.589,21
paper_eq3,BalancedZippel,ff,7,37.070,21
paper_eq3,CuytLee,ff,7,59.700,28
paper_eq3,CuytLee,ff,8,54.980,28
paper_eq3,BalancedZippel,ff,8,38.540,21
paper_eq3,BalancedZippel,ff,9,37.401,21
paper_eq3,CuytLee,ff,9,58.300,28
paper_eq28_y_d,BalancedZippel,ff,1,4447.097,538
paper_eq28_y_d,CuytLee,ff,1,31340.409,1365
paper_eq28_y_d,CuytLee,ff,2,31068.017,1365
paper_eq28_y_d,BalancedZippel,ff,2,4507.848,538
paper_eq28_y_d,BalancedZippel,ff,3,4428.536,538
paper_eq28_y_d,CuytLee,ff,3,31000.377,1365
paper_eq28_y_d,CuytLee,ff,4,30905.947,1365
paper_eq28_y_d,BalancedZippel,ff,4,4480.037,538
paper_eq28_y_d,BalancedZippel,ff,5,4494.877,538
paper_eq28_y_d,CuytLee,ff,5,28095.836,1365
paper_eq28_y_d,CuytLee,ff,6,31486.839,1365
paper_eq28_y_d,BalancedZippel,ff,6,4482.857,538
paper_eq28_y_d,BalancedZippel,ff,7,4439.756,538
paper_eq28_y_d,CuytLee,ff,7,31334.269,1365
paper_eq28_y_d,CuytLee,ff,8,30645.736,1365
paper_eq28_y_d,BalancedZippel,ff,8,4401.226,538
paper_eq28_y_d,BalancedZippel,ff,9,4382.866,538
paper_eq28_y_d,CuytLee,ff,9,30303.295,1365
